"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-SE20C0A-0238-1271"	"“sen öncüyüm” öncüyüm” iddiasındasın anlamıyorsun,"	"bak"	"halktan bir insan hemen anladı"
"w"	"W-PA16B3A-0686-1676"	"Şükran, dedim, Şükran var, gör"	"bak"	"ne güzel kız... Ağzımdan dökülen"
"s"	"S-BEABXg-0088-2300"	"şöyleyim ben böyleyim adam bi"	"baktım"	"polis olmuş 1 yıllık polis."
"s"	"S-BEABXO-0136-2153"	"Şöyle...<B> Kestik. Şunun içine şöyle"	"bak"	"koyduk. Başka tabak var mıydı?"
"s"	"S-BEABXB-0073-418"	"şöyle tamam mı hocada kalkıyordu"	"bakıyordu"	"şöyle çok komik durumda oluyorduk"
"w"	"W-PF10E1B-3064-2241"	"şöyle sıraladı ""Diğer ülke uygulamalarına"	"baktığımız"	"zaman, PSTN işletmecisi ile ISS'ler"
"w"	"W-DD02A3A-1781-1980"	"şöyle diyordu ""Doğuya Macar, doğuya"	"bak;"	"şerefli büyük akrabanı sen orada"
"w"	"W-EA16B3A-0570-124"	"şöyle diyor, sen ne diyorsun"	"bakalım"	"gibi simültane tane çevirili bir"
"w"	"W-IA16B3A-1015-1423"	"şöyle böyle..."" Öfkeyle bir süre"	"baktı"	"yüzüme ""Yok beyim, bunu da"
"s"	"S-BEABXO-0087-1594"	"şut bu lan! <D 15>"	"Bak"	"bak şuta bak. <D 35>"
"s"	"S-BEABXp-0156-702"	"şurdan şöyle bi şey geldi"	"bakın"	"emm işte bu... <B> Kültürel"
"s"	"S-BEABXX-0411-2070"	"şurası sahile ya da denize"	"bakmalı."	"Mersin'de de öle bi yer"
"s"	"S-BEABXO-0389-2054"	"Şunu atalım. Valla suna arkadaş"	"bakalım"	"at bunu iki. Hangini? Şunu."
"s"	"S-BEABXc-0167-952"	"şundan sora vardı ya, bi"	"bak."	"Hıı. Şundan sora ne yazıo?"
"s"	"S-ACAAPZ-0384-2141"	"Şuna baktığımızda şunu görüyo... dünyaya"	"baktığımızda"	"gelişmiş ülkelerde bir tek fark"
"w"	"W-GA16B1A-1926-2335"	"Şuna bak şuna. Babaannemin şuna"	"bak"	"dediği Necati Amca'ydı. Baş şoför"
"s"	"S-BEABXr-0078-659"	"Şuan bal rengi olmuş bi"	"bak"	"aynaya. O yerine göre değişiyo."
"s"	"S-BEABXy-0146-2253"	"şu ön taraftaki numaralarla beraber"	"bakıyo."	"Burdaki sıra neyse o sırayla"
"w"	"W-GA14B1A-1501-830"	"şu marifetini de görelim. HACİVAT"	"Bakalım"	"bu sandık işimize yarayacak mı?"
"s"	"S-ADABI\-0438-1706"	"şu kadar falan diye. Peki"	"baktınız"	"okudunuz mu ürünün can bebenin"
"s"	"S-BEABXO-0347-1110"	"şu aynadan kendine bak, benimkine"	"bak,"	"bak bak bak bak! Fatmanur"
"w"	"W-VA16B2A-1243-1686"	"Şu aradıklarıma nesnel bir gözle"	"bakılacak"	"olursa, bunun aşk evliliği yapmak"
"s"	"S-BEABXw-0408-2102"	"şu anda biraz rahatsızım, kusura"	"bakma."	"Tam sesim çıkmıyo. Acıkmışsındır sen"
"w"	"W-LE39C3A-0454-2288"	"Şu anda aldığı emekli maaşına"	"bakıldığında"	"görülecektir ki, bu, ortalama olarak,"
"w"	"W-RE39C2A-0358-2380"	"Şoför yine dikiz aynasından bakıyor,"	"bakıyor..."	"""Sizi birine benzetiyorum ama."" ""Kime?"""
"s"	"S-AAABOp-0011-1104"	"şizofrenlerde de vardı. O, apayrı."	"Bak,"	"şimdi benim dediğim şey <B>"
"w"	"W-LA16B4A-0687-2230"	"Şimdilik hoşça kal. Kendine iyi"	"bak."	"Seni seviyorum! Çok uzaklarda olmasına"
"w"	"W-TI45F1D-4814-2409"	"Şimdiki halde pul falan yok."	"Bakalım"	"ne çıkacak bunun ucu. Bu"
"w"	"W-DA16B3A-1040-1926"	"şimdi... Bak ben şimdi camdan"	"bakınca"	"görüyorum, sokağın altındaki eczanenin önü"
"s"	"S-AAABOp-0011-1515"	"Şimdi, hocam Hı <B> Hayır,"	"bak,"	"ne diyorum olur mu? Soruyorum"
"s"	"S-BEABXg-0088-1471"	"şimdi yani şuanki polislere bi"	"bakıyosun"	"adam polis olmuş bi bakıyosun"
"s"	"S-ADABPZ-0125-379"	"şimdi pek o teğetten fazla"	"bakmadan"	"dört buçuk trilyon dolar ekonomisine"
"s"	"S-BEABXW-0069-2165"	"Şimdi oynuyoruz yer, ortadan çektim"	"baktım"	"yaramıyo attım tamam mı. Okey."
"s"	"S-BEABXO-0450-1251"	"şimdi oturur onları çözerim, anladıklarıma"	"bakarım"	"anlamadıklarımı yarın Müzeyyen'e sorarım, Müzeyyen'in"
"w"	"W-BA22B2A-1149-402"	"şimdi maksat başka, bunlar bahane."	"Baktılar;"	"esasında sıkıştılar, camı çerçeveyi indiremediler,"
"w"	"W-RA14B1A-1582-422"	"Şimdi Guser'de yanlış anlayacak. Guser,"	"bak"	"kardeşim, bu aileyi ben önceden"
"s"	"S-ADABLp-0062-2376"	"şimdi geliyoruz hayvancılık türlerine. Arıcılık."	"Bakın"	"bitkinin çeşitliliği balın kalitesini arttırırken"
"s"	"S-BEABXO-0340-1050"	"şimdi eğerkine iyi bakarsan, güzel"	"bakarsan"	"balıklara ölmezler. Biz zaten yani"
"s"	"S-BEABXO-0093-1792"	"şimdi bu güzelim karışımı içsin"	"bakalım."	"İyileşecek mi? Ay! kendime gelir"
"w"	"W-CA16B3A-1003-2269"	"Şimdi bir pehlivan tokası yapalım."	"Bakalım"	"dayanabilecek misiniz!.. Nermin hemen atıldı"
"s"	"S-ADABPZ-0115-1122"	"Şimdi bi üniversitenin kuruluş amacına"	"baktığımız"	"zaman bölgesine Evet. Her kademede"
"s"	"S-BEABXW-0069-2496"	"Şimdi ben genelde oyunun başında"	"bakıyorum"	"tamam mı okey var mı"
"w"	"W-SE09C1A-0534-1928"	"Şimdi arkama öyle bir dönüp"	"baktığım"	"da ne kadar sabırlıymışım diyorum."
"w"	"W-UI44F1D-4737-1582"	"şikayet edeceksin, olmazki öyle kusura"	"bakma"	"kordelya ama çok komik adamın"
"w"	"W-MA16B1A-0689-16"	"şeymişsin be!"" Şoför diklendi ""Bana"	"bak"	"Alamanın süpürgecisi! Desteledin Doyçe markları,"
"s"	"S-ADABAo-0332-954"	"şeylerdir. Hı-hıı Emm ben böyle"	"bakıyorum"	"emm daha rahat yaşam tabi"
"s"	"S-BEABXO-0002-346"	"şeyler... <B> Dedi biz bunlara"	"bakmayız"	"bilmeyiz fizik doktoru. Kim bakar"
"w"	"W-EA16B2A-1007-1124"	"şeyler çıkardı. Tarık, bir daha"	"baktı"	"kadına. ""Güzel kadın!"" dedi içinden."
"s"	"S-BEABXO-0358-1056"	"şeyler bunlar. İşte demek istediğim,"	"bakıyosun"	"bu admalara, bu gerizekalılara, bu"
"w"	"W-OD03A4A-0253-1390"	"şeyle ilgilenecek, konuşanın yüzüne bile"	"bakmayacak."	"""Hem konuşan hem dinleyen, gözlemleyen"
"s"	"S-BEABXu-0054-646"	"şeyidir. Ya pardon size kusra"	"bakma"	"bunu bana okur musunuz bu"
"s"	"S-BEABXp-0156-1975"	"şeyi var Lewis bahsediyo ordan"	"baktım"	"yedi tane işlevi varmış işte"
"w"	"W-MA16B1A-0459-849"	"şeyi kolaylaştırıyormuş. Okul işlerine falan"	"bakarmış."	"Yalan kere yalan. O kadar"
"w"	"W-JA16B3A-1133-1037"	"Şeyh, Lodos Lütfü'nün nasıl olduğuna"	"bakmak"	"için aşağıya indi. Ateşi hâlâ"
"s"	"S-BEABXO-0056-772"	"şeyde. Ya bakmayın ya! Ya"	"bakacaz"	"bize ne sana ne! Cansu"
"w"	"W-TI42E1B-2942-444"	"şey, O demek. Şöyle birbirimize"	"bakarken,"	"sizlerde ben onu görüyorum yaa.."
"s"	"S-BEABXO-0381-604"	"şey şişe, nişan alaymışlar ona"	"bak."	"Ordan da inmiş o gören"
"s"	"S-ADABI^-0162-1510"	"şey yaptım çocuklarda anadil edinimine"	"baktım."	"Ondan sonra da zaten doktoraya"
"s"	"S-BEABXO-0007-1880"	"şey yapmışlar."" Böyle... Ben ona"	"bakmadım."	"Ben kurtulmak istiyorum. Sonra kadın"
"s"	"S-BEABXO-0325-1146"	"şey yapmıyo bana gözüme baka"	"baka,"	"hiçbi şey dönmeden demeden dönüyo"
"s"	"S-BEABXB-0410-871"	"şey yaparım. Çocuğun yüzünün kırmızılığına"	"bak"	"yaa. Aynen kıpkırmızı. Bu arada"
"s"	"S-BEABXB-0073-192"	"şey yapamıyo. Belli olmaz ya"	"bakalım"	"şeyden sonra ne olcak hani"
"w"	"W-EA16B2A-1563-722"	"şey yapamaz!"" Meyhaneci, balıkçıya alayla"	"baktı."	"""Sıkıyönetim paşası amcan oluyor galiba,"""
"s"	"S-BEABXO-0074-2434"	"şey yakmışlar ya böyle. Düğüne"	"bakardık"	"hiç olmasa şeye yaa anne..."
"w"	"W-OA16B0A-0112-1574"	"şey var. İttiler zorla, bir"	"baktılar"	"ki Mösyö Franko olmuş delik"
