"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-SE05A1B-4201-1334"	"“Bu maddede tanınmış hakları ihlal"	"edenler"	"hakkında bu Kanunun 72.maddesinin (3)"
"w"	"W-JE39E1B-3029-227"	"لِمَا يُحْيِيكُمْ""— يُحْيِيكُمْ""— Ey iman"	"edenler,"	"Peygamber sizi, din ve dünyanız"
"s"	"S-ADAASK-0036-434"	"Şüphemiz var mı? Yok. İlave"	"edildiğine"	"dair, bir ayetin, bir harfin"
"w"	"W-SI27D1B-2831-504"	"şükretme""nin daha akıllıca olacağına işaret"	"ediyor."	"""Bana insanların acımasını değil, dostça"
"s"	"S-ADABPZ-0357-1673"	"şükranlarımı sunarım ve kendilerini tebrik"	"ederim."	"<Alkış> <D 6> Sayın Doktor"
"s"	"S-BEABXO-0436-1622"	"şöyle yapmış bak abimgil kayıp"	"edince"	"telefonda. Beni dinle bi ya."
"s"	"S-ADABCo-0334-1249"	"şöyle devam edelim selden devam"	"edelim"	"istersen. Evet selde şöyle bişe"
"s"	"S-BEABXO-0436-2305"	"şöle böle. Ne? Dur izah"	"edeyim"	"arkayı da izah edecem. Hadi"
"w"	"W-FA16B2A-1369-596"	"şuydu Maveraünnehir nereye dökülür?"" Linç"	"edilme"	"korkusunu atlatan Şair, devletin aleyhine"
"w"	"W-KE39C0A-0282-2476"	"şubelerine giden Müslümanlar'a sokakta taarruz"	"edilmiş"	"ve bunlar soyulmuş ve öldürülmüştür."
"w"	"W-QD36C0A-0222-1660"	"Şubat 1994 tarihleri arasında icra"	"edilen"	"harekat sonrası hassas kaynaklardan alınan"
"w"	"W-VI45F1D-4706-1189"	"Şu Çılgın Türkler kitabını hediye"	"edeceğim!"	"Bu son paragrafı parantez içerisinde"
"s"	"S-ACABPA-0434-1462"	"şu gün parlamenter sistemde tenkit"	"ettiğimiz,"	"ileri sürdüğümüz bütün sakıncalar o"
"s"	"S-ADAB^o-0131-527"	"şu an aynı hocayla devam"	"ediyorum."	"Evet, çok güzel. Daha önce"
"s"	"S-ADAB^o-0131-287"	"Şu an Ayhan Kömürle devam"	"ediyorum."	"Çok güzel. Bize biraz yarı"
"s"	"S-AAAAFZ-0383-1057"	"şu an 10 yılda elde"	"ettiğimiz"	"bilgi girdisi inanılmaz düzeyde arttı."
"w"	"W-QI43C2A-1809-1058"	"şokların uzun bir süre devam"	"edeceğini,"	"toplumun bunu normal karşılaması gerektiğini"
"w"	"W-RE30D1B-2099-1358"	"şirketinin seferleri, bir uçakta tespit"	"edilen"	"teknik arızalardan dolayı mayıs ortalarında"
"w"	"W-WI45F1D-4721-666"	"şirket, müşterisine yaratacağı değeri maksimize"	"etmek"	"için kısa vadede kârlılığından vaz"
"w"	"W-UE36E1B-3356-1641"	"şimdiden konmuş devletçikler için mücadele"	"eden"	"çok sayıda ayrılıkçı parti ve"
"s"	"S-ACABPA-0434-1678"	"şimdiden kestirmek mümkün değildir. Teşekkür"	"ederim."	"Hocam bu tartışmayı tamamlaması için,"
"s"	"S-BEABXO-0122-95"	"Şimdi şey yapıyorlar hani dikkat"	"etmiyorlar,"	"zaten başı kalabalık, ilacı verdi,"
"w"	"W-RA16B4A-0885-705"	"şimdi çocukluğu anımsatan belirsiz renkler"	"ediniyordu."	"Neden sonra tanıdı Elma çaldığı"
"w"	"W-RI41C2A-1463-1528"	"şimdi neler düşünüyor olduğunuzu fark"	"edeceksiniz."	"Zaman hiçbir şeyin olduğu gibi"
"w"	"W-VI44F1D-4739-1325"	"şimdi iş yerimde arkadaşlarımla sohbet"	"ediyorum"	"ve kafam dağılıyor şıkır şıkır"
"s"	"S-AEABUZ-0021-1119"	"şimdi daha çok yetişkinlere hitap"	"ediyor."	"<Gülme> Ben orda yine emm"
"s"	"S-ADABAo-0366-1752"	"şimdi bu kendine özgünlüğünden söz"	"ettik."	"Evet. Gerçekten Cumhuriyet Batı'dan beslenmekle"
"s"	"S-ADABPZ-0374-2355"	"Şimdi bu kadar Avrupayı istila"	"eden"	"istila eden kelimesini özellikle kullanıyorum"
"s"	"S-ADABCo-0271-415"	"Şimdi bir başka soruşturmayla devam"	"ediyoruz"	"Türkiye'ye ilişkin. Antalya'da Akdeniz Üniversitesi"
"w"	"W-DA16B2A-0111-348"	"Şimdi banyodan çıkacak, vır vır"	"edecek"	"bir bahane bulur korkusuyla ayaklarımın"
"s"	"S-BEABX{-0085-429"	"şimdi ama bizi komple tıraş"	"etmiş"	"yüzüme baksana. Sen nereye gittin?"
"s"	"S-BEABXf-0171-22"	"şiler kaldı da daha devam"	"ediyo"	"işte. Anladım. Fethiye de güzelmiş."
"s"	"S-BEABXw-0353-243"	"şikayet... Ama o zaman şikayet"	"etseydi."	"Çok şikayet eden varmış daben"
"w"	"W-FC01A1B-3604-1451"	"şiddetli hasarla ilgili olduğunu ifade"	"etmişlerdir."	"Çalışmamızda diğer bir bulgu sperm"
"w"	"W-QD30D1B-2178-2217"	"şiddetin önlenmesini öngören yasa, kabul"	"edildi."	"İçtüzük hükümlerine göre Cumhurbaşkanı'nın iade"
"w"	"W-UI22C1A-0430-1193"	"şeysin"" gibi motive edici laflar"	"etmek."	"Çevremdeki herkes kitap yaz, bu"
"w"	"W-ID39C4A-0008-1132"	"şeyleri zimmetine geçirmesi veya mal"	"edilmesi,"	"c) Bunların memura tevdi olunması"
"s"	"S-ACABQq-0425-1488"	"şeyleri hep beraber yapmaya devam"	"edelim."	"Gelin, muhalefet muhalefetliğini yapsın; ama,"
"s"	"S-AEABTZ-0040-787"	"şeyler için yazdığınız da bilgi"	"edinme"	"şeylerine hemen cevap gelmesi lazım."
"w"	"W-TA16B0A-0145-2012"	"şeyin nedeni o zamanlar ihmal"	"ettiklerimizmiş"	"gibi olabildiğince çok ayrıntıyı deşmeye"
"s"	"S-AEABPZ-0331-2174"	"şeyimiz hazır, Danıştay'a gittik, itiraz"	"ettik,"	"Danıştay'dan inşallah bizim lehimize karar"
