"s"	"S-ADABAo-0388-333"	"bunlar. İdris'te Estonlar dahi Türk olarak geçmektedir."	"Türk olarak geçmektedir."	"Türk olarak geçmektedir. Türk lehçeleri Türk lehçeleri arasındaki ayrımlar"	"bunlar. İdris'te Estonlar dahi Türk olarak geçmektedir. Türk"	"olarak"	"geçmektedir. Türk lehçeleri Türk lehçeleri arasındaki ayrımlar"
"s"	"S-ADABAo-0388-1417"	"Ürdün'de Petra'daki mezarlar Romalılar'ın etkisiyle"	"yapılmış mezarlardır."	"yapılmış mezarlardır. Çöldeki Araplar sanırım mezara"	"Ürdün'de Petra'daki mezarlar Romalılar'ın etkisiyle"	"yapılmış"	"mezarlardır. Çöldeki Araplar sanırım mezara"
"s"	"S-ADABAo-0388-602"	"dışarıdan hocalar çağırır onlara konferans verdirirdi,"	"konferans verdirirdi,"	"ders yaptırırdı. Üniversitenin dışsal faaliyetlerinde"	"dışarıdan hocalar çağırır onlara konferans"	"verdirirdi,"	"ders yaptırırdı. Üniversitenin dışsal faaliyetlerinde"
"s"	"S-ADABAo-0388-2478"	"de elçilik heyetine bir cevap"	"vermek istiyor."	"vermek istiyor. O zaman Nezirli Harami"	"de elçilik heyetine bir cevap"	"vermek"	"istiyor. O zaman Nezirli Harami"
"s"	"S-ADABAo-0388-1954"	"Türk olarak telaffuz Türk olarak telaffuz edilir. Tabii Türk derken"	"Türk derken"	"Orta Çağdaki Araplar olsun, İranlılar"	"Türk olarak telaffuz Türk olarak telaffuz edilir. Tabii Türk"	"derken"	"Orta Çağdaki Araplar olsun, İranlılar"
"s"	"S-ADABAo-0388-597"	"istemeleri nedeniyle bu seyahatnameler ortaya"	"çıkmış oluyor."	"çıkmış oluyor. Daha sonra 18.,19. 18.,19."	"istemeleri nedeniyle bu seyahatnameler ortaya"	"çıkmış"	"oluyor. Daha sonra 18.,19. 18.,19."
"s"	"S-ADABAo-0388-523"	"var. Bunlardan biri sizin üzerinde"	"çalışmış olduğunuz"	"çalışmış olduğunuz İskendername, İskender'in Çin seferleri"	"var. Bunlardan biri sizin üzerinde"	"çalışmış"	"olduğunuz İskendername, İskender'in Çin seferleri"
"s"	"S-ADABAo-0388-522"	"kişidir. Kendisi hem devlet bürokrasisinde"	"çalışmış hem"	"çalışmış hem de dini bilgi sahibi."	"kişidir. Kendisi hem devlet bürokrasisinde"	"çalışmış"	"hem de dini bilgi sahibi."
"s"	"S-ADABAo-0388-2205"	"şey bilinmeyen bir şey oluyor,"	"geçmiş kültürlerden"	"geçmiş kültürlerden bize açık olarak gelmemiş."	"şey bilinmeyen bir şey oluyor,"	"geçmiş"	"kültürlerden bize açık olarak gelmemiş."
"s"	"S-ADABAo-0388-159"	"İdris'te Estonlar dahi Türk olarak geçmektedir. Türk olarak geçmektedir."	"Türk olarak geçmektedir."	"Türk lehçeleri Türk lehçeleri arasındaki ayrımlar da"	"İdris'te Estonlar dahi Türk olarak geçmektedir. Türk olarak"	"geçmektedir."	"Türk lehçeleri Türk lehçeleri arasındaki ayrımlar da"
"s"	"S-ADABAo-0388-499"	"de söz edeceğiz. Ramazan Bey geçen"	"Bey geçen"	"hafta İbni Fadlan'ı biraz tanıtmıştık"	"de söz edeceğiz. Ramazan Bey"	"geçen"	"hafta İbni Fadlan'ı biraz tanıtmıştık"
"s"	"S-ADABAo-0388-77"	"Batı Türkistan'dan ve Harezm Bölgesi'nden"	"geçerek gitmiştir."	"geçerek gitmiştir. Yalnız Arap coğrafyacılarının ihmal"	"Batı Türkistan'dan ve Harezm Bölgesi'nden"	"geçerek"	"geçerek gitmiştir. Yalnız Arap coğrafyacılarının ihmal"
"s"	"S-ADABAo-0388-1136"	"Arami alfabesinin gelişmiş şekli gelişmiş şekli İran'a"	"geçmiş oradan"	"geçmiş oradan da Uygurlara geçmiş. O"	"Arami alfabesinin gelişmiş şekli gelişmiş şekli İran'a"	"geçmiş"	"oradan da Uygurlara geçmiş. O"
"s"	"S-ADABAo-0388-751"	"misiniz? Cahız 780-869 yılları arasında"	"yaşamış büyük"	"yaşamış büyük bir Arap edibi, düşünürü"	"misiniz? Cahız 780-869 yılları arasında"	"yaşamış"	"büyük bir Arap edibi, düşünürü"
