"('Caus→Verb', 'Unable')",2.901747408644283e+16,1913,206
"('Caus→Verb', 'Aor')",2.7158593073383348e+16,1913,490
"('Caus→Verb', 'A1sg')",2.4713569618894924e+16,1913,885
"('Unable', 'Aor')",2.715859303619797e+16,206,490
"('Unable', 'A1sg')",2.47135695772826e+16,206,885
"('Aor', 'A1sg')",2.4713569575884708e+16,490,885
"('Caus→Verb', 'Pass→Verb')",2.5968054464803452e+16,1913,679
"('Caus→Verb', 'Cond')",3.0191273512860376e+16,1913,33
"('Caus→Verb', 'A1pl')",2.9071143176085264e+16,1913,198
"('Pass→Verb', 'Aor')",2.7158593047122452e+16,679,490
"('Pass→Verb', 'Cond')",3.019127348196145e+16,679,33
"('Pass→Verb', 'A1pl')",2.9071143146623916e+16,679,198
"('Aor', 'Cond')",3.0191273465330056e+16,490,33
"('Aor', 'A1pl')",2.9071143129540224e+16,490,198
"('Cond', 'A1pl')",2.907114312960344e+16,33,198
"('Prog1', 'A1sg')",2.471356957607133e+16,669,885
"('Caus→Verb', 'Able→Verb')",2.909118344898384e+16,1913,195
"('Caus→Verb', 'A3sg')",1.791197461530614e+16,1913,2165
"('Pass→Verb', 'Able→Verb')",2.909118341916613e+16,679,195
"('Pass→Verb', 'A3sg')",1.7911974593436842e+16,679,2165
"('Able→Verb', 'Aor')",2.7158593035776036e+16,195,490
"('Able→Verb', 'A3sg')",1.7911974588493596e+16,195,2165
"('Aor', 'A3sg')",1.7911974587379792e+16,490,2165
"('Pass→Verb', 'Fut')",2.9387272344480304e+16,679,151
"('Pass→Verb', 'Cop')",2.9502302050880644e+16,679,134
"('Fut', 'A3sg')",1.7911974587273984e+16,151,2165
"('Fut', 'Cop')",2.950230203621015e+16,151,134
"('A3sg', 'Cop')",2.950230205678623e+16,2165,134
"('Neg', 'Prog1')",2.6030224575109132e+16,584,669
"('Neg', 'A2sg')",2.820869778079651e+16,584,328
"('Prog1', 'A2sg')",2.820869777364396e+16,669,328
"('Past', 'A2sg')",2.8208697774311124e+16,1202,328
"('Narr', 'Past')",2.2869060064497064e+16,239,1202
"('Narr', 'A3sg')",1.7911974587267118e+16,239,2165
"('Past', 'A3sg')",1.7911974587444574e+16,1202,2165
"('Neg', 'Past')",2.2869060069052844e+16,584,1202
"('Neg', 'A1sg')",2.4713569580669612e+16,584,885
"('Past', 'A1sg')",2.4713569580424988e+16,1202,885
"('Pass→Verb', 'Inf2→Noun')",2.8617706171435108e+16,679,266
"('Pass→Verb', 'Ins')",3.0308303507523424e+16,679,16
"('Inf2→Noun', 'A3sg')",1.7911974588054106e+16,266,2165
"('Inf2→Noun', 'Ins')",3.0308303494899084e+16,266,16
"('A3sg', 'Ins')",3.030830351025182e+16,2165,16
"('PastPart→Adj', 'P1sg')",2.9733012231837784e+16,93,100
"('Caus→Verb', 'Inf1→Noun')",2.8478673740369516e+16,1913,287
"('Inf1→Noun', 'A3sg')",1.7911974588822522e+16,287,2165
"('Caus→Verb', 'Imp')",2.8963997049867936e+16,1913,214
"('Caus→Verb', 'A2sg')",2.820869781638535e+16,1913,328
"('Imp', 'A2sg')",2.820869777550733e+16,214,328
"('Inf2→Noun', 'P3sg')",2.8870625537877996e+16,266,228
"('A3sg', 'P3sg')",2.8870625556842056e+16,2165,228
"('Neg', 'Aor')",2.715859304106084e+16,584,490
"('Aor', 'Past')",2.286906006443958e+16,490,1202
"('Caus→Verb', 'Neg')",2.65617570621109e+16,1913,584
"('Caus→Verb', 'Opt')",2.934006960887801e+16,1913,158
"('Neg', 'Opt')",2.9340069571347068e+16,584,158
"('Neg', 'A3sg')",1.7911974592167758e+16,584,2165
"('Opt', 'A3sg')",1.7911974587681124e+16,158,2165
"('Neces', 'A1pl')",2.9071143129534584e+16,43,198
"('Pass→Verb', 'P3sg')",2.887062554987006e+16,679,228
"('P3sg', 'Ins')",3.030830349331433e+16,228,16
"('Caus→Verb', 'PastPart→Noun')",2.863099350899207e+16,1913,264
"('Caus→Verb', 'P3sg')",2.8870625583810468e+16,1913,228
"('Pass→Verb', 'PastPart→Noun')",2.863099348127501e+16,679,264
"('PastPart→Noun', 'A3sg')",1.7911974588938678e+16,264,2165
"('PastPart→Noun', 'P3sg')",2.8870625539913972e+16,264,228
"('Caus→Verb', 'Past')",2.2869060099438628e+16,1913,1202
"('Able→Verb', 'A1pl')",2.9071143132215024e+16,195,198
"('Caus→Verb', 'P2sg')",2.9958152791552748e+16,1913,67
"('Caus→Verb', 'Loc')",3.008142183741356e+16,1913,49
"('PastPart→Noun', 'P2sg')",2.995815274894857e+16,264,67
"('PastPart→Noun', 'Loc')",3.008142179450896e+16,264,49
"('A3sg', 'P2sg')",2.9958152764237944e+16,2165,67
"('A3sg', 'Loc')",3.0081421809158016e+16,2165,49
"('P2sg', 'Loc')",3.0081421789393508e+16,67,49
"('Able→Verb', 'Imp')",2.896399701063275e+16,195,214
"('Imp', 'A3sg')",1.791197458717178e+16,214,2165
"('Pass→Verb', 'PresPart→Adj')",2.8917213232857624e+16,679,221
"('Caus→Verb', 'A3pl')",2.9057749625440884e+16,1913,200
"('Caus→Verb', 'P1sg')",2.9733012278637824e+16,1913,100
"('Caus→Verb', 'Gen')",3.020503886048923e+16,1913,31
"('PastPart→Noun', 'A3pl')",2.9057749584517424e+16,264,200
"('PastPart→Noun', 'P1sg')",2.9733012235663376e+16,264,100
"('PastPart→Noun', 'Gen')",3.0205038818088348e+16,264,31
"('A3pl', 'P1sg')",2.9733012232376052e+16,200,100
"('A3pl', 'Gen')",3.0205038813547508e+16,200,31
"('P1sg', 'Gen')",3.020503881363266e+16,100,31
"('Caus→Verb', 'Fut')",2.9387272373001776e+16,1913,151
"('Fut', 'A1sg')",2.4713569575899984e+16,151,885
"('Caus→Verb', 'Narr')",2.8797151603946268e+16,1913,239
"('Caus→Verb', 'Prog1')",2.6030224608265624e+16,1913,669
"('Prog1', 'A3sg')",1.7911974587513404e+16,669,2165
"('A3sg', 'P1sg')",2.973301225080377e+16,2165,100
"('Prog1', 'Past')",2.286906006447066e+16,669,1202
"('Past', 'A1pl')",2.9071143130280364e+16,1202,198
"('Caus→Verb', 'Dat')",2.970582736838405e+16,1913,104
"('PastPart→Noun', 'Dat')",2.9705827325089556e+16,264,104
"('A3sg', 'Dat')",2.970582734045856e+16,2165,104
"('P2sg', 'Dat')",2.970582732058255e+16,67,104
"('Pass→Verb', 'Past')",2.286906007852106e+16,679,1202
"('P1sg', 'Dat')",2.9705827321287176e+16,100,104
"('Caus→Verb', 'Acc')",2.9340165286041652e+16,1913,158
"('PastPart→Noun', 'Acc')",2.9340165241758932e+16,264,158
"('A3sg', 'Acc')",2.9340165258985716e+16,2165,158
