"('Inf1→Noun', 'A3sg')",240
"('PastPart→Noun', 'A3sg')",374
"('PastPart→Noun', 'P1pl')",64
"('A3sg', 'P1pl')",70
"('Prog1', 'A1pl')",99
"('Prog1', 'A3sg')",258
"('Pass→Verb', 'PastPart→Noun')",62
"('Pass→Verb', 'A3sg')",439
"('Pass→Verb', 'P3sg')",97
"('PastPart→Noun', 'P3sg')",160
"('A3sg', 'P3sg')",237
"('Neg', 'Past')",32
"('Neg', 'A1sg')",13
"('Past', 'A1sg')",90
"('Narr', 'A3sg')",196
"('Pass→Verb', 'Neg')",61
"('Pass→Verb', 'Aor')",69
"('Neg', 'Aor')",16
"('Neg', 'A3sg')",109
"('Aor', 'A3sg')",85
"('Prog2', 'A3sg')",46
"('Prog2', 'Cop')",41
"('A3sg', 'Cop')",94
"('PastPart→Noun', 'A3pl')",100
"('PastPart→Noun', 'P2sg')",42
"('PastPart→Noun', 'Acc')",182
"('A3pl', 'P2sg')",21
"('A3pl', 'Acc')",52
"('P2sg', 'Acc')",32
"('Fut', 'A3sg')",63
"('Pass→Verb', 'PresPart→Adj')",256
"('Pass→Verb', 'Narr')",67
"('PresPart→Noun', 'A3pl')",89
"('Imp', 'A3pl')",5
"('PastPart→Noun', 'P1sg')",58
"('A3sg', 'P1sg')",49
"('A3sg', 'Acc')",214
"('P1sg', 'Acc')",17
"('Past', 'A1pl')",76
"('Past', 'A2sg')",10
"('Desr', 'A3sg')",19
"('PastPart→Adj', 'P2pl')",9
"('PastPart→Adj', 'P3pl')",14
"('Caus→Verb', 'Able→Verb')",10
"('Caus→Verb', 'FutPart→Noun')",6
"('Caus→Verb', 'A3sg')",74
"('Caus→Verb', 'P1pl')",2
"('Caus→Verb', 'Zero→Verb')",1
"('Caus→Verb', 'Past')",12
"('Able→Verb', 'FutPart→Noun')",11
"('Able→Verb', 'A3sg')",63
"('Able→Verb', 'P1pl')",6
"('Able→Verb', 'Zero→Verb')",2
"('Able→Verb', 'Past')",7
"('FutPart→Noun', 'A3sg')",36
"('FutPart→Noun', 'P1pl')",6
"('FutPart→Noun', 'Zero→Verb')",1
"('FutPart→Noun', 'Past')",1
"('A3sg', 'Zero→Verb')",18
"('A3sg', 'Past')",3
"('A3sg', 'A3sg')",17
"('P1pl', 'Zero→Verb')",1
"('P1pl', 'Past')",1
"('P1pl', 'A3sg')",1
"('Zero→Verb', 'Past')",4
"('Zero→Verb', 'A3sg')",20
"('Past', 'A3sg')",200
"('Inf1→Noun', 'Zero→Verb')",13
"('Inf1→Noun', 'Pres')",8
"('Inf1→Noun', 'Cop')",8
"('A3sg', 'Pres')",12
"('Zero→Verb', 'Pres')",15
"('Zero→Verb', 'Cop')",15
"('Pres', 'A3sg')",13
"('Pres', 'Cop')",15
"('A3pl', 'P3sg')",41
"('PastPart→Noun', 'Ins')",3
"('A3pl', 'P1pl')",10
"('A3pl', 'Ins')",4
"('P1pl', 'Ins')",2
"('Pass→Verb', 'PresPart→Noun')",39
"('Pass→Verb', 'A3pl')",39
"('PresPart→Noun', 'P3sg')",7
"('Neg', 'PastPart→Noun')",18
"('Neg', 'Acc')",11
"('Pass→Verb', 'Inf1→Noun')",2
"('Pass→Verb', 'Abl')",10
"('Inf1→Noun', 'Abl')",15
"('A3sg', 'Abl')",34
"('Neg', 'P3sg')",23
"('PastPart→Noun', 'Abl')",15
"('A3pl', 'Abl')",12
"('P2sg', 'Abl')",4
"('PastPart→Adj', 'P3sg')",95
"('Inf2→Noun', 'A3sg')",289
"('Inf2→Noun', 'Dat')",98
"('A3sg', 'Dat')",114
"('Inf2→Noun', 'P3pl')",13
"('Inf2→Noun', 'Gen')",38
"('A3sg', 'P3pl')",29
"('A3sg', 'Gen')",51
"('P3pl', 'Gen')",4
"('Pass→Verb', 'Fut')",34
"('Inf2→Noun', 'Acc')",57
"('Inf2→Noun', 'P3sg')",99
"('P3sg', 'Acc')",47
"('Inf2→Noun', 'P2sg')",21
"('A3sg', 'P2sg')",59
"('P2sg', 'Gen')",22
"('Able→Verb', 'Aor')",30
"('Able→Verb', 'A2pl')",8
"('Aor', 'A2pl')",6
"('Unable', 'PresPart→Adj')",3
"('Pass→Verb', 'Past')",82
"('Narr', 'Past')",28
"('Pass→Verb', 'Prog1')",60
"('Pass→Verb', 'Unable')",5
"('Unable', 'Fut')",2
"('Unable', 'A3sg')",19
"('Pass→Verb', 'PastPart→Adj')",19
"('Pass→Verb', 'Inf2→Noun')",40
"('Pass→Verb', 'Acc')",44
"('Caus→Verb', 'Neg')",17
"('Caus→Verb', 'Opt')",7
"('Neg', 'Opt')",15
"('Opt', 'A3sg')",15
"('Pass→Verb', 'P3pl')",4
"('PresPart→Noun', 'P3pl')",6
"('A3pl', 'P3pl')",31
"('Narr', 'Cond')",3
"('Narr', 'A1pl')",11
"('Cond', 'A1pl')",4
"('P1pl', 'Acc')",13
"('PastPart→Adj', 'P1pl')",44
"('PastPart→Adj', 'P1sg')",30
"('Caus→Verb', 'Pass→Verb')",12
"('Caus→Verb', 'Inf2→Noun')",11
"('Caus→Verb', 'P3sg')",12
"('Neces', 'Past')",2
"('Neces', 'A3sg')",12
"('Caus→Verb', 'Narr')",6
"('Caus→Verb', 'A1sg')",7
"('Caus→Verb', 'Cop')",7
"('Neg', 'Narr')",21
"('Neg', 'Cop')",10
"('Narr', 'A1sg')",7
"('Narr', 'Cop')",27
"('A1sg', 'Cop')",2
"('Unable', 'PastPart→Noun')",4
"('Unable', 'A3pl')",6
"('Unable', 'P1sg')",1
"('Unable', 'Acc')",7
"('A3pl', 'P1sg')",15
"('Inf2→Noun', 'A3pl')",9
"('Unable', 'Aor')",15
"('Pass→Verb', 'P2sg')",23
"('Pass→Verb', 'Gen')",8
"('PastPart→Noun', 'Gen')",16
"('Prog1', 'Past')",76
"('Prog1', 'A1sg')",49
"('PastPart→Noun', 'P3pl')",37
"('PastPart→Noun', 'Zero→Verb')",1
"('PastPart→Noun', 'Pres')",1
"('PastPart→Noun', 'Cop')",1
"('A3pl', 'Zero→Verb')",3
"('A3pl', 'Pres')",2
"('A3pl', 'A3sg')",3
"('A3pl', 'Cop')",8
"('P3pl', 'Zero→Verb')",1
"('P3pl', 'Pres')",1
"('P3pl', 'A3sg')",1
"('P3pl', 'Cop')",1
"('Pass→Verb', 'Cop')",40
"('Pass→Verb', 'Dat')",14
"('P3sg', 'Dat')",18
"('Caus→Verb', 'Prog1')",7
"('Caus→Verb', 'A3pl')",7
"('Prog1', 'A3pl')",40
"('Fut', 'A1sg')",14
"('PastPart→Noun', 'Dat')",21
"('P2sg', 'Dat')",9
"('PresPart→Noun', 'Dat')",9
"('A3pl', 'Dat')",18
"('Prog1', 'A2pl')",19
"('Inf2→Noun', 'P2pl')",5
"('A3sg', 'P2pl')",14
"('Aor', 'While→Adv')",35
"('Pass→Verb', 'Able→Verb')",24
"('Pass→Verb', 'Prog2')",27
"('P3sg', 'Gen')",7
"('Neg', 'NarrPart→Adj')",1
"('Neg', 'Zero→Noun')",1
"('Neg', 'Gen')",4
"('Neg', 'Zero→Verb')",2
"('Neg', 'Pres')",2
"('NarrPart→Adj', 'Zero→Noun')",2
"('NarrPart→Adj', 'A3sg')",2
"('NarrPart→Adj', 'Gen')",1
"('NarrPart→Adj', 'Zero→Verb')",2
"('NarrPart→Adj', 'Pres')",2
"('NarrPart→Adj', 'Cop')",2
"('Zero→Noun', 'A3sg')",2
"('Zero→Noun', 'Gen')",1
"('Zero→Noun', 'Zero→Verb')",1
"('Zero→Noun', 'Pres')",1
"('Zero→Noun', 'Cop')",1
"('Gen', 'Zero→Verb')",1
"('Gen', 'Pres')",1
"('Gen', 'A3sg')",1
"('Gen', 'Cop')",1
"('PresPart→Noun', 'Gen')",11
"('A3pl', 'Gen')",18
"('Neg', 'Fut')",8
"('Fut', 'Past')",9
"('Caus→Verb', 'Inf1→Noun')",22
"('Able→Verb', 'Inf1→Noun')",9
"('Unable', 'PastPart→Adj')",3
"('Unable', 'P3sg')",5
"('FutPart→Noun', 'P3sg')",12
"('Unable', 'A1sg')",9
"('Aor', 'A1sg')",13
"('Pass→Verb', 'FutPart→Noun')",14
"('Able→Verb', 'P2sg')",1
"('Able→Verb', 'Abl')",1
"('FutPart→Noun', 'P2sg')",9
"('FutPart→Noun', 'Abl')",3
"('Caus→Verb', 'PresPart→Adj')",16
"('Able→Verb', 'Acc')",9
"('FutPart→Noun', 'Acc')",26
"('P3pl', 'Acc')",12
"('Desr', 'A3pl')",5
"('Caus→Verb', 'PastPart→Noun')",5
"('Fut', 'A1pl')",14
"('Desr', 'Past')",18
"('PastPart→Noun', 'Loc')",1
"('A3sg', 'Loc')",20
"('P1sg', 'Loc')",1
"('Past', 'A2pl')",19
"('Inf1→Noun', 'Cond')",3
"('A3sg', 'Cond')",3
"('Zero→Verb', 'Cond')",3
"('Cond', 'A3sg')",14
"('Caus→Verb', 'Gen')",4
"('PastPart→Adj', 'P2sg')",2
"('Caus→Verb', 'AorPart→Adj')",1
"('Pass→Verb', 'AorPart→Adj')",1
"('Able→Verb', 'AorPart→Adj')",1
"('Neg', 'Prog1')",16
"('Past', 'A3pl')",11
"('Neg', 'A1pl')",13
"('Unable', 'Prog1')",6
"('Pass→Verb', 'Cond')",2
"('Aor', 'Cond')",3
"('Neg', 'Inf1→Noun')",5
"('Neg', 'P2sg')",2
"('Inf2→Noun', 'Loc')",6
"('Pass→Verb', 'A1pl')",1
"('Able→Verb', 'A3pl')",8
"('FutPart→Noun', 'A3pl')",13
"('Neg', 'Abl')",3
"('Opt', 'A1pl')",7
"('Neg', 'FutPart→Noun')",5
"('Aor', 'A3pl')",12
"('Aor', 'Narr')",4
