Caus→Verb,15
Neg,352
Imp,440
A2sg,314
Past,657
A3sg,1615
Aor,306
Cond,46
Pass→Verb,419
PresPart→Adj,141
Inf2→Noun,252
PastPart→Adj,73
P3sg,255
Prog1,262
A1sg,269
A2pl,225
Inf1→Noun,146
ByDoingSo→Adv,96
Narr,327
Cop,116
A1pl,148
AfterDoingSo→Adv,224
A3pl,164
Fut,124
Opt,75
Dat,46
Able→Verb,42
Unable,38
Acc,138
PastPart→Noun,202
P1pl,29
FutPart→Adj,40
P3pl,27
AsLongAs→Adv,2
Desr,37
Abl,38
Ins,17
FutPart→Noun,29
P1sg,34
Neces,30
WithoutHavingDoneSo→Adv,14
AorPart→Adj,18
Loc,26
When→Adv,10
Prog2,24
P2sg,43
P2pl,11
Gen,27
PresPart→Noun,10
AsIf→Adv,1
Zero→Verb,7
Pres,5
While→Adv,13
NarrPart→Adj,2
Zero→Noun,2
Hastily→Verb,6
Rel→Adj,1
SinceDoingSo→Adv,3
With→Adj,1
