Prog1,494
A3sg,2176
Inf1→Noun,195
Neg,302
Past,555
A2sg,239
Inf2→Noun,441
Abl,109
Aor,517
Cond,63
While→Adv,67
ByDoingSo→Adv,58
Desr,39
Acc,217
Narr,440
Cop,161
PresPart→Adj,328
Pass→Verb,147
PastPart→Noun,319
P2sg,98
Fut,243
A2pl,80
Able→Verb,128
A3pl,226
Imp,147
AorPart→Adj,13
AfterDoingSo→Adv,146
A1pl,204
A1sg,390
When→Adv,58
P3sg,386
WithoutHavingDoneSo→Adv,19
Unable,118
Gen,49
Prog2,42
Loc,110
P1sg,58
Dat,101
FutPart→Noun,58
P3pl,31
PresPart→Noun,39
Hastily→Verb,8
PastPart→Adj,87
P2pl,26
FutPart→Adj,40
P1pl,37
Ins,25
Opt,51
Neces,13
Zero→Verb,10
Pres,4
Zero→Noun,2
SinceDoingSo→Adv,4
AsLongAs→Adv,3
Rel→Adj,1
NarrPart→Adj,1
With→Adj,1
WithoutBeingAbleToHaveDoneSo→Adv,1
