Pass→Verb,830
Narr,485
A3sg,2704
Inf1→Noun,222
Able→Verb,132
Prog1,605
Cond,105
A1sg,459
A1pl,232
Unable,77
Imp,286
A2sg,328
Neg,453
PastPart→Adj,154
P3pl,41
Fut,268
P1pl,48
Past,903
Inf2→Noun,377
P3sg,434
Dat,93
PresPart→Adj,445
A3pl,342
Opt,105
ByDoingSo→Adv,65
FutPart→Adj,46
Aor,560
While→Adv,34
A2pl,106
PastPart→Noun,333
P2sg,76
Cop,263
FutPart→Noun,81
Acc,247
Abl,52
AfterDoingSo→Adv,56
P2pl,39
Loc,26
Prog2,81
Zero→Verb,19
Pres,14
Neces,40
Desr,33
P1sg,45
Ins,11
PresPart→Noun,35
When→Adv,12
WithoutHavingDoneSo→Adv,24
Gen,27
Caus→Verb,9
With→Adj,2
AsLongAs→Adv,1
AorPart→Adj,2
SinceDoingSo→Adv,1
Zero→Noun,1
Equ,1
