Aor,584
While→Adv,63
Neg,304
PastPart→Noun,423
A3sg,2595
P3sg,502
P1pl,93
Past,750
A2sg,294
Prog1,629
Pass→Verb,1148
Inf2→Noun,461
Acc,309
Dat,129
FutPart→Adj,64
PastPart→Adj,135
P1sg,56
Able→Verb,221
Fut,335
A2pl,147
Opt,102
A1pl,344
A1sg,407
P3pl,63
AfterDoingSo→Adv,54
Narr,377
Cop,182
PresPart→Adj,510
Gen,31
Inf1→Noun,257
FutPart→Noun,118
A3pl,308
P2sg,102
Caus→Verb,110
Neces,42
NarrPart→Adj,7
Imp,128
ByDoingSo→Adv,56
Abl,58
Unable,120
P2pl,47
Prog2,60
Zero→Verb,19
Pres,12
Cond,90
When→Adv,8
Desr,46
Ins,9
PresPart→Noun,39
Loc,30
Rel→Adj,1
WithoutHavingDoneSo→Adv,9
EverSince→Verb,2
AsIf→Adv,2
Hastily→Verb,1
Zero→Noun,1
SinceDoingSo→Adv,2
AorPart→Adj,2
AsLongAs→Adv,1
