"('PastPart→Noun', 'A3sg')",2177759514493412.0,168,2237
"('PastPart→Noun', 'Acc')",4920086633357054.0,168,160
"('A3sg', 'Acc')",4920086638939674.0,2237,160
"('Pass→Verb', 'Neces')",5063026601251285.0,961,80
"('Pass→Verb', 'A3sg')",2177759523975134.5,961,2237
"('Neces', 'A3sg')",2177759513924663.5,80,2237
"('PresPart→Noun', 'A3pl')",5032416183366821.0,11,97
"('Past', 'A3sg')",2177759514433588.2,214,2237
"('Prog2', 'A3sg')",2177759513966246.5,100,2237
"('Prog2', 'Cop')",4469612762297450.0,100,423
"('A3sg', 'Cop')",4469612769754156.5,2237,423
"('Inf1→Noun', 'A3sg')",2177759514754751.8,441,2237
"('Narr', 'A3sg')",2177759514058373.2,257,2237
"('Prog1', 'A3sg')",2177759514133993.2,162,2237
"('Pass→Verb', 'Narr')",4750375419623187.0,961,257
"('Pass→Verb', 'Aor')",4804163599943696.0,961,226
"('Aor', 'A3sg')",2177759514033948.0,226,2237
"('Pass→Verb', 'Past')",4825087177427313.0,961,214
"('Aor', 'Past')",4825087154435715.0,226,214
"('Pass→Verb', 'PastPart→Noun')",4905883084388730.0,961,168
"('Pass→Verb', 'Acc')",4920086656852839.0,961,160
"('Inf2→Noun', 'A3sg')",2177759515430541.5,464,2237
"('Inf2→Noun', 'P3sg')",4327164224644687.5,464,510
"('Inf2→Noun', 'Zero→Verb')",5095597471241074.0,464,62
"('Inf2→Noun', 'Pres')",5106486210846278.0,464,56
"('Inf2→Noun', 'Cop')",4469612769131769.5,464,423
"('A3sg', 'P3sg')",4327164229870831.0,2237,510
"('A3sg', 'Zero→Verb')",5095597471824898.0,2237,62
"('A3sg', 'Pres')",5106486211162486.0,2237,56
"('A3sg', 'A3sg')",2177759515134340.0,2237,2237
"('P3sg', 'Zero→Verb')",5095597468278944.0,510,62
"('P3sg', 'Pres')",5106486207735540.0,510,56
"('P3sg', 'A3sg')",2177759514530677.0,510,2237
"('P3sg', 'Cop')",4469612764146464.0,510,423
"('Zero→Verb', 'Pres')",5106486205336213.0,62,56
"('Zero→Verb', 'A3sg')",2177759514443244.5,62,2237
"('Zero→Verb', 'Cop')",4469612762751346.0,62,423
"('Pres', 'A3sg')",2177759513933752.5,56,2237
"('Pres', 'Cop')",4469612762289657.5,56,423
"('Neces', 'Cop')",4469612762284329.0,80,423
"('Inf2→Noun', 'Dat')",5000159277952249.0,464,115
"('A3sg', 'Dat')",5000159279953564.0,2237,115
"('Able→Verb', 'Aor')",4804163579451621.0,200,226
"('Able→Verb', 'A3sg')",2177759514629392.2,200,2237
"('Pass→Verb', 'Inf2→Noun')",4401948481282244.0,961,464
"('Pass→Verb', 'P3sg')",4327164241525916.5,961,510
"('Pass→Verb', 'Zero→Verb')",5095597489967264.0,961,62
"('Inf2→Noun', 'Past')",4825087160518701.0,464,214
"('A3sg', 'Past')",4825087160073997.0,2237,214
"('P3sg', 'Past')",4825087156944570.0,510,214
