Caus→Verb,1913
Unable,206
Aor,490
A1sg,885
Pass→Verb,679
Cond,33
A1pl,198
Prog1,669
Able→Verb,195
A3sg,2165
Fut,151
Cop,134
Neg,584
A2sg,328
Past,1202
Narr,239
Inf2→Noun,266
Ins,16
PastPart→Adj,93
P1sg,100
Inf1→Noun,287
Imp,214
P3sg,228
Opt,158
Neces,43
PastPart→Noun,264
PresPart→Adj,221
P2sg,67
Loc,49
A3pl,200
Gen,31
ByDoingSo→Adv,22
Dat,104
Acc,158
FutPart→Noun,61
A2pl,97
Prog2,65
While→Adv,56
AorPart→Adj,7
FeelLike→Adj,1
When→Adv,22
P1pl,63
P3pl,33
Abl,45
PresPart→Noun,25
AfterDoingSo→Adv,34
FutPart→Adj,20
P2pl,32
AsLongAs→Adv,3
Rel→Adj,1
Zero→Verb,7
Pres,7
Desr,28
WithoutBeingAbleToHaveDoneSo→Adv,4
Hastily→Verb,1
With→Adj,1
AsIf→Adv,1
WithoutHavingDoneSo→Adv,1
