Imp,1575
A2sg,1321
Past,726
A1sg,517
Prog1,594
A3sg,1356
PastPart→Adj,76
P1pl,123
Opt,390
A1pl,474
A2pl,436
Neces,13
PastPart→Noun,313
Loc,231
Pass→Verb,220
Fut,102
Inf2→Noun,162
P2sg,88
When→Adv,42
Abl,38
Aor,372
A3pl,137
Cond,87
P1sg,60
Neg,211
Narr,86
Inf1→Noun,103
While→Adv,50
P3sg,123
Acc,49
PresPart→Adj,15
Caus→Verb,13
AfterDoingSo→Adv,73
FutPart→Noun,7
AsLongAs→Adv,7
Gen,2
Cop,15
Able→Verb,44
ByDoingSo→Adv,115
Unable,28
Dat,52
Desr,21
P2pl,32
EverSince→Verb,1
FutPart→Adj,6
WithoutHavingDoneSo→Adv,22
Prog2,10
Recip→Verb,18
Ins,5
AorPart→Adj,1
PresPart→Noun,2
Zero→Verb,2
P3pl,5
Stay→Verb,4
FeelLike→Noun,1
Hastily→Verb,1
