PresPart→Noun,69
A3pl,306
Pass→Verb,895
PastPart→Noun,291
A3sg,2460
P3sg,394
Dat,115
Prog1,918
Aor,697
A1sg,695
When→Adv,16
Opt,75
A1pl,319
Neg,314
Imp,93
A2sg,99
Narr,346
PresPart→Adj,434
Fut,225
PastPart→Adj,108
P1pl,63
FutPart→Noun,67
Acc,240
Inf1→Noun,303
A2pl,164
Past,526
FutPart→Adj,49
Desr,25
Cop,294
Inf2→Noun,455
Zero→Verb,24
Neces,37
Unable,113
P2pl,38
Loc,37
NarrPart→Adj,4
Pres,17
P2sg,82
Abl,57
While→Adv,25
Able→Verb,141
ByDoingSo→Adv,109
Gen,35
Prog2,121
P3pl,29
P1sg,47
Ins,10
Caus→Verb,88
Cond,89
Repeat→Verb,1
EverSince→Verb,2
AfterDoingSo→Adv,10
Hastily→Verb,3
With→Adj,3
WithoutHavingDoneSo→Adv,17
AsIf→Adv,4
Zero→Noun,3
AorPart→Adj,2
AsLongAs→Adv,2
FeelLike→Noun,1
