PresPart→Adj,525
PastPart→Adj,102
P3sg,592
Inf2→Noun,337
A3sg,3037
Zero→Verb,21
Pres,18
Cop,157
Desr,176
Fut,218
Aor,679
Neg,519
Cond,111
ByDoingSo→Adv,785
PastPart→Noun,665
Acc,530
AfterDoingSo→Adv,51
Past,503
Narr,194
Prog1,254
Imp,218
A2sg,63
Dat,85
Able→Verb,228
PresPart→Noun,63
A3pl,132
Abl,64
P2sg,212
Loc,27
P2pl,13
When→Adv,28
Inf1→Noun,148
A1sg,98
P1sg,39
FutPart→Adj,28
P3pl,37
Prog2,20
AsLongAs→Adv,4
P1pl,34
FutPart→Noun,51
A1pl,78
A2pl,35
Gen,48
Pass→Verb,21
Opt,17
Unable,60
Neces,44
WithoutHavingDoneSo→Adv,14
Hastily→Verb,3
With→Adj,3
Equ,5
Ins,9
While→Adv,4
