PastPart→Adj,178
P3sg,528
FutPart→Noun,73
A3sg,1912
Past,259
Imp,20
A2pl,23
Pass→Verb,424
Narr,293
Unable,24
Prog2,60
Cop,218
Able→Verb,135
Acc,270
PresPart→Adj,236
Inf1→Noun,219
Prog1,166
PastPart→Noun,365
A3pl,86
P3pl,32
P2sg,67
FutPart→Adj,54
ByDoingSo→Adv,50
Zero→Verb,42
Pres,36
A2sg,30
Aor,194
Fut,86
P2pl,11
Inf2→Noun,408
Loc,44
Dat,97
Desr,6
A1pl,61
WithoutHavingDoneSo→Adv,10
Gen,41
AfterDoingSo→Adv,24
A1sg,31
PresPart→Noun,23
Neg,121
Cond,25
P1pl,17
While→Adv,8
Ins,12
NarrPart→Adj,6
Zero→Noun,5
AorPart→Adj,7
Opt,16
Neces,12
Abl,30
P1sg,4
When→Adv,3
Rel→Adj,7
Hastily→Verb,1
