Inf2→Noun,1892
A3sg,2595
Caus→Verb,145
PresPart→Adj,45
Able→Verb,31
Prog1,955
A1sg,482
Past,618
A3pl,1096
Gen,206
PastPart→Noun,243
P3sg,430
PastPart→Adj,82
P1pl,121
Unable,33
Aor,365
A1pl,310
ByDoingSo→Adv,62
Loc,224
Acc,344
Ins,62
Desr,28
A2sg,132
Fut,200
PresPart→Noun,161
Dat,260
While→Adv,83
AfterDoingSo→Adv,28
Inf1→Noun,166
Neg,204
Imp,49
Pass→Verb,206
P3pl,202
Narr,155
A2pl,63
Cond,54
Abl,74
P2sg,180
P2pl,36
FutPart→Noun,29
Cop,142
P1sg,95
AsLongAs→Adv,5
Neces,20
Opt,42
Prog2,63
FutPart→Adj,19
WithoutHavingDoneSo→Adv,7
Zero→Verb,25
Pres,23
AorPart→Adj,7
Rel→Adj,4
When→Adv,6
FeelLike→Noun,2
FeelLike→Adj,1
AsIf→Adv,1
Equ,1
