"Tür"	"Künye"	"Sol"	"-5;5"	"Sağ"
"w"	"W-UD02A1B-4612-2305"	"“sorumlu egemenlik” egemenlik” anlayışına sahip"	"olmalarının"	"gerektiği söylenebilir. Anahtar Kelimeler Egemenlik,"
"w"	"W-VD02A1B-4633-192"	"“Ateşi “Ateşi olduğunda vücut kırmızı"	"olur."	"Bu hastalığın dışarı verilmediğini gösterir."
"s"	"S-BEABXw-0353-397"	"şöyle yapsak nasıl olur? Tamam"	"olur."	"Ne gonuştuk o şeyle vezneynen?"
"s"	"S-ADAB^Z-0370-545"	"şöyle soralım. Hayali, çocukluk hayalin"	"olabilir"	"ya da okurken ben bu"
"s"	"S-BEABXw-0353-1354"	"şöyle olur böyle olur. Şu"	"olur"	"bu olur şuydu buydu. Baktım"
"s"	"S-ACABPZ-0329-198"	"şöyle der Bir emm rütiye"	"olmak"	"istiyorsanız tabi olabilirsiniz. Ama 10"
"s"	"S-ACABQq-0423-2124"	"şunu söylemek istiyorum Bir argümantasyon"	"olarak,"	"gerçekten, bu son aşamaya gelinceye"
"s"	"S-ACABQq-0422-2151"	"şunu göstermiştir ki, Türkiye ısrarlı"	"olursa,"	"Avrupa Birliğinde yol alabilir. Türkiye,"
"s"	"S-ADABLp-0061-1774"	"şunu demezmiyim Nüfusun en az"	"olduğu"	"yıl 1927'dir. O zaman en"
"s"	"S-ACABTZ-0336-1364"	"şunları söyliyebiliriz. Atmosferin davranışlarının kaotik"	"olduğu"	"bilinmektedir. Küresel iklim değişiminin küresel"
"s"	"S-BEABXw-0353-2130"	"Şunlar oldu mu oldu, bunlar"	"oldu"	"mu oldu, ee! şu oldu"
"s"	"S-BEABXO-0092-253"	"Şubat ayında dördü dolduracak kısmet"	"olursa."	"Sonra canım dedi senin kardeşin"
"s"	"S-BEABXO-0075-1849"	"şuanda var ya herkes polis"	"oluyor."	"Dimi. O... Kaç tane 70"
"s"	"S-BEABXO-0344-1392"	"şu çocuk yakışıklı falan dediği"	"oldu"	"mu hiç? Ülkü face'ine atarlı"
"s"	"S-ADABPZ-0134-382"	"Şu sırada tam da ihtiyacımız"	"olan"	"şeyleri bunlar olarak görüyorum. Sabrınız"
"s"	"S-AAABOp-0011-2480"	"şu mavi olsun, şu yeşil"	"olsun,"	"şu mavi olsun <D 1918>"
"s"	"S-BEABXp-0156-707"	"şu bağlamlarda bunu kullanmış tarzı"	"olabilir"	"yani. Hı-hı. Ona slang slang"
"s"	"S-ACABQq-0425-509"	"şu anda gene konusuyla ilgili"	"olarak"	"Plan Bütçe Komisyonunda görevini yapmaktadır."
"w"	"W-QE30D1B-2107-1864"	"şu ana kadar en etkili"	"olarak"	"görünen iki isim dikkat çekiyor"
"w"	"W-IE39E1B-3028-1394"	"Şişmanlık, ihtiyaçtan fazla gıda alımı"	"olarak"	"tarif edilirse sadece gıda miktarını"
"w"	"W-QA16B2A-0066-2349"	"şişedeki güzellik... Bu kadar ince"	"olmasını"	"içindeki gözyaşları mı sağladı, hüzün"
"w"	"W-GD05A2A-0427-781"	"Şirketler, ait oldukları sicile kayıt"	"oldukları"	"anda tüzel kişilik kazanırlar. Kamu"
"w"	"W-UA16B3A-1150-982"	"şirketin otobüsüyle yolculuk etsem, nasıl"	"olur?"""	"diye sormadan edemedim. Gülümseyerek; ""Merak"
"s"	"S-BEABXO-0093-1928"	"şirin oluyim. Ben hastalanan şirin"	"oldum."	"Hayır. Sen... Mersi canım. Yaa."
"s"	"S-BEABXT-0066-2252"	"şimdik çok ultrasonic bi çocuk"	"olur,"	"hani napıyolar 3. sınıfta amına"
