Pair,ol,et,yap,al,de,gel,ver,gör,çık,bul,git,çalış,iste,geç,bil,anla,kal,söyle,bak,ye,başla,i,yaşa,gir,kullan,gerek,düşün,getir,aç,yaz,göster,konuş,oluş,çek,geliş,düş,dur,sor,sağla,kur,tut,at,sür,bırak,oku,sev,duy,tanı,bekle,uygula,değiş,koy,kaç,dön,art,belir,öl,kazan,ayır,otur,taşı,say,bit,açıkla,karşıla,kat,kes,gül,gerçekleş,ulaş,işle,yak,yürü,kalk,öğren,düzenle,bin,yarat,izle,oyna,sık,koru,hazırla,belirle,topla,seç,doğ,inan,değerlen,tart,daya,kapa,dol,benze,bas,büyü,unut,in,gönder,etkile,incele,san,sat,kaldır,dinle,sun,yat,kar,ele,götür,yüksel,hatırla,hisset,dönüş,öde,yet,üret,bağla,vur,yetiş,azal,yerleş,uy,kork,savun,kaybet,boz,koş,tak,çöz,kon,çevir,kap,kır,çal,yakala,yaklaş,ağla,öğret,giy,tanımla,yansı,güven,uza,sar,birleş,uğra,aş,ekle,içer,tamamla,sok,yay,harca,evlen,dök,çağır,yönel,gez,kurtul,dene,ilerle,ilgilen,destekle,çiz,davran,dolaş,gözle,şaş,paylaş,uyan,uç,kurtar,yararlan,aktar,vurgula,kop,bağır,çarp,kay,ak,oy,vazgeç,ata,bahset,planla,zorla,engelle,uyu,uğraş,besle,değ,başar,sapta,öner,kaynaklan,yık,rastla,önle,kaydet,bula,uzan,sakla,yolla,seyret,böl,üz,dik,ek,yit,hesapla,uzaklaş,yönet,sözleş,yağ,yayınla,algıla,sil,alış,düzel,atla,kavuş,patla,er,sus,yükle,beğen,yen,başvur,dokun,öngör,gülümse,benimse,yıka,buyur,örgütle,kaybol,dağıt,genişle,it,yayımla,öp,yorumla,salla,suçla,uyar,eğ,sırala,es,sergile,kuru,parçala,sığ,ısın,anımsa,kapsa,eleştir,don,as,seslen,kavra,güçlen,döv,yönlen,çök,imzala,reddet,ört,ölç,üstlen,yarış,kutla,dinlen,çoğal,boya,göç,dağıl,amaçla,boşal,gecik,bat,fırla,sınırla,yargıla,temizle,yoğunlaş,sap,çözümle,yor,adlan,ez,iyileş,hedefle,sorgula,derle,eri,yapılan,sula,birik,doy,kayna,yasakla,boşa,boğ,kapla,titre,gizle,piş,sal,tekrarla,gözük,onayla,yenile,yanıtla,kanıtla,özen,keşfet,zannet,yakış,hızlan,sön,canlan,tüket,pazarla,çak,sürükle,ilet,utan,bulun,yapış,süz,özetle,akla,rahatla,denetle,işit,özle,göm,um,soy,yarala,barın,sonuçlan,sakın,bütünleş,saldır,hoşlan,yaygınlaş,diren,kolaylaş,yanıl,sez,em,dola,eriş,ayarla,tasarla,örnekle,aydınlat,arın,sars,toparla,eğlen,özelleş,aydınlan,kok,ger,danış,katlan,kızar,gözlemle,yığ,koşulla,daral,gerile,öv,küçül,uzlaş,süsle,şekillen,tüken,varol,sız,kana,tırman,eyle,elle,kısıtla,doğrula,bulaş,soğu,küreselleş,tutukla,parla,çabala,zayıfla,ser,kıyasla,yut,ertele,okşa,yar,sin,tara,sök,kov,aldat,cevapla,kuşat,nitele,devret,sav,bayıl,kucakla,programla,varsay,ör,kalkış,sanayileş,tıka,bağışla,kabullen,becer,sıçra,farklılaş,eğit,bürü,hallet,sıyır,faydalan,çırp,önemse,dışla,kabar,borçlan,yaşlan,nitelen,ayaklan,üşü,farket,çürü,şiş,sınıflan,yırt,yinele,affet,gözet,yücel,dalgalan,bilgilen,zenginleş,sinirlen,kıs,del,görevlen,kastet,serp,odaklan,irdele,olgunlaş,emret,sınıfla,zorlaş,biç,noktala,oyla,alkışla,yalvar,indirge,kirala,çiğne,yavaşla,doğrul,yanaş,haberle,yumuşa,depola,donat,yasla,küçümse,kıskan,yokla,haykır,kıpırda,bık,terket,kirlen,abar,selamla,kararla,türe,kıvır,bük,işaretle,heyecanlan,ürk,düşle,fısılda,havalan,belgele,yakınlaş,kısal,yabancılaş,kına,yuvarla,avla,çevrele,sınırlan,kavur,pekiş,kovala,yum,kilitle,bağdaş,parala,sark,aşağıla,kokla,çatla,özdeşleş,terle,gereksin,inle,derinleş,arala,gevşe,kus,oyala,aksa,döşe,üre,aşıla,betimle,tap,hafifle,ısır,sürt,hastalan,yeğle,acık,sapla,resimle,modernleş,küs,ağırla,simgele,zehirle,öt,zedele,kirlet,sömür,naklet,fotoğrafla,sarar,çıldır,onar,ateşle,soyutla,kışkırt,ilaçla,yadsı,bunal,tık,ezberle,iliş,sızla,yala,ayıkla,bombala,uzmanlaş,zıpla,uğurla,ağırlaş,demokratikleş,hükmet,eşle,kaşı,ödüllen,susa,arzula,ürper,yadırga,öfkelen,üfle,konakla,belirginleş,fışkır,dengele,mırılda,fethet,esirge,biçimlen,yatış,katlet,ilişkilen,umursa,devral,alıkoy,yalanla,ispatla,kurgula,hapset,duyumsa,yozlaş,irkil,aşın,yıpran,kımılda,sik,biçimle,coş,tıkla,bilinçlen,güçleş,saçmala,ısmarla,kesinleş,karala,katla,yaşar,haşla,diril,yeşer,güzelleş,kıvran,kodla,sahiplen,gölgele,görüntüle,azarla,yağla,yüzleş,solu,sakinleş,delir,esinle,genelle,süpür,duygulan,eksil,doğra,yankılan,büyüle,durakla,kentleş,hareketlen,isimlen,beze,bıçakla,incit,püskür,otla,zikret,sertleş,sırıt,tükür,anlamlan,tep,büz,atfet,gözetle,boşver,kemir,sıva,netleş,yardımla,çınla,sarmala,sabret,körükle,özgürleş,kurcala,temellen,tüt,çeşitle,kuvvetlen,paketle,devşir,silk,yudumla,duraksa,sarfet,öyküle,küfret,somutlaş,kurumsallaş,sıç,yıprat,vedalaş,tazele,alçal,eklemle,şükret,endişelen,kuşkulan,dona,salgıla,yapılaş,buharlaş,usan,hıçkır,arzet,demle,yeral,şüphelen,lafla,sonlan,esne,çağla,sek,buruş,eşitle,meşrulaş,düğümle,ağar,ışı,aldan,tuzla,imren,mahvet,kamaş,resmet,kak,tetikle,belle,güncelle,hırpala,öksür,yama,çalkala,başkaldır,,Verb_type_frequency
"('Caus→Verb', 'Pass→Verb')",6157.768070953437,27639.977337110482,2819.678364987614,15108.59184527407,10978.535204081632,6254.986623429266,,5406.065395095367,,5255.698246080256,,1985.5384615384614,,,3219.847074468085,1503.283633841886,,,,10825.722808942532,1427.8091168091169,35786.38527889592,446.54589371980677,,,,,,,357.6497695852535,,,897.415015641293,,1557.4474645030425,,1393.9310872894334,,,4297.155132830437,1151.3890339425586,6170.81330207305,2251.369281045752,,1604.7684210526313,,43.939473684210526,1819.9691817215728,1917.9039735099338,,764.1171428571429,,,2521.8749999999995,2046.2662116040958,2723.597878495661,4788.546341463415,750.9375520399667,,980.9629629629629,,,,,,,749.25,,,1411.1317733990147,1867.9879025666175,1979.350099009901,1369.4124809741247,,,,,,,,746.0470588235295,,,,,,682.2126068376068,419.67073170731703,,,,1542.5373134328358,1203.1442105263159,,908.8383968972205,,628.5925925925926,8771.032434651705,,,,,,,1125.3786008230454,,310.7230769230769,2519.578620941262,16727.264904187366,,859.8590462833099,386.30893821235753,177.17802197802197,1452.0394736842106,,2458.2279042270175,,,,1139.1891491254075,1172.7118580060421,1786.362125259721,2827.2395915161037,,,,,9.835423197492162,,,133.8325791855204,,3489.530902461258,1540.854700854701,3120.5110663983905,,337.85539215686276,602.904109589041,,706.2604735883424,,472.82010050251256,,1136.8599397590363,,1081.9957761351639,1122.8730158730157,12390.197862129146,5412.605421686747,,,,,,1251.55919395466,,,1001.988465974625,,,,,,,,,,,,,,,,,,,995.6086956521738,,1795.4990583804145,6007.711227402474,36156.28910594592,1832.3957597173146,,,,,,,923.9473684210526,,,1659.299842519685,,,,,,,2484.791445740544,,458.3426270136307,,,,,,4707.320369149637,,216180.0935986263,,,,,,228.41872791519435,,,371.5987780040733,2849.9420468557337,926.3047835990889,1368.7065397350993,1505.9016686531586,466.2,72532.77370873222,,,,,,81.6305220883534,,,,,,,,,1350.2642857142857,17860.89186295503,,,,,,,3784.561684596017,,5135.291945128385,,1598.8354600402954,,,,312.29368029739777,,,3533.245024875622,7471.361389052384,534.7881040892194,,,,1081.4305408271473,,424.91666666666663,,,,,,,600.8460111317255,1008.3801083210241,145.7434554973822,,,,961.675945537065,715.9970149253732,,446.71713362068965,,,,,4610.608175473579,,,259.36719883889697,1604.7702546296298,,,,,2087.155172413793,,,,,856.6034482758621,,2555.629728924635,,,,,,1857.7766012396694,,,,,,,815.8650306748467,,,513.4567015995588,,499.5973614775726,,,,,,,71.54773869346734,2509.2721453287195,690.2252497729337,,,2388.4018567639255,,,,,,12627.234166381377,,,,,,,,,,,,,208.6982097186701,76405.51202231768,937.1575342465753,,,,,,1073.0590140338252,,,,,,,1328.0857719475277,,,,,,,1034.6990131578946,,,1052.602697731453,731.6031390134528,,,,,269.07936507936506,,,,2978.4492325855967,,,,,,,1830.0635400907715,,535.046378653113,,,783.9876760563379,,,,1415.4283779207585,,,,,,,3292.3214761270688,,,,,,,11457.353348729792,,,,,,,,,,983.9507575757576,,,,,,,,,,2398.1156553167207,,,,455.8198810535259,,,,,,,387.45823927765235,,,,,3260.6992639327023,333.45011600928075,,,,,,,,,,,,,,,,,,,335.7164009111617,,,431.909518213866,,,,,,,,68.1020066889632,,,,110.595521023766,,,1037.7708830548925,,,,,,,,254.05552202776104,,,723.5921638468387,,,,,,,,396.48517520215637,,1724.4174468085107,,713.2109300095877,,,,,,,,,1136.4135135135134,,,,,,,,3004.8241181496396,,,,344.2207792207792,,,,,,,,,,,,,542.9861591695502,,,,,,,,,,,,,,,,422.0063694267516,607.9265463917526,12.42942942942943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.10568454763813,,,,,,176.16377005347593,,,,,,,,,,,,,,,,392.0787965616046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.48979591836732,,,72532.77370873222,171
"('Caus→Verb', 'Caus→Verb')",118.99068736141908,628.1813031161473,21.943022295623454,1067.2095401924776,1424.6954081632655,,,,,,,55.15384615384615,,,,41.18585298196948,,,,,,992.6165229058847,,,,,,,,119.21658986175116,,,,,,,,,,70.56247950147589,383.7963446475195,192.17065646594273,8.898692810457517,,393.0045112781955,,43.939473684210526,,,,3.1971428571428575,,,,,,410.4468292682927,8.162364696086595,,71.77777777777777,,,,,,,83.25,,,,12.927251920876245,,,,,,,,,,7.173529411764706,,,,,,47.0491452991453,,,,,104.77611940298507,51.31894736842105,,16.32643826761474,,,185.7058984535377,,,,,,,19.743484224965705,,8.176923076923076,28.52353155782561,125.65081618168915,,,,,,,,,,,,,,18.12333071484682,,,,,,,,133.8325791855204,,236.0377392889699,256.8091168091168,656.9496981891349,,,,,28.82695810564663,,,,13.642319277108435,,,,98.96324171029669,212.25903614457832,,,,,,,,,,,,,,4.758031088082901,,,,,,,,,,,,,,27.655797101449274,,13.39924670433145,46.75261655566128,5802.114794307816,801.6731448763251,,,,,,,27.99840510366826,,,13.88535433070866,,,,,,,,,,,,,,,91.1094264996704,167.45934959349594,3390.5925777212037,,,,,,15.22791519434629,,,57.16904276985743,36.075215782983975,18.362870159453305,46.13617549668874,,,9042.813721449627,,,,,,367.33734939759034,,,,,,,,,,16.818165596002853,,,,,,,105.96772716868848,,187.5905733380232,,5.29415715245131,,,,17.034200743494424,,,13.88308457711443,174.76868746321364,6.077137546468401,,,,,10.424846625766872,332.57608695652175,,,,,,,,7.756770064007878,72.8717277486911,,,,9.405143721633888,,,2.919719827586207,,,,,76.84346959122631,,,,211.61805555555557,,,,,,,,2.6677243880326382,,,,49.50372356270479,,,,,,166.61673553719007,,,,,,,,,,,,11.441160949868074,,,,,,,,,2.8287920072661215,,,68.24005305039788,3.789281997918835,,,,,135.61468675111263,,,,,,,,,,,,,32.1074168797954,2346.0373289642653,,,,,,,,,,,,,,,,,,,,,3.9643640350877187,,,17.326793378295523,,,,,,,,,,50.269185360094454,,,,,,,76.25264750378214,,8.992376111817027,,,,,,,13.609888249238063,,15.847014925373134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1512797074954295,,,,,179.62565720294427,,,,,,,,,,,,,,18.37013669821241,571.6287703016242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.808500914076783,,,,,,,,,,,,,,4.579697239536954,,,,,,,,,,9.633617021276596,,,,,,,13.26530612244898,,,,18.62972972972973,,,,,,,,4.458196020993531,,,,,,,,,,,,,,,,,,,,,,,,5.374113475177305,,,,,,,5.508510638297873,,80.38216560509554,,,,,,,,,,,,,,,,,,,,,,,9.009216589861753,,,,,,2.132631578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.469586374695864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2332268370607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.80867346938774,,,9042.813721449627,109
"('Loc', 'Rel→Adj')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.9160120793185,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.6142072017058,,,,,,,,,,,,,,,1039.484007509494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.7165786968936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039.484007509494,4
"('Inf3→Noun', 'Equ')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.844308363005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.844308363005,1
"('FeelLike→Noun', 'Equ')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.61971706454466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.61971706454466,1
"('Inf2→Noun', 'With→Adj')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.94603368806764,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.92009561208806,,,,,,,,,,,,,,,197.42800881696468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.42800881696468,3
"('FeelLike→Noun', 'P1sg')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.64895779013082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.64895779013082,1
"('Pass→Verb', 'FeelLike→Adj')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.04241891909444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.35953318335208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.35953318335208,2
"('Pass→Verb', 'EverSince→Verb')",,,,451.9113537819174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5019521762284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.9822580645161,,,,,44.906355455568054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.906355455568054,4
"('Aor', 'While→Adv')",31.25581395348837,54.90505765568051,,41.60276751399116,69.34593618302227,,,,,,,,,,,,,,,24.663835139318884,,50.20388442529609,,,,,,,41.5052061640983,,,237.66442953020132,,,,,,,,,,41.060255579951665,39.67001839581361,,,,,,63.71625344352617,,,,,,,35.16967378752887,,,,,,,,,,,,,,,,78.52612478369544,105.31715838509317,,,,,,164.5993365921788,,,,41.639013452914796,,,,122.43125866851594,,,,,,26.044684597170786,,,,,63.43676883428374,,,,,,,,,,,66.87686373357775,,,,,,,,,,39.98929573305773,,,,67.21927318362661,,,,,,,,132.24348137535816,,,,72.3278725824801,,115.84160624651423,,,,,,,,28.719122886726126,,263.9847376788553,86.07322560477523,88.88192062714356,,,,,,,,,,59.6365028996608,,,,,,,,134.07441154138192,,,,,,,,,,,,,52.540341742597995,43.182541386616464,36.08844743522585,,,48.120283470599496,,,,,244.00544959128067,,,,,,,34.32216766972864,,,,,,,,379.6312364425163,,38.01695780978649,,44.87670109501126,,,,,,,,,,120.95193508114856,,,,,43.875746681473025,,,,,,,,,,,,,,,,46.15026737967914,,,,,,,19.05722923183507,,40.84349675776333,,,,,,,,,,38.089442815249264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.03370547581075,,,,,106.40275157232705,,,,,,,,,,,,,27.298195067264572,,,,,,,,,,,,,,,,,,,,,,,,91.28930669800233,,,,,,71.29268110177303,,,,,,,,,,,,,,57.300322988862,20.092001748251747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.53578947368422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.907884761182714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.21327014218009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.38000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.875746681473025,57
