verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
ol,32033,0.7962465821526225,318,0.6297029702970297
et,132818,0.8151594194003744,362,0.6177474402730375
yap,12702,0.8109039836567926,303,0.6839729119638827
al,147052,0.7945492662473794,392,0.5930408472012103
de,70614,0.8223743973167493,324,0.6328125
gel,19309,0.8182126361286495,283,0.6373873873873874
ver,7473,0.8273914968999114,241,0.6807909604519774
gör,12672,0.8243559718969555,254,0.6463104325699746
çık,11041,0.8503542821934689,280,0.7106598984771574
bul,21938,0.783611944563509,296,0.6548672566371682
git,5349,0.8524302788844621,230,0.749185667752443
çalış,7776,0.8484451718494271,242,0.6685082872928176
iste,7276,0.8420321722022914,206,0.7330960854092526
geç,9824,0.7915558778502941,264,0.7021276595744681
bil,9776,0.8304451240231057,252,0.6847826086956522
anla,15930,0.7758242828617348,286,0.6682242990654206
kal,22191,0.8186748321404855,305,0.668859649122807
söyle,6767,0.8408300198807157,240,0.7207207207207207
bak,4453,0.8932798395185557,193,0.7628458498023716
ye,34413,0.7776597667902015,325,0.6448412698412699
başla,5245,0.8715520106347624,213,0.7220338983050848
i,314448,0.8019034649488559,398,0.6076335877862595
yaşa,5759,0.8230670287265971,261,0.6997319034852547
gir,5191,0.8733176312247645,233,0.7350157728706624
kullan,6299,0.7715580597746203,244,0.6703296703296703
gerek,8275,0.8809751942936229,141,0.7157360406091371
düşün,5611,0.8264840182648402,240,0.7100591715976331
getir,5500,0.8552324677344114,245,0.708092485549133
aç,18754,0.8325860155382908,298,0.6978922716627635
yaz,5440,0.8251175489155165,259,0.7
göster,4143,0.8371388159224086,231,0.7623762376237624
konuş,6756,0.8837148463047744,260,0.7536231884057971
oluş,5964,0.738392967686022,212,0.7066666666666667
çek,4750,0.8273819892004877,252,0.7138810198300283
geliş,6059,0.7830188679245284,208,0.7298245614035088
düş,10876,0.8476346348686774,255,0.6572164948453608
dur,5680,0.8289550496205488,270,0.7377049180327869
sor,8620,0.8290055779957685,261,0.7073170731707317
sağla,4843,0.7970704410796576,204,0.7183098591549296
kur,19583,0.797320955987134,318,0.6928104575163399
tut,9340,0.740388426476417,281,0.7150127226463104
at,74372,0.7867555273458161,344,0.6243194192377496
sür,11590,0.7736982643524699,269,0.6609336609336609
bırak,4273,0.8282612909478582,238,0.7345679012345679
oku,9139,0.791323924149277,299,0.6889400921658986
sev,5509,0.8981089012063906,240,0.7207207207207207
duy,7096,0.8139481532461573,273,0.7165354330708661
tanı,10324,0.7958066754027596,273,0.6642335766423357
bekle,4880,0.819204297465167,207,0.672077922077922
uygula,6263,0.8190139924153262,215,0.7190635451505016
değiş,6473,0.7922888616891065,261,0.717032967032967
koy,4922,0.8262548262548263,243,0.680672268907563
kaç,3667,0.8518002322880371,243,0.7641509433962265
dön,9196,0.7968113681656702,270,0.678391959798995
art,11245,0.7972915484968803,250,0.6648936170212766
belir,11469,0.7545891177051122,235,0.7057057057057057
öl,14765,0.7984533852476746,282,0.6635294117647059
kazan,4990,0.8178987051303065,254,0.7075208913649025
ayır,5701,0.7351386202450032,246,0.7409638554216867
otur,4036,0.8609215017064846,255,0.7566765578635015
taşı,3504,0.8947906026557712,219,0.7525773195876289
say,8339,0.7537738407303625,224,0.6726726726726727
bit,4534,0.8756276554654306,205,0.7295373665480427
açıkla,4619,0.8201349431818182,207,0.7610294117647058
karşıla,5045,0.86150956284153,225,0.7425742574257426
kat,11106,0.7874920229738354,277,0.6890547263681592
kes,5216,0.7718259840189405,248,0.7126436781609196
gül,5301,0.8649045521292217,243,0.7617554858934169
ulaş,8846,0.7811037527593819,280,0.693069306930693
işle,12353,0.7722072888666625,250,0.6868131868131868
yak,19235,0.8426055721044331,313,0.6864035087719298
yürü,5588,0.804839406596572,247,0.7373134328358208
kalk,6259,0.8927399800313792,242,0.7423312883435583
öğren,4165,0.8974358974358975,227,0.7418300653594772
düzenle,4254,0.7757111597374179,172,0.7257383966244726
bin,846,0.8528225806451613,177,0.8232558139534883
yarat,3566,0.7803063457330416,207,0.7137931034482758
izle,11947,0.7864525047725627,286,0.6777251184834123
oyna,4208,0.8679867986798679,213,0.714765100671141
sık,3684,0.7920877230703075,223,0.7384105960264901
koru,4979,0.876738862475788,224,0.8175182481751825
hazırla,4503,0.7629617078956286,215,0.7363013698630136
belirle,4439,0.7321458024080488,191,0.7860082304526749
topla,4428,0.7838555496548062,226,0.7266881028938906
seç,4587,0.7638634471273938,247,0.7097701149425287
doğ,9796,0.820160750167448,272,0.6956521739130435
inan,4692,0.7738743196437408,246,0.673972602739726
değerlen,1568,0.8403001071811361,158,0.8144329896907216
tart,5335,0.853054045410937,211,0.7962264150943397
daya,2950,0.8228730822873083,206,0.7279151943462897
kapa,8063,0.7561661821251056,254,0.7448680351906158
dol,8678,0.792149703331812,268,0.6854219948849105
benze,2428,0.8077178975382568,194,0.7461538461538462
bas,4617,0.8000346560388147,255,0.7327586206896551
büyü,4288,0.9021670523879655,217,0.7948717948717948
unut,5260,0.7967282641623751,247,0.7159420289855073
in,48402,0.8142590380700839,348,0.6432532347504621
gönder,4491,0.8255514705882353,220,0.7508532423208191
etkile,4238,0.7726526891522334,186,0.7099236641221374
incele,5207,0.8658131027602262,203,0.7718631178707225
san,4289,0.8336248785228377,186,0.7654320987654321
sat,3826,0.7721493440968719,236,0.7421383647798742
kaldır,5024,0.8349675918231677,240,0.7667731629392971
dinle,6715,0.8495698380566802,272,0.6921119592875318
sun,3857,0.8062290969899666,210,0.7664233576642335
yat,6207,0.8549586776859505,266,0.7368421052631579
kar,12597,0.7996572081508284,285,0.6753554502369669
ele,41133,0.8245895395224826,302,0.6439232409381663
götür,4014,0.8768020969855832,225,0.7450331125827815
yüksel,3818,0.8123404255319149,213,0.7661870503597122
hatırla,4999,0.7898562174119134,227,0.6920731707317073
hisset,4662,0.848871085214858,245,0.718475073313783
dönüş,5648,0.7804338814425867,224,0.7133757961783439
öde,5310,0.8808891838088918,246,0.7299703264094956
yet,9789,0.7315596741648607,281,0.7042606516290727
üret,21,1.0,9,1.0
bağla,4223,0.748758865248227,243,0.759375
vur,13397,0.8501173932356114,285,0.7037037037037037
yetiş,6024,0.753376688344172,261,0.7111716621253406
azal,5312,0.7555113070686957,177,0.7051792828685259
yerleş,6228,0.7709829165635058,250,0.7530120481927711
uy,31235,0.8133479155274328,337,0.6382575757575758
kork,3210,0.8067353606433777,185,0.7581967213114754
savun,3272,0.8798063995697768,212,0.7910447761194029
kaybet,3570,0.8415841584158416,234,0.7112462006079028
boz,5264,0.7320261437908496,205,0.702054794520548
koş,3193,0.8465005302226936,242,0.7492260061919505
tak,3145,0.9052964881980426,234,0.7905405405405406
çöz,10587,0.7919066497120203,270,0.7219251336898396
kon,12130,0.8117513216890851,283,0.7004950495049505
çevir,3691,0.8272075302554908,239,0.7587301587301587
kap,17171,0.7483873779637378,298,0.7028301886792453
kır,9678,0.8347421079868897,280,0.7017543859649122
çal,17469,0.8411903500746376,306,0.6830357142857143
yakala,4522,0.7797896188998104,270,0.7142857142857143
yaklaş,3495,0.8661710037174721,229,0.7363344051446945
ağla,13483,0.807461971493592,280,0.687960687960688
öğret,3981,0.8259336099585062,230,0.7419354838709677
giy,3865,0.859653024911032,244,0.7439024390243902
tanımla,4624,0.7650562541363336,215,0.7597173144876325
yansı,5370,0.7473903966597077,224,0.7156549520766773
güven,5239,0.8543705153294194,226,0.7661016949152543
uza,9563,0.7344854070660523,257,0.7198879551820728
sar,16831,0.7760154917239154,287,0.71571072319202
birleş,4394,0.7846428571428572,219,0.7551724137931034
uğra,7251,0.8423559479553904,253,0.6875
aş,79965,0.801083940253053,341,0.6326530612244898
ekle,14801,0.8259486607142857,273,0.6807980049875312
içer,2082,0.8912671232876712,118,0.7239263803680982
tamamla,4520,0.7569921286216714,213,0.7421602787456446
sok,4140,0.8207771609833465,240,0.7453416149068323
yay,13419,0.7539611192268795,249,0.7155172413793104
harca,5088,0.8199838839645447,234,0.7986348122866894
evlen,4136,0.8035748979988343,230,0.6906906906906907
dök,4144,0.7546894918958296,232,0.7483870967741936
çağır,2339,0.8982334869431644,195,0.8158995815899581
yönel,4431,0.810054844606947,216,0.7297297297297297
gez,3591,0.8556111508220158,230,0.7419354838709677
kurtul,3521,0.819981369352585,219,0.7373737373737373
dene,7604,0.8478091203032668,248,0.7188405797101449
ilerle,2524,0.7942101950912523,201,0.7642585551330798
ilgilen,5032,0.7749884490990298,229,0.7089783281733746
destekle,4037,0.8689195006457168,190,0.7169811320754716
çiz,3508,0.78584229390681,226,0.7337662337662337
davran,4216,0.8814551536692452,232,0.7581699346405228
dolaş,2902,0.882871919683602,218,0.759581881533101
gözle,7578,0.7297765793528506,225,0.7401315789473685
şaş,3966,0.7914587906605468,179,0.716
paylaş,4367,0.8793797825211438,261,0.7209944751381215
uyan,4367,0.8165669409124906,230,0.759075907590759
uç,7094,0.8510076775431862,261,0.717032967032967
kurtar,3246,0.787864077669903,208,0.7375886524822695
yararlan,7,0.7,7,0.7
aktar,4349,0.7982745961820852,219,0.7577854671280276
vurgula,3056,0.7912998446400829,140,0.7909604519774012
kop,3486,0.8529483728896501,250,0.7716049382716049
bağır,2798,0.9134835128958537,171,0.7916666666666666
çarp,3337,0.8164913139221923,232,0.7318611987381703
kay,21418,0.8038884510002627,303,0.6688741721854304
ak,1160056,0.7972208573146636,474,0.5738498789346247
oy,26029,0.791106923591271,322,0.6584867075664622
vazgeç,5426,0.8205050657795252,245,0.7777777777777778
ata,5518,0.7047254150702427,230,0.756578947368421
bahset,4440,0.8624708624708625,220,0.7457627118644068
planla,3695,0.8698210922787194,170,0.7906976744186046
zorla,4564,0.7520184544405998,217,0.7281879194630873
engelle,3910,0.7776451869530628,199,0.7316176470588235
uyu,7897,0.8398383494629373,286,0.6745283018867925
uğraş,3395,0.8605830164765526,220,0.7284768211920529
besle,3843,0.7333969465648855,230,0.7849829351535836
değ,11786,0.8311706629055007,282,0.6894865525672371
başar,4251,0.8201813621454755,220,0.7407407407407407
sapta,4816,0.7408091062913398,187,0.7663934426229508
öner,3908,0.8585237258347979,173,0.7424892703862661
kaynaklan,61,0.7011494252873564,8,0.8
