collocate_pair,risk_ratio,risk_ratio_reverse,odds_ratio,mutual_information,dice_coefficient,t_score,chi_squared,risk_ratio_confidence_interval_left,risk_ratio_confidence_interval_right,risk_ratio_reverse_confidence_interval_left,risk_ratio_reverse_confidence_interval_right,suffix1_frequency,suffix2_frequency,suffix1-suffix2_frequency,suffix1-suffix2_adjacent_frequency,stem_frequency
"('Gen', 'Rel→Pron')",41919.40740740741,33024.254641909814,47701.25670498084,7.245994484687461,0.00034888791975577847,1.9868256053592792,1.4667570514059557e+26,12218.87436731091,143813.30592033346,9626.071633643267,113296.62152544483,22926,4,4,4,4
"('NarrPart→Adj', 'Ness→Noun')",9044.109011627907,1812.254439592431,4528.636098981077,10.327679504191133,0.0014760147601476014,1.4131135098993364,1.4667595802370576e+26,407.64044234415405,200656.9989568208,81.68280595090306,40207.55795040323,2708,2,2,2,2
"('NarrPart→Adj', 'AsIf→Adj')",4522.053779069767,1512.4115646258501,4535.234693877551,10.327679504191133,0.0029498525073746312,1.9984448651242752,1.4667570514042593e+26,827.5642971812812,24709.826717330874,276.7808333729953,8264.259894511844,2708,4,4,4,4
"('NarrPart→Adj', 'Ly→Adv')",2261.026889534884,1133.4825200291332,2265.965040058267,10.327679504191133,0.0022132054592401327,1.7307037726017305,1.4667583158207798e+26,455.94251537634386,11212.471798073146,228.56998017547303,5620.9595950669745,2708,3,3,3,2
"('With→Adj', 'Become→Verb')",1268.7379301661838,446.3577834904627,1834.3403855474942,5.628512587000009,0.07743442919669595,47.54327919571643,1.3947507193604901e+26,1163.8185091183136,1383.115943620665,409.4458262528512,486.59739117595,2858,57916,2353,2353,1
"('Loc', 'Rel→Adj')",1019.770693391116,1399.263880767796,2050.085530616692,7.223640225518213,0.05950495874656221,26.544722537482407,1.4658594996302975e+26,908.5856766087477,1144.5615904720114,1246.7029383182958,1570.4939387264606,23284,714,714,714,274
"('Inf3→Noun', 'Equ')",665.8767119100025,603.8284320518861,708.5752163445898,11.183639628576664,0.15755627009646303,6.997039810286769,1.4665623400115434e+26,487.6324449063474,909.274598307815,442.19347119204195,824.5458133322184,464,158,49,0,15
"('Related→Adj', 'Become→Verb')",398.24659820332295,439.3313995184074,572.6886234591734,5.9070286297780745,0.024726305378397734,26.479861630931676,1.3947507193604898e+26,361.7495583616756,438.42583719743243,399.06917087854373,483.6556985293795,726,57916,725,725,2
"('PresPart→Noun', 'Without→Adj')",353.0909246477668,118.37033656588704,176.55550484883057,7.12521200970446,0.00016043638697256537,0.9928371012723783,1.4667595802368154e+26,11.844617664804106,10525.726080553644,3.9707941541566343,3528.6484352390985,12464,2,1,1,1
"('FeelLike→Noun', 'Equ')",262.56703574818096,266.7367744423732,269.9873771878457,9.29762776264406,0.026845637583892617,1.9968230651907104,1.4665623400115434e+26,96.62226016569251,713.5151686926218,98.15668574880193,724.8462628618238,140,158,4,4,4
"('Agt→Noun', 'Become→Verb')",257.0812270789969,341.06715075465075,344.38164540138223,5.6866247615350805,0.0010353574571620853,5.3709039883422065,1.3947507193604898e+26,169.61155698621258,389.65951666734094,225.0219945409376,516.9574714738951,35,57916,30,30,1
"('Caus→Verb', 'ActOf→Noun')",237.4080517539112,8.626393788288299,118.70910371846864,3.301024352216433,0.00019254467036352433,3.480039950376862,1.4667191192487398e+26,14.183802838125786,3973.7286030292403,0.5153787657713614,144.38831153480564,155774,34,15,15,6
"('FeelLike→Noun', 'P1sg')",116.53423999033757,321.42318411426584,323.16278458844124,7.459219086755387,0.01400918882277623,9.588977344483721,1.4502141437284862e+26,82.96880815015037,163.6787293069122,228.84345836895812,451.4564848062416,140,13137,93,93,64
"('PresPart→Noun', 'Rel→Pron')",78.46463724576782,54.64160350404431,78.48231617250845,8.12521200970446,0.0006416426050689766,1.9928381039081655,1.466757051405955e+26,24.161031251725944,254.81939218426893,16.825381933143913,177.4524254698623,12464,4,4,0,4
