collocate_pair,risk_ratio,risk_ratio_reverse,odds_ratio,mutual_information,dice_coefficient,t_score,chi_squared,risk_ratio_confidence_interval_left,risk_ratio_confidence_interval_right,risk_ratio_reverse_confidence_interval_left,risk_ratio_reverse_confidence_interval_right,suffix1_frequency,suffix2_frequency,suffix1-suffix2_frequency,suffix1-suffix2_adjacent_frequency,stem_frequency
"('Gen', 'Rel→Pron')",46074.99999999999,37214.61538461538,53753.99999999999,7.189715720056023,0.00036403349108117945,1.986301574851649,1.0586608668362683e+26,13281.344272880982,159841.17129880714,10727.295038652856,129103.15165516081,21972,4,4,4,4
"('NarrPart→Adj', 'Ness→Noun')",9038.845794392522,1811.3890795631826,9052.94539781591,10.294551486871793,0.001564945226917058,1.413087982637618,1.0586628470808118e+26,407.39002397147505,200546.72055624003,81.64115832164254,40189.660031941814,2554,2,2,2,2
"('NarrPart→Adj', 'AsIf→Adj')",4519.422118380062,1511.8473958333334,4533.5421875,10.294551486871793,0.003127443315089914,1.9984088128825197,1.0586608668348273e+26,827.0336604064156,24696.910491001945,276.6611865412833,8261.666831053522,2554,4,4,4,4
"('NarrPart→Adj', 'Ly→Adv')",2259.711059190031,1133.0003903200625,2265.000780640125,10.294551486871793,0.0023464998044583495,1.7306725293316743,1.0586618569579223e+26,455.64857018389307,11206.650048226653,228.45841541005402,5618.921422357555,2554,3,3,3,2
"('With→Adj', 'Become→Verb')",1194.6725048796586,420.5817639305077,1728.6237115643337,5.552730056173384,0.07823625002094119,47.3096104762864,1.0033394380719197e+26,1095.4918035717208,1302.83256274678,385.6654214738282,458.65926863474635,2805,56886,2335,2335,1
"('Loc', 'Rel→Adj')",987.8691944784205,1356.6717361665474,1983.497582990673,7.196296768968455,0.06047707723685377,25.939817363326632,1.0579897059207422e+26,877.9248131529359,1111.582143230121,1205.6816703478073,1526.5706072998535,21872,682,682,682,264
"('Inf3→Noun', 'Equ')",654.208370497427,592.9559432236058,695.7105597831753,11.155713417501982,0.15726495726495726,6.779405733104103,1.0585182956170117e+26,474.3740832176509,902.2174844078287,429.9592372095179,817.7443817374343,437,148,46,0,13
"('Related→Adj', 'Become→Verb')",374.5838366075646,413.4711286823182,538.869328057619,5.815303141182137,0.024962677498871644,26.340933852354034,1.0033394380719195e+26,340.1152422671805,412.54561163541905,375.42418908374026,455.37389231916814,720,56886,719,719,2
"('PresPart→Noun', 'Without→Adj')",353.4464580909814,118.48934606906685,353.46803820720055,7.1129993469027095,0.00017259233690024162,0.992776219619895,1.058662847080606e+26,11.856515990608882,10536.349703066899,3.9747769265325337,3532.2045466644304,11586,2,1,1,1
"('FeelLike→Noun', 'Equ')",317.8095420578655,324.6125541730742,328.82900439031295,9.570750916780824,0.030534351145038167,1.9973712990251002,1.0585182956170115e+26,116.54731266918695,866.6257737724185,119.04211749773148,885.1767134331677,114,148,4,4,4
