"('Inf1→Noun', 'A3sg')",791
"('Pass→Verb', 'Inf2→Noun')",520
"('Pass→Verb', 'A3sg')",951
"('Pass→Verb', 'P3sg')",544
"('Inf2→Noun', 'A3sg')",744
"('Inf2→Noun', 'P3sg')",548
"('A3sg', 'P3sg')",586
"('Pass→Verb', 'Dat')",59
"('Inf2→Noun', 'Dat')",156
"('A3sg', 'Dat')",160
"('P3sg', 'Dat')",65
"('Unable', 'FutPart→Noun')",9
"('Unable', 'A3sg')",105
"('Unable', 'Acc')",12
"('FutPart→Noun', 'A3sg')",43
"('FutPart→Noun', 'Acc')",30
"('A3sg', 'Acc')",113
"('Prog1', 'A3sg')",64
"('Unable', 'Narr')",21
"('Unable', 'A3pl')",9
"('Narr', 'A3pl')",8
"('Inf2→Noun', 'P2sg')",17
"('Inf2→Noun', 'Gen')",45
"('A3sg', 'P2sg')",40
"('A3sg', 'Gen')",48
"('P2sg', 'Gen')",17
"('Aor', 'A3pl')",14
"('Pass→Verb', 'Neces')",37
"('Pass→Verb', 'Cop')",94
"('Neces', 'A3sg')",41
"('Neces', 'Cop')",33
"('A3sg', 'Cop')",223
"('Pass→Verb', 'Able→Verb')",139
"('Pass→Verb', 'Fut')",48
"('Able→Verb', 'Fut')",28
"('Able→Verb', 'A3sg')",199
"('Fut', 'A3sg')",97
"('Fut', 'A1sg')",1
"('Pass→Verb', 'Loc')",39
"('Inf2→Noun', 'Loc')",69
"('A3sg', 'Loc')",79
"('P3sg', 'Loc')",39
"('Pass→Verb', 'Abl')",8
"('Inf2→Noun', 'Abl')",6
"('A3sg', 'Abl')",16
"('P3sg', 'Abl')",9
"('Able→Verb', 'Inf1→Noun')",20
"('Inf1→Noun', 'Zero→Verb')",39
"('Inf1→Noun', 'Narr')",2
"('A3sg', 'Zero→Verb')",51
"('A3sg', 'Narr')",2
"('A3sg', 'A3sg')",51
"('Zero→Verb', 'Narr')",2
"('Zero→Verb', 'A3sg')",51
"('Narr', 'A3sg')",136
"('Pass→Verb', 'Narr')",82
"('Able→Verb', 'Narr')",7
"('Able→Verb', 'Cop')",17
"('Narr', 'Cop')",43
"('Pass→Verb', 'Unable')",80
"('Pass→Verb', 'Prog1')",15
"('Pass→Verb', 'Past')",42
"('Unable', 'Prog1')",12
"('Unable', 'Past')",22
"('Prog1', 'Past')",21
"('Past', 'A3sg')",112
"('Pass→Verb', 'ByDoingSo→Adv')",5
"('Inf2→Noun', 'Acc')",53
"('Prog2', 'A3sg')",48
"('Prog2', 'Cop')",47
"('Pass→Verb', 'Acc')",55
"('P3sg', 'Acc')",42
"('Unable', 'P1pl')",1
"('FutPart→Noun', 'P1pl')",1
"('A3sg', 'P1pl')",5
"('Able→Verb', 'Prog1')",4
"('Able→Verb', 'A1pl')",6
"('Prog1', 'A1pl')",6
"('Aor', 'A2sg')",2
"('Unable', 'Inf2→Noun')",7
"('Unable', 'P3sg')",19
"('Pass→Verb', 'Aor')",151
"('Able→Verb', 'Aor')",109
"('Aor', 'A3sg')",181
"('Inf1→Noun', 'Abl')",3
"('Inf2→Noun', 'P2pl')",1
"('A3sg', 'P2pl')",1
"('Pass→Verb', 'PastPart→Noun')",19
"('PastPart→Noun', 'A3sg')",54
"('PastPart→Noun', 'Acc')",36
"('Able→Verb', 'A3pl')",6
"('A3pl', 'Cop')",4
"('Inf1→Noun', 'Pres')",29
"('Inf1→Noun', 'Cop')",29
"('A3sg', 'Pres')",38
"('Zero→Verb', 'Pres')",38
"('Zero→Verb', 'Cop')",38
"('Pres', 'A3sg')",38
"('Pres', 'Cop')",38
"('Unable', 'Aor')",44
"('Inf1→Noun', 'Past')",8
"('A3sg', 'Past')",11
"('Zero→Verb', 'Past')",11
"('Pass→Verb', 'FutPart→Adj')",4
"('Unable', 'FutPart→Adj')",1
"('FutPart→Adj', 'P3sg')",11
"('Pass→Verb', 'PresPart→Adj')",22
"('Unable', 'PresPart→Adj')",19
"('Able→Verb', 'Past')",17
"('Aor', 'Past')",15
"('Unable', 'Fut')",4
"('Pass→Verb', 'FutPart→Noun')",22
"('Pass→Verb', 'P2sg')",11
"('Able→Verb', 'FutPart→Noun')",18
"('Able→Verb', 'P2sg')",5
"('Able→Verb', 'Acc')",14
"('FutPart→Noun', 'P2sg')",12
"('P2sg', 'Acc')",18
"('Pass→Verb', 'Neg')",23
"('Pass→Verb', 'Opt')",9
"('Neg', 'Opt')",9
"('Neg', 'A3sg')",35
"('Opt', 'A3sg')",9
"('Inf2→Noun', 'A3pl')",4
"('PresPart→Noun', 'A3pl')",3
"('Fut', 'Cop')",29
"('Pass→Verb', 'Ins')",6
"('Inf2→Noun', 'Ins')",6
"('A3sg', 'Ins')",12
"('P3sg', 'Ins')",6
"('PastPart→Adj', 'P3sg')",18
"('Unable', 'PresPart→Noun')",1
"('Unable', 'Cop')",9
"('Pass→Verb', 'Zero→Verb')",10
"('Pass→Verb', 'Pres')",8
"('Inf2→Noun', 'Zero→Verb')",12
"('Inf2→Noun', 'Pres')",9
"('Inf2→Noun', 'Cop')",9
"('P3sg', 'Zero→Verb')",12
"('P3sg', 'Pres')",9
"('P3sg', 'A3sg')",12
"('P3sg', 'Cop')",9
"('Unable', 'PastPart→Noun')",12
"('Unable', 'Abl')",1
"('PastPart→Noun', 'P3sg')",20
"('PastPart→Noun', 'Abl')",5
"('Neg', 'Aor')",12
"('Aor', 'A1pl')",14
"('Past', 'A1pl')",9
"('Pass→Verb', 'Cond')",4
"('Past', 'Cond')",1
"('Cond', 'A3sg')",4
"('PastPart→Adj', 'P1pl')",1
"('Pass→Verb', 'Prog2')",16
"('Pass→Verb', 'Imp')",5
"('Pass→Verb', 'A2sg')",2
"('Neg', 'Imp')",2
"('Neg', 'A2sg')",2
"('Imp', 'A2sg')",2
"('Past', 'A3pl')",4
"('Imp', 'A3sg')",4
"('Pass→Verb', 'Gen')",13
"('Able→Verb', 'Inf2→Noun')",19
"('Able→Verb', 'P3sg')",29
"('Able→Verb', 'Gen')",2
"('P3sg', 'Gen')",15
"('Fut', 'Past')",8
"('Unable', 'A1pl')",4
"('Narr', 'Past')",19
"('A3pl', 'Past')",9
"('Able→Verb', 'Prog2')",4
"('Inf2→Noun', 'P1pl')",4
"('Pass→Verb', 'While→Adv')",2
"('Aor', 'While→Adv')",5
"('FutPart→Noun', 'P3sg')",19
"('Able→Verb', 'PresPart→Adj')",2
"('Pass→Verb', 'PastPart→Adj')",5
"('Prog1', 'A3pl')",7
"('Able→Verb', 'Loc')",3
"('Inf2→Noun', 'P3pl')",2
"('A3sg', 'P3pl')",2
"('Inf1→Noun', 'Loc')",10
"('Imp', 'A2pl')",5
"('Aor', 'Cond')",4
"('Cond', 'A1pl')",2
"('Able→Verb', 'Dat')",2
"('FutPart→Noun', 'Dat')",4
"('Unable', 'A1sg')",3
"('Aor', 'A1sg')",3
"('Neces', 'A1pl')",2
"('Loc', 'Zero→Verb')",1
"('Loc', 'Pres')",1
"('Loc', 'A3sg')",1
"('Loc', 'Cop')",1
"('Unable', 'Prog2')",4
"('Unable', 'P2sg')",5
"('Neg', 'PresPart→Noun')",1
"('Neg', 'A3pl')",1
"('PastPart→Noun', 'P2sg')",11
"('Unable', 'PastPart→Adj')",5
"('Unable', 'P1sg')",3
"('PastPart→Adj', 'P1sg')",2
"('A3pl', 'Acc')",6
"('FutPart→Noun', 'Gen')",1
"('Neg', 'Prog1')",4
"('Unable', 'When→Adv')",2
"('Inf1→Noun', 'Ins')",6
"('Prog1', 'A1sg')",2
"('Opt', 'A1pl')",7
"('Inf2→Noun', 'Past')",3
"('P3sg', 'Past')",3
"('Able→Verb', 'FutPart→Adj')",5
"('Neg', 'Narr')",2
"('Neg', 'Cop')",3
"('Neces', 'Past')",2
"('Neces', 'A1sg')",2
"('Past', 'A1sg')",7
"('Pass→Verb', 'Inf1→Noun')",5
"('FutPart→Noun', 'Abl')",2
"('Fut', 'A1pl')",7
"('Prog1', 'A2pl')",6
"('P2sg', 'Abl')",3
"('Fut', 'A2pl')",1
"('Desr', 'A3sg')",4
"('Pass→Verb', 'Rel→Adj')",1
"('Inf2→Noun', 'Rel→Adj')",1
"('A3sg', 'Rel→Adj')",1
"('P3sg', 'Rel→Adj')",1
"('Loc', 'Rel→Adj')",1
"('PastPart→Noun', 'A3pl')",3
"('A3pl', 'P3sg')",2
"('Neg', 'Fut')",1
"('Unable', 'Dat')",2
"('Unable', 'Cond')",1
"('Unable', 'A2pl')",1
"('Prog1', 'Cond')",2
"('Cond', 'A2pl')",1
"('Narr', 'A1sg')",1
"('FutPart→Noun', 'P3pl')",2
"('P3pl', 'Acc')",3
"('Neg', 'Neces')",1
"('Pass→Verb', 'AorPart→Adj')",3
"('Unable', 'AorPart→Adj')",3
"('Neg', 'PresPart→Adj')",2
"('Neg', 'Inf2→Noun')",2
"('Neg', 'P3sg')",3
"('Neg', 'Gen')",1
"('Pass→Verb', 'AfterDoingSo→Adv')",4
"('Pass→Verb', 'When→Adv')",1
"('P2sg', 'Dat')",2
"('PresPart→Noun', 'A3sg')",1
"('PresPart→Noun', 'P3sg')",1
"('Able→Verb', 'Zero→Verb')",2
"('Aor', 'A2pl')",4
"('Unable', 'A2sg')",1
"('Fut', 'A2sg')",2
"('Fut', 'A3pl')",1
"('Able→Verb', 'A2pl')",2
"('Able→Verb', 'Pres')",1
"('PastPart→Noun', 'P1sg')",1
"('A3sg', 'P1sg')",1
"('Able→Verb', 'P3pl')",2
"('FutPart→Noun', 'A3pl')",1
"('A3pl', 'P3pl')",2
"('PastPart→Noun', 'Gen')",2
"('Aor', 'Narr')",1
"('Pass→Verb', 'A3pl')",1
"('Neces', 'A3pl')",1
"('Cop', 'A3pl')",1
"('Neg', 'FutPart→Noun')",1
"('Neg', 'Acc')",1
"('FutPart→Adj', 'P3pl')",1
"('Able→Verb', 'A1sg')",1
"('Unable', 'Gen')",1
"('Able→Verb', 'Cond')",1
"('Pass→Verb', 'Desr')",2
"('Able→Verb', 'Desr')",1
"('Unable', 'Inf1→Noun')",1
"('Neg', 'PastPart→Noun')",1
"('Neg', 'Past')",3
"('Neg', 'A1pl')",1
"('Neg', 'Desr')",2
"('Desr', 'Narr')",1
"('Desr', 'Past')",1
