verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
ol,33266,0.7938053308516477,334,0.6219739292364991
et,136981,0.8145388594874234,381,0.6086261980830671
yap,13125,0.8064020643892849,314,0.6767241379310345
al,155219,0.7922206513584003,410,0.5848787446504993
de,73424,0.8229176006455662,347,0.6252252252252253
gel,19769,0.7924082090748757,290,0.6209850107066381
ver,8303,0.8361530715005036,253,0.6764705882352942
gör,12827,0.8175791956147619,267,0.6433734939759036
çık,11363,0.8493795784123187,292,0.7070217917675545
bul,23043,0.784763137281613,311,0.6465696465696466
git,5573,0.8563306699446834,241,0.7438271604938271
çalış,7975,0.8502132196162047,253,0.6710875331564987
iste,7338,0.8377668683639685,215,0.7337883959044369
geç,10107,0.7928302478820207,277,0.6942355889724311
bil,10557,0.8219402055434444,264,0.6821705426356589
anla,17322,0.7863985109184183,299,0.661504424778761
kal,23137,0.819676196549403,321,0.6632231404958677
söyle,7195,0.8546145622995606,255,0.7142857142857143
bak,6031,0.9058275758486032,203,0.7518518518518519
ye,36900,0.7581828268507674,332,0.6194029850746269
başla,5362,0.875,228,0.7331189710610932
i,327899,0.8017364897575956,410,0.586552217453505
yaşa,5901,0.8267021574670776,279,0.7063291139240506
gir,5476,0.8849385908209437,244,0.7371601208459214
kullan,6488,0.7732093910141818,259,0.6709844559585493
gerek,8358,0.8819246597024375,151,0.7259615384615384
düşün,6053,0.8607792946530148,249,0.6974789915966386
getir,5728,0.8535240649679631,259,0.7038043478260869
aç,19095,0.8166189111747851,305,0.6869369369369369
yaz,5698,0.8292824916314947,287,0.7017114914425427
göster,4244,0.836256157635468,237,0.75
konuş,6923,0.883486472690148,275,0.7596685082872928
oluş,6171,0.7390419161676647,225,0.6965944272445821
çek,4966,0.8282188125416945,263,0.7108108108108108
geliş,6705,0.7963182897862233,211,0.7009966777408638
düş,11193,0.8464796188459502,274,0.6602409638554216
dur,6276,0.8263331138907176,277,0.7139175257731959
sor,8917,0.8360210013125821,276,0.7131782945736435
sağla,5105,0.8181089743589743,218,0.7242524916943521
kur,21276,0.7981692677070829,323,0.6632443531827515
tut,10299,0.7748852607027312,313,0.7033707865168539
at,77763,0.786963385755055,375,0.6167763157894737
sür,13062,0.7891970273699475,288,0.6247288503253796
bırak,4689,0.8207596709259584,244,0.7093023255813954
oku,9456,0.7851864153450137,309,0.6791208791208792
sev,5506,0.8600437363323962,251,0.7212643678160919
duy,7261,0.8210085933966531,291,0.7220843672456576
tanı,10995,0.8210738555746396,285,0.6612529002320185
bekle,5051,0.8203670618807861,215,0.6697819314641744
uygula,6379,0.8093123572697285,225,0.7142857142857143
değiş,6780,0.7703670037495739,265,0.6883116883116883
koy,5052,0.8249510124101894,261,0.6886543535620053
kaç,3757,0.8503847894975102,249,0.7522658610271903
dön,9571,0.7963887502080214,276,0.6618705035971223
art,11534,0.7993623951763809,265,0.6625
belir,11597,0.7513443472627146,241,0.6866096866096866
öl,16239,0.7829042522418281,321,0.6445783132530121
kazan,5118,0.8126389329946014,265,0.7066666666666667
ayır,5786,0.7163550823325492,254,0.7277936962750716
otur,4283,0.8572858286629303,269,0.7535014005602241
taşı,3665,0.8908604764219737,228,0.7354838709677419
say,8505,0.7559328059728024,245,0.6824512534818942
bit,4652,0.8762478809568657,214,0.7254237288135593
açıkla,4705,0.8206872492586779,215,0.7491289198606271
karşıla,7148,0.791758972086841,253,0.6856368563685636
kat,11513,0.7822925868043759,289,0.68
kes,5330,0.7631729667812142,254,0.6958904109589041
gül,5714,0.859118929484288,273,0.7479452054794521
ulaş,9633,0.7906270518713067,289,0.6736596736596736
işle,12808,0.7764777205213701,261,0.6761658031088082
yak,19428,0.8206471234265439,325,0.6756756756756757
yürü,6159,0.7882006654722293,243,0.6942857142857143
kalk,6583,0.8899553873191834,250,0.7331378299120235
öğren,4264,0.8916771225428691,241,0.7461300309597523
