Pass→Verb,279
Narr,252
A3sg,2320
Cop,152
Past,926
Aor,377
Cond,42
A1pl,232
While→Adv,41
PresPart→Adj,368
PastPart→Noun,256
Abl,85
Opt,62
PastPart→Adj,97
P1pl,92
Neg,252
Imp,76
Prog1,487
A3pl,155
Unable,83
A1sg,234
Able→Verb,80
Fut,171
Inf2→Noun,395
Desr,20
P2sg,65
A2pl,68
A2sg,87
PresPart→Noun,44
P3sg,353
When→Adv,32
ByDoingSo→Adv,81
Inf1→Noun,160
Acc,184
AfterDoingSo→Adv,97
Dat,92
FutPart→Noun,48
WithoutHavingDoneSo→Adv,42
P3pl,25
Zero→Verb,18
Pres,12
Gen,26
AsLongAs→Adv,25
Prog2,29
Hastily→Verb,9
Neces,21
Loc,39
FutPart→Adj,20
P2pl,17
P1sg,17
Caus→Verb,28
SinceDoingSo→Adv,1
NarrPart→Adj,2
Ins,11
AorPart→Adj,3
WithoutBeingAbleToHaveDoneSo→Adv,1
