Inf1→Noun,227
A3sg,1746
PastPart→Noun,473
P1pl,124
Prog1,488
A1pl,209
Pass→Verb,775
P3sg,378
Neg,164
Past,421
A1sg,163
Narr,232
Aor,169
PresPart→Adj,622
Prog2,55
Cop,96
A3pl,306
P2sg,82
Acc,266
Fut,108
PresPart→Noun,96
Imp,28
P1sg,94
A2sg,53
Desr,31
PastPart→Adj,194
P2pl,27
P3pl,75
Caus→Verb,127
Able→Verb,91
FutPart→Noun,48
Zero→Verb,22
Pres,15
Ins,7
Abl,46
Inf2→Noun,296
Dat,132
Gen,69
A2pl,59
Unable,49
FutPart→Adj,16
Opt,26
Cond,30
Neces,18
While→Adv,38
NarrPart→Adj,3
Zero→Noun,2
ByDoingSo→Adv,24
WithoutBeingAbleToHaveDoneSo→Adv,2
Loc,22
AorPart→Adj,2
AfterDoingSo→Adv,33
When→Adv,4
AsLongAs→Adv,3
FeelLike→Adj,1
With→Adj,1
WithoutHavingDoneSo→Adv,2
Equ,1
AsIf→Adv,1
