"Register"	"Text"	"Left"	"-5;5"	"Right"
"w"	"W-UE05A1B-4259-1083"	"”sanayisizleşme” ”sanayisizleşme” ve “geri “geri"	"bıraktırma”"	"bıraktırma” olgusuyla karşı karşıya kalmışlardır."
"w"	"W-RA16B4A-1074-1073"	"şüphelenmeye başlamıştı. Olduğu yere oturdu."	"""Bırak"	"beni! Bıktım artık, yalan söylüyorsun!"
"s"	"S-BEABXO-0007-181"	"şöyle bak. Şöyle şöyle dikti"	"bıraktı."	"Allah'ım ya. Dikti dikmedi benim"
"w"	"W-PI42E1B-2938-2359"	"Şâyet çocuğu onu gece uykusuz"	"bırakırsa"	"kendisine Allâh yolunda yetmiş köle"
"w"	"W-QC01A2A-1190-1166"	"Şuurlu Hareketleri Yumurtalıklarda olgunlaşarak boşluğa"	"bırakılan"	"yumurta hücresi, daha önce de"
"s"	"S-BEABXO-0445-385"	"şunu bırak. Onu yedin. Onu"	"bırakma."	"Terbiyesiz! Gerçekten terbiyesiz. Ben bi"
"w"	"W-VE39E1B-2907-1058"	"şu Sosyalizmin olmadığı değil, geriye"	"bıraktığı"	"bir dünyanın kapitalizmi, kitlelere hem"
"w"	"W-OD37C2A-0365-992"	"şu bacağı sadece okşuyorum. ""Neden"	"bıraktın"	"gittin?"" diyorum. Ona isyan ediyorum."
"s"	"S-AAABOp-0011-416"	"şu <D 1176> Takdiri size"	"bırakıyorum."	"Benmerkezcilin de olduğunu düşünüyorum çünkü."
"s"	"S-ADABAo-0318-562"	"Şoray nasıl gelir Türk sinemasına"	"bırakın"	"Türk sinemasını bir cemiyet hayatına"
"w"	"W-JI09C0A-0275-1038"	"şok geçirmişler. Kadın kendisini raylara"	"bırakmak"	"istemiş ama adam hızlı bir"
"w"	"W-CA16B4A-2684-1869"	"şoför mahallini ve karüsörü geride"	"bırakarak"	"lastiklerin olduğu yere gitti. Ve"
"w"	"W-HE05A1B-3510-2151"	"şimdilik gümrük birliği kapsamı dışında"	"bırakılmıştır."	"İşlenmiş tarım ürünlerinde de sanayi"
"s"	"S-BEABXd-0170-292"	"şimdiden daa. Şimdiden evet. İz"	"bırakmayan"	"deseymiş çok ii, hiç iz"
"s"	"S-BEABXO-0128-124"	"şimdi. Şeye geçti Fethiye'ye geçti."	"Bıraktı"	"mı? Hı, öylemi? Hı? Fethiye'ye"
"s"	"S-BEABXg-0088-568"	"şimdi siken mi sabaha mı"	"bırakın?"	"<gülme> Valla naparsan yap artık."
"s"	"S-ADABAo-0308-397"	"şimdi ilk 8 ayı geride"	"bırakıyoruz"	"emm ağustosun son günündeyiz böyle"
"s"	"S-BEABXO-0375-767"	"Şimdi elime sal onu. Hıh!"	"Bırak"	"burda ben ateşe atarım onu"
"s"	"S-BEABXO-0450-172"	"şimdi bıraktı yani. Hah! Kendisi"	"bıraktı."	"Hı-hıı. Hazırlığı 3 senede verirse"
"w"	"W-HI37E1B-3052-2368"	"Şimdi bu olaylardan ötürü serbest"	"bırakıyor."	"Hatta ciddiysek akşam üstleri bile"
"s"	"S-BEABXO-0342-513"	"Şimdi bu kadıncağızı ağabeyleri de"	"bırakıp"	"gidiyor tek başına, babaanne de"
"w"	"W-IA16B1A-0094-1727"	"Şimdi benzin istasyonunun önündeyiz. Bedenlerimizi"	"bırakıp"	"gölgelerimizin peşine takılıyoruz. Benzin istasyonunun"
"w"	"W-RA16B1A-0788-1056"	"şimdi arkalarında, yeşil bir iz"	"bırakıyorlardı."	"Çift tırnaklı ayaklarının değdiği yerlerdeki"
"s"	"S-BEABXs-0130-64"	"şimdi 7 kişi de yedek"	"bıraktılar."	"O gerizekalılardan biride benim yani."
"w"	"W-OA16B0A-0174-2426"	"şiddetli ağrılara, daralan nefese, peşini"	"bırakmayan"	"öksürüklere sabretmek herkesin harcı değildi,"
"w"	"W-UA14B1A-1597-356"	"Şeytan Sadık. Bunu senin yanına"	"bırakırsam"	"bana da muhtar demesinler. DURMUŞ"
"s"	"S-ADABPZ-0112-716"	"şeyleri fark eden çocukta etkiler"	"bırakacaktır."	"Çocuk büyüdükçe artık estetik kaygılarda"
"w"	"W-OD39C2A-1194-2313"	"şeyler oluyor ki; Tibuk'a göre,"	"bırakın"	"kızmayı zıvanadan çıkmamak elde değil."
"w"	"W-SE09C4A-0832-566"	"şeyiyle kabullendiğimiz, sevdiğimiz insanları geride"	"bırakıp"	"gelmiştik. Bizim gidecek yerimiz vardı."
"w"	"W-XI45E1C-5070-443"	"şeyim yok."" kriziyle kendimi başbaşa"	"bırakıyorum."	"Topuklu Ayakkabılara Alternatifler Çok fazla"
"w"	"W-ME39E1B-3032-1429"	"şeyi yazıların (mektupların) satır aralarına"	"bırakıp"	"size gönderiyorum. Mektup yazmak, beklemek"
"s"	"S-BEABXO-0451-171"	"şeyi var. Bi rimel sürdü"	"bıraktı"	"yaa! Yok daha. Çok natural"
"s"	"S-ADABCo-0242-786"	"şeyi bırak kendi parasını almayı"	"bırak"	"cebinden oyunculara para veriyodu. Bu..."
"w"	"W-NG09C3A-0416-248"	"şeye itiraz edecek, ben de"	"bırakıp"	"gitmek zorunda kalacağım korkusuyla birçok"
"s"	"S-BEABXR-0010-27"	"şeyden ara istersen babandan. Çağrı"	"bıraktın"	"mı? Gülay'a mı? Hıı söyliyek"
"w"	"W-RA16B2A-0441-2462"	"şey, kafama yeni bir şüphe"	"bırakıp"	"gidiyor. O hangi ilimdir ki;"
"s"	"S-ACAAPZ-0032-14"	"şey yaptınız. Bize çok şey"	"bıraktınız."	"Zor çünkü bunları muhafaza ve"
"s"	"S-BEABXO-0344-776"	"şey yapalım hemen. Neslihan yemeği"	"bırak"	"şimdi. Ağbicim işin var mı?"
"s"	"S-BEABXO-0445-835"	"şey söylemedi dur. Bırak. Ya"	"bırak!"	"Ya Eren! Eren! Oynayabilirsin. Hayır."
"s"	"S-BEABXg-0070-220"	"şey diyorum ya ben erkenden"	"bırakmıyım"	"ilanı tamam mı. Son 1"
