s,S-BEABXO-0390-944,Şırnak o kadar homojen ki,anlatamam,sana... Zaza bile yok değil
w,W-OI22E1B-2908-739,Şükür çocukluğunu ve başarılarını Gonca'ya,anlattı.,Türk Milli Takımı'nın vazgeçilmez golcüsü
w,W-MI09C2A-0014-148,Şükufe Hanım'dan öğrenmiştik. Gayet güzel,anlatırdı.,Gene öğretmenler arasında fizikçi Mahmut
w,W-SE36E1B-3352-2288,şöyle bir cümleyle başlıyor kitabını,anlatmaya,"""Her şeyi uydurdum. Ama sonra"
s,S-ACABTZ-0336-873,şu Çernobilzedeliğimiz. Yani neler neler,anlatılabilir.,Hepsi de emm çok ilginçtir.
w,W-JE39E1B-2895-8,Şoför İdris o günleri şöyle,anlatıyor,"""Anlıyor benim kilit adam olduğumu."
w,W-UC29D1B-2445-318,şirket yöneticilerine rapor halinde bildirdiklerini,anlattı.,Facebook yöneticilerinin durumu kabul ettiğini
w,W-TA16B4A-0090-537,şirinliği ve sıcaklığıyla bir şeyler,anlatmaya,girişmişti Eylem'e hemen. Volkan sabırlı
s,S-AEAA@O-0155-518,şimdi okuduğum bi öykünün özetini,anlatmak,istiyorum. Emm öykümün ismi hiç
s,S-BEABXO-0120-1075,şimdi ne sölim? Olduğu gibi,anlat.,Ortaya benim bile bilmediğim ayrıntılar
s,S-BEABXO-0339-1068,Şimdi arayacak. Ee? Ee? Sen,anlat,buralar nasıl alıştın mı buralara?
s,S-ADABPZ-0119-453,Şimdi anlatim sana diyor. Başlıyor,anlatmaya.,Bir tohum alacaksın. İşte göğüs
w,W-JI37C3A-0091-919,şiir bu değişimi öyle güzel,anlatıyor,ki... İŞTE GELDİK İnsan yirmiye
s,S-ADABCo-0283-848,şiddete maruz kalan kadınların hikayelerinin,anlatıldığı,Güldünya adlı televizyon dizisi. İnsan
s,S-ADABIi-0124-1004,şeyleri metinleri emm lerle sıkıntımızı,anlatabiliriz,diye düşünüyoruz. Yani yaratıcılık unsurunu
s,S-ADBBAo-0443-1082,şeyler var ki. İstersen sen,anlat,çiş meselesini. Bu kaçırma olayı
s,S-ADABI]-0127-272,şeyler uyandırıyor? Ben sadece onlar,anlattığında,sadece dinliyorum saygı duyuyorum ama
s,S-ADABIi-0124-993,şeyler Ki insanlara bir şeyler,anlatabilsin,bir şeyler amacına ulaşabilsin yani
s,S-ADBBAo-0443-359,"şeyler anlatsın da, başka şeyler",anlatsın.,Bak konuklar gelecek anılara müdahale
s,S-BEABXO-0453-963,şeyden palyaçodan hallice bir şey,anlatacam,fıkra anlatacam. Hadi Damlaa. Ne
w,W-EA16B3A-0490-988,"şeyden haberdar görünüyordu. Ayrıca, bildiklerini",anlatmaya,"da son derece hevesliydi. Genç,"
s,S-ADBBI^-0326-423,şey. Bunu Zeki Müren'e de,"anlatmış,",Seyfi'nin arkadaşı evi soydu diye.
s,S-BEABXO-0345-706,şey. Bak. Burda galiba tasarımı,anlatıyo.,Burda hazırlamaya geçiyo. Evet. Evet.
s,S-ADABIA-0265-284,"şey"" böyle anlatıyorum ama size",anlattığım,gibi. O da çizdi ve
s,S-BEABXO-0454-698,şey ödevlerimizi yaptırırdık falan diye,anlatıyodu,böyle ama bişey bildiği yoktu
s,S-BEABXX-0411-502,şey yok. Konuşma şeyi yok.,Anlatmak,yok. Güzel evet. Ya da
s,S-BEABXW-0005-689,şey yapıyor emm… emm… anılarını,anlatıyor,işte bunları yazanlar var yaa!
s,S-BEABXL-0338-577,şey yapıcan abi ben sana,anlatim.,Ben gidiyorum. Tamam. Hadi size
w,W-KA16B5A-0098-502,"şey söyleme,' diyerek, bana bunları",anlattı.,Önce ben de İbrahim'in söylediklerine
w,W-DG37C2A-1237-864,"şey mi? ""Yazarlar birtakım şeyler","anlatmış,",söylemiş. Bunları çağlarının -artık anlaşılmaz
s,S-ADABCo-0242-516,şey demek istiyolar bi şey,anlatmak,istiyolar. Yani şöyle bi şey
s,S-ADABAo-0388-396,şey bilmiyoruz. Bağdat'a dönüşünü de,anlatmıyor.,Hazarlar hakkında bir bilgi veriyor.
w,W-GD39C2A-0283-1639,şeriat klasikleri hükümleri gözönüne alınarak,anlatılıyor.,"Topaloğlu, erkekle kadının cinsel ilişkisi"
s,S-ADABPZ-0125-525,şekilde. İsterseniz ben biraz rakamlarla,anlatmak,isterim bazı şeyleri emm bir
w,W-MA16B2A-0795-625,"şekilde yanındaki arkadaşına dönerek, ""Sen","anlat,","istersen,"" dedi. Esmer olanı ""Biz"
w,W-OE05A1B-4199-2360,şekilde tanımlanmıştır; Etkin Pazar Kavramıyla,anlatılmak,"istenen, finansal varlıkların fiyatlarının elde"
s,S-ACABTZ-0336-507,şekilde konuşabilirim. Size geçmişini de,anlatmak,isterdim ama vakit yok. Geçmişi
s,S-BEABXO-0390-681,şehirlerdeki o yani güç ilişkilerini,anlatıyor.,Amerikan şehirlerinde. Hocalar bizim makaleleri
s,S-BEABXO-0075-714,şaşırdım. Hanım hanımefendi çok güzel,anlatıyo;,fakat yanlış bilgiler vermiş Rıza
w,W-VI19E1A-4022-166,"şaşırdı. ""Hayret!"" dedi kendi kendine.",Anlattıkları,masallara gizli bir tat katmasını
w,W-KE39E1B-3300-558,"Şatıroğlu, babasının son konserini şöyle",anlatmaktadır,"""Babam, son olarak 15 Ağustos"
w,W-RD36E1B-2842-987,şair ile ne zaman karşılaştığını,anlatmak,"âdettendir. İster bilerek, elle tutarak,"
