"Register","Text","Left","-5;5","Right"
"w","W-SE05A1B-4205-1260","“taşıyıcısı” olan dili analiz ederek","anlamak","gibi bir amaç yüklediğini belirterek,"
"s","S-BEABXO-0390-944","Şırnak o kadar homojen ki","anlatamam","sana... Zaza bile yok değil"
"s","S-ACABPA-0434-1266","şüphesiz. Cumhurbaşkanı dış politika alanında","anlaşmaları","müzakere eder, imzalar. Hatta dış"
"w","W-OI22E1B-2908-739","Şükür çocukluğunu ve başarılarını Gonca'ya","anlattı.","Türk Milli Takımı'nın vazgeçilmez golcüsü"
"w","W-MI09C2A-0014-148","Şükufe Hanım'dan öğrenmiştik. Gayet güzel","anlatırdı.","Gene öğretmenler arasında fizikçi Mahmut"
"w","W-SE39E1B-3036-904","Şükrü Paşa Değeri ölümünden sonra","anlaşılan","büyüklerimizden biri de Şükrü Paşa'dır."
"w","W-DD39C3A-0982-2400","şöyle demişti ""Şimdiye kadar sizi","anlayan,","sizin ruhunuzu takdir eden bu"
"w","W-SE36E1B-3352-2288","şöyle bir cümleyle başlıyor kitabını","anlatmaya","""Her şeyi uydurdum. Ama sonra"
"s","S-ACABTZ-0336-873","şu Çernobilzedeliğimiz. Yani neler neler","anlatılabilir.","Hepsi de emm çok ilginçtir."
"s","S-BEABXO-0440-1621","şu anda ne demek istediğimi","anlamıyosun.","Bu kollar... En en ucuzunu"
"w","W-JE39E1B-2895-8","Şoför İdris o günleri şöyle","anlatıyor","""Anlıyor benim kilit adam olduğumu."
"s","S-BEABX[-0163-1976","şişirince burası şiş kalıcak böyle.","Anladın","mı? Hoş olmıcak yani. Zaten"
"w","W-OF10E1B-2866-441","şirketlerinden PricewaterhouseCoopers ile anlaşma imzaladı.","Anlaşmaya","göre, SETAG, KoçSistem'den dünyanın en"
"w","W-UC29D1B-2445-318","şirket yöneticilerine rapor halinde bildirdiklerini","anlattı.","Facebook yöneticilerinin durumu kabul ettiğini"
"s","S-BEABXO-0344-1894","Şirket evi ne? Şirket eviymiş","anlamadım.","Görüştürmediler bizi. Şirkete bağlıymış inmezmiş"
"w","W-TA16B4A-0090-537","şirinliği ve sıcaklığıyla bir şeyler","anlatmaya","girişmişti Eylem'e hemen. Volkan sabırlı"
"s","S-ACABQq-0426-1409","Şimdi, sataşmayla ilgili veya yanlış","anlaşılmayla","ilgili bir mevzu varsa, sizin"
"s","S-BEABXO-0060-2126","şimdi, evde misin? Tamam. Hıı.","Anladım","kanka. Tamam hadi görüşürüz."
"s","S-AEAA@O-0155-518","şimdi okuduğum bi öykünün özetini","anlatmak","istiyorum. Emm öykümün ismi hiç"
"s","S-BEABXO-0120-1075","şimdi ne sölim? Olduğu gibi","anlat.","Ortaya benim bile bilmediğim ayrıntılar"
"s","S-BEABXO-0080-1915","şimdi gidicek. Olimpiyat? Britanya? Ben","anlamadım","ki. Hı-hı. Olimpiyat Londra Olimpiyatları"
"w","W-SB04A2A-1269-1609","Şimdi bu konuyu daha iyi","anlayabilmek","için kendi hayatımızdan örnekler verelim."
"s","S-ADBBAo-0443-1771","Şimdi bizim aldığımız tedbirleri de","anlaması","gerekir. Hiç olmazsa takdir etmeli."
"w","W-RI45F1D-4905-391","şimdi bir de suçladığın adam","""anlaşılamadım""","dedi diye ""yargıyı etkiliyor"" davası"
"s","S-BEABXw-0353-1723","Şimdi biliyorum. O zaman çocuğudum","anlamazdım","da. Adam da ona tecavüz"
"s","S-BEABXO-0339-1068","Şimdi arayacak. Ee? Ee? Sen","anlat","buralar nasıl alıştın mı buralara?"
"s","S-ADABPZ-0119-453","Şimdi anlatim sana diyor. Başlıyor","anlatmaya.","Bir tohum alacaksın. İşte göğüs"
"s","S-ADABPZ-0135-1808","Şimdi akıl nedir? Aklı nasıl","anlamalıyız?","Bir kez aklın yolu birdir"
"s","S-ADABPZ-0135-1443","Şimdi aklın böyle tek biçimde","anlaşılması","işte her türlü dinsel dogmatizmlerin,"
"w","W-KI37C3A-0997-2204","şiiri gibi yazılanları yalnızca yaşayanlar","anlayacak.","Şiirlerde bana yalnızca o anlatılacak."
"w","W-JI37C3A-0091-919","şiir bu değişimi öyle güzel","anlatıyor","ki... İŞTE GELDİK İnsan yirmiye"
"s","S-ADABCo-0283-848","şiddete maruz kalan kadınların hikayelerinin","anlatıldığı","Güldünya adlı televizyon dizisi. İnsan"
"s","S-ADABAo-0355-99","şi anlamıyorum. Ben anlamıyorum yani,","anlıyan","var heralde. Ben anlamıyorum. Çok"
"s","S-ADABIi-0124-1004","şeyleri metinleri emm lerle sıkıntımızı","anlatabiliriz","diye düşünüyoruz. Yani yaratıcılık unsurunu"
"s","S-ADBBAo-0443-1082","şeyler var ki. İstersen sen","anlat","çiş meselesini. Bu kaçırma olayı"
"s","S-ADABI]-0127-272","şeyler uyandırıyor? Ben sadece onlar","anlattığında","sadece dinliyorum saygı duyuyorum ama"
