"Register","Text","Left","-5;5","Right"
"w","W-CA16B3A-1557-1945","şükür gözlük takmıyor hâlâ. Ama","çıkana","kadar ne olacağı bilinmez. Bozuk"
"s","S-ADABPZ-0134-1987","şöyle olabilir; modernizm içinden postmodernizm","çıktığına","göre modernizm sonrası yani aslında"
"w","W-ND02A3A-1447-1093","şöyle bir karşı tezle ortaya","çıkmaktadır","Pek çok adli vakada 14"
"s","S-BEABXs-0130-122","şöle kötü çıkıyor böyle kötü","çıkıyor","diye ama şimdi aynı şekilde"
"s","S-BEABXO-0436-2181","şuraya geliyok her bayramda hastalık","çıkarıyo","diyo. Adam essah üç gündür"
"s","S-ADABPZ-0135-2106","şunu söyleyebilirim. Burda bir hümanizm","çıkıyor.","İnsancılık insancıllık değil de çünkü"
"w","W-FD36C0A-0198-902","Şubesinin ihbarı ve araştırmasıyla ortaya","çıkarıldı.","Bunun üzerine Sayın Başbakan Turgut"
"w","W-NF10A4A-1820-2465","Şubat 2002 Tarihine Kadar Tedavüle","Çıkartılması","AB Konseyi, AMB'nın görüşünü alarak"
"s","S-ADABAo-0313-1571","Şuanda görüştüğümüz 5 şimdi 7'ye","çıktı","yanılmıyorsam. Hı-hıı. Üniversite var. Hı-hıı."
"s","S-ADABDp-0432-2165","Şu omurga şuralardan sinir uçları","çıkıyo.","Bunların karşılıklı paralel olması lazım."
"s","S-ADBBI^-0042-554","şu ki, kontrollerde de fevkalade","çıkıyordum.","Kan tahlilim oluyor altı ayda"
"s","S-BEABXO-0091-1806","Şu benim sınav giriş belgesini","çıkartak","be. Çıkart. Yaz oraya. Götverenin"
"s","S-ACABTZ-0336-2015","Şu andaki rek reaktörlerin yaptıklarından","çıkan","yakıt çubuklarını reaktörün arkasında veya"
"s","S-ACABTZ-0336-1640","şu anda mevcut nükleer yakıt","çıkaran","ocaklarda maden ocaklarında şimdi kapasitesi"
"s","S-ADBBI^-0326-371","şişesiyle dolaşan, merdiven inemeyen, merdiven","çıkamayan,","ayıkken ne kadar güzel evin"
"w","W-RA16B1A-0153-1158","Şirketten aracın güzergâhını çıkarabilirsiniz. Ankara'dan","çıkmışsa,","hangi yolu izlediği ve şimdi"
"w","W-GD05A2A-0427-1758","şirketlerde olduğu gibi) hisse senedi","çıkartılması","mümkün değildir. 5- Kooperatifler Tüzel"
"w","W-UH03A2A-0494-663","Şimdi, örnekler vereceğim; yani, nasıl","çıkmaları","niye beni endişeye sevk ediyor,"
"w","W-VA14B1A-1598-1401","Şimdi öğretmenimizle birlikte olmanın tadını","çıkaralım.","(Hep birlikte sahneden ayrılırlar ve"
"s","S-ACABTZ-0336-314","Şimdi özellikle bu emm Irak","çıkarmasından","sonra işgalinden sonra Amerika'yla aramız"
"s","S-BEABXO-0068-342","şimdi o çalıştığı yerden, TEDAŞ'tan,","çıkartmışlar","da şimdi abonelik yere geçmiş"
"w","W-KA16B2A-0308-2224","şimdi izin verirseniz çarşı iznine","çıkmak","İstiyorum komutanım. Çık bakalım Necmi."
"s","S-ACABQq-0423-1636","şimdi ise bu Planla ortaya","çıkan","-deminden beri anlattığım ve biraz"
