"Register"	"Text"	"Left"	"-5;5"	"Right"
"s"	"S-ADABPZ-0112-1285"	"şükranlarımı sunmak istiyorum. Emm bu"	"konuşmamda"	"işitme kaybından maksadım sinirsel bir"
"s"	"S-AEABTZ-0041-1011"	"şöyle ikna etmişti, çocuklar konuşurken,"	"konuşmayı"	"öğrenirken herhangi bir şekilde yazıyla"
"s"	"S-BEABXO-0390-447"	"şöyle biri; her telden insanla"	"konuşur."	"Bi kere önyargılı deiil. O"
"w"	"W-MA16B3A-1550-1882"	"şöyle bir göz atan çocuk"	"konuşmayı"	"sürdürdü Bu dünyada neyimiz kaldı?"
"w"	"W-QA16B4A-0299-1025"	"Şöyle bir düşünüyorum da, Oktay'la"	"konuşmadığımız"	"ayrıntı kalmadı. Şimdi benden uzak,"
"s"	"S-AEABUZ-0021-813"	"şöyle aranıza bu masanın arkasından"	"konuştuğum"	"zaman ben kendimi daha güvende"
"s"	"S-BEABXO-0012-303"	"şöle oldu, böle oldu. Şurda"	"konuşuyo"	"tamam. <D 1556> Dağılın. Bir"
"s"	"S-AEABUZ-0021-1946"	"şunu açarsam bundan daha rahat"	"konuşabilirim"	"galiba. Hah burdan geliyor di"
"w"	"W-HE39C2A-2609-1963"	"Şubat öncesinde Binbaşı Çıtak'la az"	"konuştuk."	"Onlar, merkez binanın dışında, öteki"
"s"	"S-BEABXO-0056-1371"	"Şu anda limit doldu! Hep"	"konuşmalarını"	"kaydediyorlar ha! Anne! Sen söylüyon"
"s"	"S-ADABPZ-0135-531"	"Şu 2 gün boyunca neler"	"konuşuldu,"	"hangi noktalar üzerinde yoğunlaşıldı, bunların"
"s"	"S-BEABXw-0353-1085"	"şiye. Öyle şey de konuşulmaz,"	"konuşmaya"	"gelmez. 3.gatın görevlisi diyor ki"
"s"	"S-BEABXO-0093-605"	"Şirin babayı da ben konuşturuyorum."	"Konuştur."	"O zaman sen kouştur. Sen"
"s"	"S-ADABIA-0264-530"	"şimdiye kadar, bu yaşadığınız ilişkiler"	"konuşuldu"	"aslında biraz da, ee basında."
"w"	"W-TE36E1B-3295-1003"	"şimdilerde meclis koridorlarında estetik estetik"	"konuşuyor!"	"Seçime kadar güzelleşelim... Genel seçimlere"
"s"	"S-BEABXu-0442-791"	"şimdiden teşekkür ederim. <gülme> Aradığında"	"konuştuğumuz"	"zaman muhabbetlerde bi şey olmadan"
"s"	"S-BEABXO-0122-716"	"Şimdi, o gün artık burada"	"konuştuk."	"Dedi biz şimdi gideriz, elimizde"
"s"	"S-ACABQq-0425-1122"	"şimdi, AK Partinin icraatları hakkında"	"konuşmasını,"	"ben, ibretle izliyorum, siyasî vefaya"
"s"	"S-BEABXA-0129-362"	"şimdi öğrendim tabi. <gülme> Makedonca"	"konuşurlarmış"	"meğerse. Peki şey aaa Sofasos"
"s"	"S-BEABXu-0435-273"	"şimdi okuldan çıkınca ben telefonda"	"konuşuyodum."	"Arayı verdin mi diye sordum"
"s"	"S-ADABAo-0310-699"	"Şimdi iç pazara yönelik olarak"	"konuştuk"	"ama dış pazarlarada yönelik bir"
"w"	"W-TA16B2A-1204-1742"	"şimdi hiç sırası değildi. ""Bunlarla"	"konuşacağız,"	"Pibo!"" dedi Şeroks. ""Sen söylemek"
