Past & A3sg,4.8754889351822934e+20,11542,22084
Aor & A3sg,4.875488012637665e+20,7353,22084
Narr & Cop,7.048094135949918e+20,5496,3165
Narr & A3pl,6.784451579131101e+20,5496,5214
A3pl & Cop,7.048093556150863e+20,5214,3165
FutPart & P2sg,7.005817002524298e+20,1172,3490
Fut & A1sg,6.786356524948507e+20,3059,5199
Narr & A3sg,4.8754876776374986e+20,5496,22084
Fut & A3sg,4.875487019928685e+20,3059,22084
Past & A3pl,6.784451630853558e+20,11542,5214
Narr & Past,6.013697954920679e+20,5496,11542
Neg & Past,6.013698059770718e+20,8972,11542
Neg & A3sg,4.8754877219963804e+20,8972,22084
Cond & A3sg,4.875486570976661e+20,1481,22084
PastPart & P2pl,7.40911199632154e+20,7185,442
Neg & Aor,6.516574155834336e+20,8972,7353
Inf & P3sg,6.423570447922367e+20,13187,8110
Neg & PresPart,6.550469273426551e+20,8972,7079
PastPart & P3sg,6.423569674965308e+20,7185,8110
PastPart & P2sg,7.0058176600572e+20,7185,3490
PastPart & Acc,7.076287616653863e+20,7185,2949
P2sg & Acc,7.076287783733422e+20,3490,2949
Opt & A1pl,6.980016419418847e+20,2756,3689
Prog & Cop,7.048093888375934e+20,9018,3165
Prog & A3sg,4.8754882081383816e+20,9018,22084
Neg & Inf,5.8240890055660654e+20,8972,13187
Neg & Hastily,7.463574898925792e+20,8972,39
Hastily & Aor,6.516573698717859e+20,39,7353
Hastily & A3sg,4.875486264220599e+20,39,22084
Past & Cond,7.269925555382144e+20,11542,1481
PastPart & Dat,7.318352573832173e+20,7185,1118
P2sg & Dat,7.3183526708802e+20,3490,1118
Able & Neg,6.318807161383509e+20,3682,8972
Able & Aor,6.516574358000031e+20,3682,7353
Able & A3sg,4.8754868612234e+20,3682,22084
Aor & Past,6.013697792250662e+20,7353,11542
Neg & FutPart,7.311134864239338e+20,8972,1172
Neg & P2sg,7.005816878984305e+20,8972,3490
Neg & Dat,7.318352519915724e+20,8972,1118
FutPart & Dat,7.318352557646171e+20,1172,1118
