Prog & A3sg,140824928391984.84,264,694
Prog & Past,182590652763465.75,264,388
Past & A3sg,140825441320942.78,388,694
Pass & Past,182589787298522.94,167,388
Pass & A3sg,140822641494915.06,167,694
Opt & A1pl,237192228682779.5,156,60
Pass & Aor,204651762992731.66,167,248
Aor & A3sg,140823984592249.94,248,694
Fut & Past,182589508996292.28,74,388
Fut & A3sg,140821826238685.6,74,694
Aor & A3pl,228211536187942.06,248,110
Aor & Past,182590246745099.22,248,388
A3pl & Past,182589483151606.78,110,388
A3pl & A3sg,140821103230534.78,110,694
Cond & A1sg,204323275876777.34,33,250
Neg & Opt,220160414408567.9,260,156
Neg & A3sg,140823993501219.3,260,694
Opt & A3sg,140823746112242.9,156,694
Prog & A2sg,239748979701160.9,264,46
Past & A2sg,239748487491209.66,388,46
Inf & P1sg,239748579125791.2,189,46
Inf & Acc,238285880860941.38,189,54
P1sg & Acc,238285635146278.22,46,54
Neg & A1pl,237191648178852.28,260,60
Able & A3sg,140821714268723.16,132,694
Narr & Past,182590499645330.72,81,388
Narr & A3sg,140822262470766.9,81,694
Inf & P3sg,233571761858740.38,189,80
P3sg & Acc,238285604623844.2,80,54
Able & Aor,204651569181118.72,132,248
Able & A2sg,239748178579905.9,132,46
Aor & A2sg,239748918051827.97,248,46
Past & A3pl,228210940958364.1,388,110
Past & A1pl,237191648644061.2,388,60
Neg & Past,182590091588277.53,260,388
Neg & A1sg,204323935841249.62,260,250
Past & A1sg,204325037080390.72,388,250
Neg & Desr,247156053195606.7,260,6
Desr & A1sg,204323138846347.97,6,250
Neg & Aor,204651349601077.7,260,248
Opt & A1sg,204323855432841.97,156,250
Neg & A3pl,228210821455409.84,260,110
Neg & Fut,234653218272845.7,260,74
Fut & A1sg,204323247041606.28,74,250
Neg & Prog,202036181343090.12,260,264
Prog & A1sg,204323992665184.53,264,250
Able & Neg,202689002141500.97,132,260
Able & Prog,202035961675505.78,132,264
Able & A1sg,204323824637991.84,132,250
PastPart & Abl,244732635821028.38,155,19
Pass & PresPart,226797074247679.3,167,118
Pass & Prog,202036153791450.38,167,264
Narr & Cop,243248651638175.44,81,27
Inf & P2sg,237191739656124.47,189,60
Inf & Gen,246595390217832.44,189,9
P2sg & Gen,246595734812080.9,60,9
Narr & A2sg,239748763430778.47,81,46
Pass & PastPart,220330572710792.1,167,155
Pass & P2sg,237191617233473.38,167,60
Pass & Acc,238285022318707.75,167,54
PastPart & P2sg,237192686944760.5,155,60
PastPart & Acc,238285758133369.34,155,54
P2sg & Acc,238285941739714.88,60,54
Pass & Neg,202687825400452.84,167,260
Pass & Opt,220157423310324.1,167,156
Pass & Able,224334528615808.72,167,132
Aor & While,238286892884053.2,248,54
Cond & A3sg,140821424927889.66,33,694
Aor & A1sg,204323579306371.34,248,250
FutPart & P2sg,237192075276660.12,23,60
FutPart & Acc,238285604395152.1,23,54
PastPart & P1sg,239749748778288.97,155,46
Able & FutPart,243989170672001.2,132,23
Able & A3pl,228210761262207.78,132,110
Able & Past,182589887045857.9,132,388
FutPart & A3pl,228211386537546.16,23,110
FutPart & Past,182589613000115.1,23,388
FutPart & A3sg,140821260941470.94,23,694
PresPart & P2sg,237192106250860.25,118,60
PastPart & P3sg,233572487619774.56,155,80
PastPart & A3pl,228212041771360.44,155,110
PastPart & P1pl,244732479772174.38,155,19
PastPart & Ins,247156241322553.62,155,6
A3pl & P1pl,244731948907920.5,110,19
A3pl & Ins,247155895464307.94,110,6
P1pl & Ins,247156397911556.6,19,6
PastPart & Dat,244732510984060.25,155,19
A3pl & Dat,244732042543825.6,110,19
P1pl & Dat,244732323215930.12,19,19
A3pl & P2sg,237192136526053.66,110,60
P2sg & Dat,244732541839276.12,60,19
Narr & A1sg,204323082847536.62,81,250
Narr & A2pl,245290181997271.12,81,16
Past & A2pl,245289839338884.97,388,16
Cond & A1pl,237191830821702.0,33,60
A3pl & Abl,244732104956074.4,110,19
P2sg & Abl,244732385767476.9,60,19
PastPart & Gen,246595515577709.44,155,9
A3pl & Gen,246595201613753.22,110,9
Pass & While,238284991715080.75,167,54
Inf & Ins,247156210027337.47,189,6
Fut & A1pl,237191586342641.75,74,60
Able & Narr,233390634953308.84,132,81
Able & A1pl,237191464216802.97,132,60
Neg & Narr,233390847164238.22,260,81
Narr & A1pl,237191769843433.3,81,60
PastPart & P3pl,246035671814524.88,155,12
Prog & A1pl,237192076240667.03,264,60
Pass & Neces,245103999514898.38,167,17
Pass & Cop,243248403218280.25,167,27
Neces & Cop,243248775786865.44,17,27
Pass & Inf,214503457744760.3,167,189
Inf & P2pl,246782266991095.84,189,8
P2pl & Acc,238285512421997.97,8,54
Pass & Fut,234653308908437.75,167,74
PresPart & A3pl,228211773969263.53,118,110
Aor & Cond,242139868914980.2,248,33
Cond & A2sg,239748855627760.34,33,46
Prog & Cop,243248621342853.34,264,27
A3pl & P1sg,239748671071147.2,110,46
A3pl & Acc,238285328636957.78,110,54
Inf & Dat,244732136562285.97,189,19
P3sg & Dat,244732354662131.12,80,19
Pass & A3pl,228211237829139.2,167,110
Pass & Abl,244731980350169.34,167,19
PresPart & Abl,244732479672677.78,118,19
Desr & A3sg,140821410160955.28,6,694
Pass & P3sg,233571217267713.94,167,80
FutPart & P3sg,233571247219770.22,23,80
Aor & A1pl,237191862229857.22,248,60
Able & Fut,234653005291427.7,132,74
Able & P1sg,239748178584137.7,132,46
Able & Acc,238284807519516.2,132,54
FutPart & P1sg,239748794030577.47,23,46
Able & Inf,214503286141419.62,132,189
Able & P3sg,233570702891661.38,132,80
Neg & Neces,245103718720023.34,260,17
Neg & Cop,243248092765239.12,260,27
Able & P1pl,244731730483933.22,132,19
Neg & FutPart,243989202400257.2,260,23
Neg & P1pl,244731855910684.28,260,19
FutPart & P1pl,244732448072150.66,23,19
Able & Opt,220157248674943.88,132,156
Narr & A3pl,228211178291357.8,81,110
PastPart & Loc,246969206820557.12,155,7
P2sg & Loc,246969300665760.44,60,7
Able & Cond,242139062541225.25,132,33
Cond & Past,182589613031703.28,33,388
Neg & A2sg,239748456216607.75,260,46
Desr & A2sg,239748917159025.56,6,46
PresPart & Dat,244732417259135.53,118,19
Neces & A3sg,140821428750736.84,17,694
Neces & A1pl,237192014181995.5,17,60
Able & PastPart,220330223668507.12,132,155
Able & P3pl,246035013833610.12,132,12
Neg & PastPart,220330369679110.4,260,155
Neg & P3pl,246035108381455.72,260,12
P1sg & Loc,246969394831882.28,46,7
Pass & P3pl,246035170629120.56,167,12
PresPart & P3pl,246035703044638.38,118,12
A3pl & P3pl,246035170387553.4,110,12
Pass & Narr,233390997923851.06,167,81
Aor & A2pl,245290307747506.0,248,16
Pass & FutPart,243989202004046.75,167,23
Desr & A1pl,237191983609803.16,6,60
Caus & Neg,202687717818014.72,5,260
Caus & Past,182589766298284.97,5,388
Caus & A2sg,239748855581779.0,5,46
Narr & Cond,242139527321833.5,81,33
Inf & A3pl,228210970206037.28,189,110
Inf & P3pl,246035327383837.88,189,12
Cond & A2pl,245290338129932.3,33,16
Inf & P1pl,244732042926919.78,189,19
Inf & Loc,246969206943437.4,189,7
Caus & Able,224334705257637.5,5,132
Caus & Aor,204651268363267.6,5,248
Caus & A2pl,245290400588122.22,5,16
Able & A2pl,245289713194871.3,132,16
Neg & A2pl,245289870071018.53,260,16
Prog & Cond,242139559103176.84,264,33
P3sg & Loc,246969394967901.16,80,7
Fut & A2sg,239748455486388.9,74,46
Prog & A3pl,228211387456002.56,264,110
Neg & P3sg,233570824483053.25,260,80
A1pl & Cop,243248465061089.22,60,27
Able & Loc,246968735589261.16,132,7
Able & PointQual,247904852402687.25,132,2
Inf & PointQual,247905230501972.84,189,2
Loc & PointQual,247905576154626.2,7,2
Able & When,247155769853619.9,132,6
Neg & When,247155896105602.47,260,6
P1sg & Dat,244732323314434.94,46,19
Prog & Narr,233391089271147.78,264,81
Pass & Loc,246968892781071.25,167,7
Able & Cop,243247967845086.5,132,27
Neg & Inf,214503172927766.22,260,189
Inf & Cop,243248341194702.84,189,27
P3sg & Cop,243248527327801.34,80,27
Aor & Narr,233391058951972.53,248,81
Prog & A2pl,245290214050282.75,264,16
PastPart & P2pl,246782298254856.06,155,8
A3pl & P2pl,246781952745587.94,110,8
P2pl & Dat,244732448047709.28,8,19
P1pl & Gen,246595577817532.72,19,9
Pass & ByDoingSo,244917755270194.6,167,18
Caus & A3sg,140821367243913.25,5,694
Able & PresPart,226795651214599.9,132,118
Neg & PresPart,226795770448030.16,260,118
Fut & A2pl,245289931837952.53,74,16
Inf & Past,182589408326744.16,189,388
Inf & A3sg,140821089792040.34,189,694
P1sg & Abl,244732416939192.44,46,19
P1sg & PointQual,247905481828410.88,46,2
Neces & A1sg,204323055987339.6,17,250
P2pl & Abl,244732416816048.97,8,19
A3pl & Cop,243248029958344.8,110,27
P2pl & Ins,247156492148391.8,8,6
Pass & Dat,244731855513735.28,167,19
P1pl & Acc,238285389797623.9,19,54
Fut & A3pl,228210910171623.16,74,110
Able & P2sg,237191219729396.72,132,60
Neces & A2sg,239748855609155.66,17,46
Fut & Cop,243248154188740.5,74,27
Cond & A3pl,228211178200581.72,33,110
