Narr & A3sg,2877848995976483.0,424,1078
Aor & A2sg,4185952461895543.0,524,129
Prog & A3sg,2877844135795422.0,405,1078
Past & A1sg,3864161924928703.0,594,340
Narr & Cop,4154696405115224.5,424,149
Prog & A2pl,4274330048643604.0,405,73
Narr & Past,3500244728905315.5,424,594
Past & A3sg,2877836191294846.0,594,1078
PastPart & A3pl,4008363201501751.5,384,244
PastPart & P2sg,4098829439149919.0,384,185
PastPart & Acc,4164053203313504.0,384,143
A3pl & P2sg,4098817671771163.0,244,185
A3pl & Acc,4164047830766029.5,244,143
P2sg & Acc,4164055375740920.5,185,143
Neg & Prog,3768575968710250.0,483,405
Neg & A1sg,3864147834181079.0,483,340
Prog & A1sg,3864148325040896.0,405,340
Neg & Inf,3670393450850571.5,483,473
Able & Neg,3656119985312004.0,224,483
Able & Aor,3597969692102856.5,224,524
Able & A3pl,4008361453886086.5,224,244
Neg & Aor,3597969460435579.5,483,524
Neg & A3pl,4008360458701960.0,483,244
Aor & A3pl,4008367065545933.0,524,244
Pass & Neg,3656110407911083.5,149,483
Pass & Aor,3597965074295081.5,149,524
Pass & A3sg,2877826755628766.5,149,1078
Neg & A3sg,2877837554520953.5,483,1078
Aor & A3sg,2877852908080531.0,524,1078
Pass & Narr,3740956471380726.5,149,424
PastPart & P3sg,3892408228021670.0,384,321
Neg & Past,3500242227601506.0,483,594
Neg & A2pl,4274327575733166.5,483,73
Past & A2pl,4274328227538425.0,594,73
Able & A2pl,4274326532342298.0,224,73
Aor & A2pl,4274329919589907.0,524,73
Past & A3pl,4008366565079019.0,594,244
Past & A1pl,4063398393691958.0,594,208
Inf & Acc,4164056145182408.0,473,143
Neg & Narr,3740956471129047.5,483,424
Inf & P3sg,3892415553285584.0,473,321
Neg & Cop,4154683508574574.0,483,149
Inf & Gen,4351078383772006.5,473,25
P3sg & Gen,4351077592180355.0,321,25
Neces & A1sg,3864142128010164.0,21,340
Able & Inf,3670394036689921.0,224,473
Able & P1pl,4320585794337559.5,224,44
Inf & P1pl,4320587894408148.5,473,44
Pass & Inf,3670392749019703.5,149,473
Pass & P3sg,3892394916437929.5,149,321
Fut & Cop,4154685294074408.5,173,149
Fut & A3sg,2877832513764986.5,173,1078
PastPart & P1pl,4320590646790323.5,384,44
PastPart & Loc,4248959931628140.0,384,89
PastPart & PointQual,4389793188253513.0,384,1
P1pl & Loc,4248951372956196.0,44,89
P1pl & PointQual,4389794112977798.5,44,1
Loc & PointQual,4389793583273740.5,89,1
Fut & A3pl,4008359834719134.0,173,244
Pass & PastPart,3799265793607561.0,149,384
Pass & P2sg,4098812989752271.5,149,185
Pass & Loc,4248948391580125.5,149,89
P2sg & Loc,4248956818746858.0,185,89
Aor & While,4288657084558225.0,524,64
Prog & A2sg,4185951819112647.0,405,129
FutPart & P1pl,4320588284265435.5,60,44
Neg & Opt,4237883466011620.0,483,96
Opt & A3sg,2877828470046624.5,96,1078
Pass & Past,3500235778676945.0,149,594
Narr & A1sg,3864142493712048.5,424,340
PastPart & P1sg,4307797644040326.0,384,52
P1sg & Loc,4248951891597950.5,52,89
Able & PresPart,3849329048550528.0,224,350
Neg & PresPart,3849329412841628.0,483,350
PastPart & Abl,4290247877529212.5,384,63
P2sg & Abl,4290243700416621.0,185,63
Fut & Narr,3740954572649133.0,173,424
Able & FutPart,4295023813756566.0,224,60
Able & P3pl,4320585794345303.5,224,44
FutPart & P3pl,4320588022067874.0,60,44
Inf & P2sg,4098816282625358.0,473,185
P2sg & Gen,4351077854453035.0,185,25
PresPart & A3pl,4008364074282011.0,350,244
PresPart & P2sg,4098815649753801.0,350,185
PastPart & P3pl,4320589860186017.0,384,44
FutPart & P3sg,3892396506115536.5,60,321
Aor & Past,3500238395262674.5,524,594
Aor & A1pl,4063390472547588.0,524,208
Past & A2sg,4185950279665519.5,594,129
Pass & PresPart,3849331108087454.5,149,350
Neg & P2sg,4098812612388618.5,483,185
Neg & P3sg,3892394184956098.0,483,321
Able & Fut,4117379958479590.5,224,173
Able & A1sg,3864142124447446.0,224,340
Fut & A1sg,3864141882335843.5,173,340
Inf & Abl,4290243833293649.0,473,63
P3sg & Abl,4290243962547959.0,321,63
Aor & Cond,4241045996601227.0,524,94
Cond & A2sg,4185948479644827.0,94,129
Inf & P2pl,4352685056599515.0,473,24
Able & A3sg,2877828113222294.0,224,1078
Fut & Past,3500236233070697.5,173,594
Fut & A1pl,4063387449818251.0,173,208
Pass & Prog,3768573343062649.5,149,405
Pass & Cop,4154684783031025.5,149,149
Prog & Cop,4154689382683707.5,405,149
Narr & A3pl,4008364572064380.0,424,244
A3pl & Cop,4154685167096161.0,244,149
Able & Past,3500237701385559.5,224,594
Aor & A1sg,3864146382900942.5,524,340
Inf & Dat,4336617777542462.0,473,34
P3sg & Dat,4336617644852949.5,321,34
P1sg & Acc,4164049108871628.0,52,143
Fut & A2sg,4185947324798850.0,173,129
Prog & A1pl,4063391854769206.5,405,208
Pass & While,4288647427561983.0,149,64
Neces & Cop,4154686315277171.5,21,149
Able & P3sg,3892393695547529.5,224,321
Fut & A2pl,4274327443149592.0,173,73
Neces & A1pl,4063388707857225.5,21,208
Able & Acc,4164046039909578.5,224,143
P3sg & Acc,4164051412640866.5,321,143
Narr & A1pl,4063388584615736.0,424,208
