Prog & A1pl,1.135121293643857e+16,564,317
Opt & A1pl,1.1351215449889554e+16,197,317
Prog & A1sg,1.115971139239947e+16,564,375
Aor & A2sg,1.1809078254986548e+16,567,181
Cond & A1pl,1.13512030775827e+16,146,317
Aor & A3sg,8396515577688277.0,567,1305
Narr & A3pl,1.1454484664560348e+16,369,286
Narr & Past,1.0122145739650658e+16,369,702
Narr & A3sg,8396511038494593.0,369,1305
A3pl & Past,1.0122135864608428e+16,286,702
A3pl & A3sg,8396470684834637.0,286,1305
Past & A3sg,8396522717502834.0,702,1305
Cond & A2pl,1.1990858116093166e+16,146,128
PastPart & P2sg,1.1696855725284288e+16,592,214
Able & Aor,1.0541832847687188e+16,333,567
Able & A2sg,1.180906704975554e+16,333,181
Pass & Aor,1.0541828673313594e+16,821,567
Pass & A3sg,8396535669285343.0,821,1305
Aor & While,1.2184987080829622e+16,567,72
Able & Neg,1.04851739086665e+16,333,585
Able & Prog,1.0551284991990386e+16,333,564
Able & A3sg,8396484945007417.0,333,1305
Neg & Prog,1.0551289375637624e+16,585,564
Neg & A3sg,8396503408673158.0,585,1305
Prog & A3sg,8396515745582821.0,564,1305
Able & A2pl,1.1990852458509322e+16,333,128
Aor & A2pl,1.1990861167836968e+16,567,128
Past & A1sg,1.1159722989679102e+16,702,375
Pass & Fut,1.1451155517648228e+16,821,287
Fut & A3sg,8396498392126070.0,287,1305
PastPart & P3sg,1.0751479049185408e+16,592,501
Pass & Inf,1.059555254892657e+16,821,550
Pass & P3sg,1.0751466325152468e+16,821,501
Inf & P3sg,1.075146814539344e+16,550,501
Neg & Opt,1.1754573361682762e+16,585,197
Opt & A3sg,8396488058763696.0,197,1305
Prog & A2sg,1.1809079331959562e+16,564,181
Neg & Aor,1.0541824088132442e+16,585,567
PastPart & P3pl,1.215016593657929e+16,592,82
Caus & Fut,1.1451133363135572e+16,90,287
Caus & A3sg,8396474044900142.0,90,1305
Neg & Past,1.0122150556675796e+16,585,702
Neg & A3pl,1.1454479177802796e+16,585,286
Past & A3pl,1.1454480023158756e+16,702,286
Neg & A1sg,1.1159708070390462e+16,585,375
PastPart & P1sg,1.2174531621214e+16,592,75
Neg & A2sg,1.180906791393693e+16,585,181
Pass & Able,1.129815585901606e+16,821,333
Pass & FutPart,1.1908306460593758e+16,821,152
Pass & P2sg,1.169683753564492e+16,821,214
Pass & Acc,1.1700227336035334e+16,821,213
Able & FutPart,1.1908307971222566e+16,333,152
Able & P2sg,1.1696830039568456e+16,333,214
Able & Acc,1.1700219838478578e+16,333,213
FutPart & P2sg,1.169684009779435e+16,152,214
FutPart & Acc,1.1700229898674364e+16,152,213
P2sg & Acc,1.1700247023930636e+16,214,213
Pass & Narr,1.1179425768309038e+16,821,369
Inf & Cop,1.1898011652680188e+16,550,155
FutPart & A3pl,1.1454478754623064e+16,152,286
FutPart & Gen,1.2321400565906158e+16,152,33
A3pl & P2sg,1.1696838171809386e+16,286,214
A3pl & Gen,1.232139812890959e+16,286,33
P2sg & Gen,1.2321405443072006e+16,214,33
Pass & Past,1.0122150177533524e+16,821,702
Fut & Past,1.0122137407773746e+16,287,702
Aor & Past,1.0122147096526122e+16,567,702
Pass & Prog,1.0551291971474414e+16,821,564
Prog & Past,1.0122147096493472e+16,564,702
Neg & A1pl,1.135119972321535e+16,585,317
Pass & Abl,1.2328421923300518e+16,821,31
Inf & Abl,1.2328424137701524e+16,550,31
P3sg & Abl,1.2328424802461294e+16,501,31
Able & Inf,1.0595527765337304e+16,333,550
Caus & Inf,1.0595525967663388e+16,90,550
Caus & P3sg,1.0751427153330548e+16,90,501
Caus & Acc,1.170021748193051e+16,90,213
Inf & Acc,1.170023354164665e+16,550,213
P3sg & Acc,1.170022540775587e+16,501,213
Aor & A1sg,1.1159708491539956e+16,567,375
Able & A3pl,1.1454477909757996e+16,333,286
Past & A2sg,1.1809072869270396e+16,702,181
Neces & Cop,1.1898015977898778e+16,44,155
PresPart & A3pl,1.1454485296742076e+16,217,286
PresPart & Ins,1.2395284964211706e+16,217,12
A3pl & Ins,1.239528051374755e+16,286,12
Prog & A3pl,1.1454484877885626e+16,564,286
Past & A1pl,1.1351211464652132e+16,702,317
Neg & Narr,1.117940273609341e+16,585,369
Narr & A1sg,1.1159698128710326e+16,369,375
Aor & Cond,1.1928916968240658e+16,567,146
PastPart & Abl,1.2328428573017516e+16,592,31
P1sg & Abl,1.2328425463039576e+16,75,31
Inf & P1pl,1.2108463432381842e+16,550,94
Pass & Neg,1.0485167766960064e+16,821,585
Able & Past,1.0122140887332424e+16,333,702
Aor & A1pl,1.1351208324026594e+16,567,317
Aor & A3pl,1.1454486354682268e+16,567,286
Cond & A3sg,8396481814328349.0,146,1305
Opt & A1sg,1.1159703309459644e+16,197,375
Able & Cond,1.1928901132093806e+16,333,146
Neg & Cond,1.1928902436032498e+16,585,146
Neg & Desr,1.2419972961081182e+16,585,5
Desr & A1sg,1.115969750631479e+16,5,375
Desr & A3sg,8396473454557437.0,5,1305
Able & A1sg,1.1159699365849026e+16,333,375
Cond & A1sg,1.115969978369944e+16,146,375
Cond & A2sg,1.1809069849499034e+16,146,181
Able & A1pl,1.1351201398343444e+16,333,317
PastPart & Acc,1.1700240178003836e+16,592,213
P1sg & Acc,1.1700224119271624e+16,75,213
Neg & A2pl,1.1990854202320192e+16,585,128
PastPart & Gen,1.232140167915317e+16,592,33
P1sg & Gen,1.2321401230199324e+16,75,33
Prog & Cond,1.1928907208610338e+16,564,146
Neg & Inf,1.0595527766192962e+16,585,550
Neg & P2sg,1.1696828544003578e+16,585,214
Neg & Abl,1.2328419924703364e+16,585,31
Inf & A3pl,1.145447960246758e+16,550,286
Inf & P2sg,1.1696834109704766e+16,550,214
A3pl & Abl,1.2328422804049146e+16,286,31
P2sg & Abl,1.232842679492025e+16,214,31
Fut & A3pl,1.1454474956442696e+16,287,286
Neg & Acc,1.1700217914523328e+16,585,213
Inf & Gen,1.232140323016174e+16,550,33
Pass & PastPart,1.0463190043879736e+16,821,592
Neg & PastPart,1.0463180531700868e+16,585,592
Neg & P3sg,1.0751430788294544e+16,585,501
Past & A2pl,1.1990855509371448e+16,702,128
Narr & Cop,1.1898025506982386e+16,369,155
Fut & Cop,1.1898011215914292e+16,287,155
Neg & P1pl,1.2108456859838486e+16,585,94
Pass & A3pl,1.145447517314214e+16,821,286
Pass & Cop,1.1898027892498692e+16,821,155
A3pl & Cop,1.1898009051035012e+16,286,155
A1sg & Cop,1.1898011434745416e+16,375,155
PastPart & A3pl,1.1454482557024942e+16,592,286
