PastPart→Adj__P3sg,8615185350975856.0,87,386
Inf2→Noun__A3sg,4720361583413957.0,441,2176
Inf2→Noun__P3sg,8615185303024734.0,441,386
Inf2→Noun__Zero→Verb,6205337990996844.0,296,22
Inf2→Noun__Pres,6220043587618947.0,296,15
Inf2→Noun__Cop,6051328784241033.0,296,96
A3sg__P3sg,8615185269336834.0,2176,386
A3sg__Zero→Verb,9673987663869358.0,2176,10
A3sg__Pres,9691562754139212.0,2176,4
A3sg__A3sg,4720365986059537.0,2176,2176
A3sg__Cop,9238737132165966.0,2176,161
P3sg__Zero→Verb,6205337990995459.0,378,22
P3sg__Pres,6220043587617706.0,378,15
P3sg__A3sg,3292090977068430.0,378,1746
P3sg__Cop,6051328784239669.0,378,96
Zero→Verb__Pres,9691562754245896.0,10,4
Zero→Verb__A3sg,4720365559979727.0,10,2176
Zero→Verb__Cop,9238737139372180.0,10,161
Pres__A3sg,4720365617408000.0,4,2176
Pres__Cop,9238737140324202.0,4,161
Desr__A3sg,4720365484153217.0,39,2176
Fut__A3sg,4720364650898701.0,243,2176
Aor__A3sg,4720362851847159.0,517,2176
Neg__Aor,8265920461922435.0,302,517
Neg__Cond,9519683862276684.0,302,63
Neg__A3sg,4720364025986606.0,302,2176
Aor__Cond,9519683861910696.0,517,63
Cond__A3sg,4720365370547193.0,63,2176
PastPart→Noun__A3sg,4720362852073650.0,319,2176
PastPart→Noun__Acc,9080745309602412.0,319,217
A3sg__Acc,9080745300657158.0,2176,217
Desr__Past,8166511446311723.0,39,555
Past__A3sg,4720364158448714.0,555,2176
Narr__A3sg,4720362236574347.0,440,2176
Narr__Cop,9238737134495532.0,440,161
Neg__Prog1,8326507447194700.0,302,494
Prog1__A3sg,4720362832929419.0,494,2176
Imp__A2sg,9019183563895804.0,147,239
Imp__A3sg,4720365275812314.0,147,2176
Inf2→Noun__Dat,9410071275441906.0,441,101
A3sg__Dat,9410071274997592.0,2176,101
Able→Verb__Aor,8265920473177079.0,128,517
Able→Verb__A3sg,4720364755138211.0,128,2176
Neg__PresPart→Adj,8773058354970970.0,302,328
PresPart→Noun__A3pl,9055528688452954.0,39,226
PresPart→Noun__Abl,9387110367190758.0,39,109
A3pl__Abl,9387110367161648.0,226,109
PastPart→Noun__P2sg,9418693632611628.0,319,98
PastPart→Noun__Loc,9384236311604896.0,319,110
A3sg__P2sg,9418693632231720.0,2176,98
A3sg__Loc,9384236311099848.0,2176,110
P2sg__Loc,9384236312848406.0,98,110
PastPart→Noun__P2pl,9627229439593562.0,319,26
A3sg__P2pl,9627229439591038.0,2176,26
P2pl__Acc,9080745318937094.0,26,217
Neg__Desr,9589350271227170.0,302,39
Inf2→Noun__A3pl,9055528690059642.0,441,226
Inf2→Noun__P2sg,9418693633416956.0,441,98
Inf2→Noun__Abl,9387110365913124.0,441,109
A3pl__P2sg,9418693633450304.0,226,98
P2sg__Abl,9387110367183322.0,98,109
Inf1→Noun__A3sg,4720363713709602.0,195,2176
PastPart→Noun__P3sg,8615185334586917.0,319,386
P3sg__Acc,9080745313081892.0,386,217
Desr__A1sg,8604370135397679.0,39,390
Neg__PastPart→Adj,9450353997689550.0,302,87
Neg__P1sg,9534168862411210.0,302,58
PastPart→Adj__P1sg,9534168862321832.0,87,58
Able→Verb__Prog1,8326507464306255.0,128,494
PastPart→Noun__Dat,9410071276808036.0,319,101
P3sg__Dat,9410071276399764.0,386,101
Inf2→Noun__P3pl,9612649882713378.0,441,31
A3sg__P3pl,9612649882707328.0,2176,31
P2sg__Acc,9080745316388532.0,98,217
Fut__Narr,8469985586278682.0,243,440
Neg__Past,8166511427225906.0,302,555
Prog2__A3sg,4720365294801971.0,42,2176
