PastPart→Adj__P3sg,3309450002367449.0,23,725
Inf2→Noun__A3sg,1858823440400123.8,933,2103
Inf2→Noun__P3sg,3309449339339638.5,933,725
Inf2→Noun__Zero→Verb,4307774900325560.5,933,42
Inf2→Noun__Pres,4318966792260837.5,933,35
Inf2→Noun__Cop,4140700495780905.0,933,148
A3sg__P3sg,3309449306587358.0,2103,725
A3sg__Zero→Verb,4307774900231966.5,2103,42
A3sg__Pres,4318966792216556.0,2103,35
A3sg__A3sg,1858831478900980.0,2103,2103
A3sg__Cop,4140700488646952.5,2103,148
P3sg__Zero→Verb,4307774900330915.5,725,42
P3sg__Pres,4318966792264260.0,725,35
P3sg__A3sg,1858831328508272.2,725,2103
P3sg__Cop,4140700495866858.0,725,148
Zero→Verb__Pres,4318966792237729.5,42,35
Zero→Verb__A3sg,1858831036729715.5,42,2103
Zero→Verb__Cop,4140700494770115.5,42,148
Pres__A3sg,1858831107564912.8,35,2103
Pres__Cop,4140700494906078.0,35,148
Desr__A3sg,1858831390427715.8,2,2103
Fut__A3sg,1858830886395799.2,75,2103
Aor__A3sg,1858830391085009.0,162,2103
Neg__Aor,4118966913011325.0,141,162
Neg__Cond,4355869501736608.0,141,12
Neg__A3sg,1858830965911957.5,141,2103
Aor__Cond,4355869501709023.0,162,12
Cond__A3sg,1858831319759137.2,12,2103
PastPart→Noun__A3sg,1858830700640509.2,98,2103
PastPart→Noun__Acc,4143811314313373.0,98,146
A3sg__Acc,4143811310982033.0,2103,146
Desr__Past,2286385778699731.5,6,259
Past__A3sg,1858830727234450.8,103,2103
Narr__A3sg,1858830541481424.8,101,2103
Narr__Cop,4140700494644003.5,101,148
Neg__Prog1,4167194594284336.5,141,131
Prog1__A3sg,1858830470700779.8,131,2103
Imp__A2sg,4242621602589156.0,166,83
Imp__A3sg,1858830753635934.2,166,2103
Inf2→Noun__Dat,4017558970114795.0,933,228
A3sg__Dat,4017558967931707.0,2103,228
Able→Verb__Aor,4118966911884720.5,116,162
Able→Verb__A3sg,1858830559180587.0,116,2103
Neg__PresPart→Adj,4111222684156600.5,141,167
PresPart→Noun__A3pl,4182835620920029.5,18,121
PresPart→Noun__Abl,4322170054440994.5,18,33
A3pl__Abl,4322170054423840.0,121,33
PastPart→Noun__P2sg,4260036960606944.0,98,72
PastPart→Noun__Loc,2508329114644338.0,365,44
A3sg__P2sg,4260036960115355.0,2103,72
A3sg__Loc,4285452083609413.0,2103,56
P2sg__Loc,5095149418624687.0,63,63
PastPart→Noun__P2pl,4362308345308200.0,98,8
A3sg__P2pl,4362308345304337.5,2103,8
P2pl__Acc,4143811316148190.0,8,146
Neg__Desr,2549014986877577.0,121,6
Inf2→Noun__A3pl,4182835620004405.5,933,121
Inf2→Noun__P2sg,4260036960380017.0,933,72
Inf2→Noun__Abl,4322170054343648.0,933,33
A3pl__P2sg,4260036960740766.0,121,72
P2sg__Abl,4322170054390837.0,72,33
Inf1→Noun__A3sg,1858827083896669.0,458,2103
PastPart→Noun__P3sg,3309449985547889.5,98,725
P3sg__Acc,4143811313021961.5,725,146
Desr__A1sg,4322165330565856.5,2,33
Neg__PastPart→Adj,4338192193022201.5,141,23
Neg__P1sg,2.9738031128831976e+16,584,100
PastPart→Adj__P1sg,2551167981277826.5,178,4
Able→Verb__Prog1,4167194594380199.0,116,131
PastPart→Noun__Dat,4017558989972077.5,98,228
P3sg__Dat,4017558983308954.0,725,228
Inf2→Noun__P3pl,4306177758739524.0,933,43
A3sg__P3pl,4306177758751733.0,2103,43
P2sg__Acc,4143811315378900.0,72,146
Fut__Narr,2.8802079043256908e+16,151,239
Neg__Past,4211086880567669.0,141,103
Prog2__A3sg,1858830974796939.8,50,2103
Prog2__Cop,4140700494339731.0,50,148
Able→Verb__A3pl,4182835621142017.0,116,121
Aor__A3pl,4182835620941309.0,162,121
PastPart→Noun__A3pl,4182835620746639.5,98,121
A3pl__P3sg,3309450002389028.0,121,725
P2sg__Dat,4017558989870043.0,72,228
Neg__AfterDoingSo→Adv,3.018951589356975e+16,584,34
Inf2→Noun__P1pl,4362308345299404.5,933,8
A3sg__P1pl,4362308345304465.5,2103,8
P1pl__Dat,4017558990850188.0,8,228
Inf2→Noun__Acc,4143811312938200.0,933,146
Neg__PastPart→Noun,4218953488248820.0,141,98
Neg__P3sg,3309450018143116.0,141,725
Neg__Acc,4143811316117705.5,141,146
FutPart→Adj__P3sg,3309450017068275.0,27,725
Imp__A3pl,4182835621231844.0,166,121
PastPart→Noun__P3pl,4306177758796817.0,98,43
A3pl__P3pl,4306177758801453.5,121,43
Fut__Cond,4355869501781092.5,75,12
PresPart→Noun__P2sg,4260036960828152.5,18,72
P3sg__Loc,4285452083796438.0,725,56
Able→Verb__FutPart→Noun,4295009404993102.5,116,50
Able→Verb__P2sg,4260036960775298.0,116,72
Able→Verb__Dat,4017558990742986.0,116,228
FutPart→Noun__A3sg,1858831010173609.2,50,2103
FutPart→Noun__P2sg,4260036960631917.0,50,72
FutPart→Noun__Dat,4017558989353149.0,50,228
A3pl__Acc,4143811315108821.5,121,146
Fut__A2sg,4242621603719108.0,75,83
PresPart→Noun__A3sg,1858831363941335.5,18,2103
PresPart→Noun__P3sg,2028435241075386.5,23,528
Prog1__A1pl,4320564354630834.5,131,34
Prog1__A1sg,4322165330552057.5,131,33
Inf1→Noun__Abl,4322170054374908.5,458,33
A3sg__Abl,4322170054322996.0,2103,33
Neg__P2sg,4260036960768563.0,141,72
Past__A1sg,4322165330662555.5,103,33
Imp__A2pl,4343008490206292.0,166,20
Fut__Cop,4140700495588140.5,75,148
PastPart→Noun__P1pl,4362308345308455.0,98,8
P1pl__Acc,2275403768754369.0,17,270
Neg__Imp,4112770985487602.0,141,166
Fut__Past,4211086880532028.5,75,103
Aor__A1sg,4322165330547009.5,162,33
Aor__A2sg,4242621603662611.5,162,83
Neg__A2pl,4343008490243508.0,141,20
Inf2→Noun__Gen,4234722784459656.0,933,88
A3sg__Gen,4234722784433282.0,2103,88
P3sg__Gen,4234722785371145.0,725,88
Neg__Inf2→Noun,3042197075944332.0,141,933
Inf1→Noun__Loc,4285452083821161.5,458,56
Aor__Past,4211086880396886.5,162,103
PastPart→Adj__P1pl,4362308345305615.0,23,8
Pass→Verb__PresPart→Adj,4111222682400076.0,950,167
FutPart→Noun__P3sg,3309450005520053.0,50,725
FutPart→Noun__Abl,2523271937933528.5,73,30
P3sg__Abl,4322170054348911.5,725,33
Neg__A1sg,4322165330588828.5,141,33
Neg__When→Adv,2552245185846827.0,121,3
Opt__A1pl,4320564354631755.5,38,34
Able→Verb__Past,4211086880592625.0,116,103
Prog1__Past,4211086880016186.0,131,103
Prog1__Cond,4355869501709435.0,131,12
Unable__Prog1,4167194594494919.0,59,131
Unable__A2pl,4343008490351754.5,59,20
Prog1__A2pl,4343008490216901.0,131,20
Neg__Fut,2463872042054697.0,121,86
Neg__Cop,2327625784260097.5,121,218
Neg__Narr,2252568353105568.0,121,293
Aor__A2pl,4343008490214607.0,162,20
Cond__A2pl,4343008490338335.5,12,20
Able→Verb__A1pl,4320564354688777.5,116,34
Fut__A1sg,4322165330624486.5,75,33
Narr__A3pl,4182835621234729.5,101,121
A3pl__Cop,4140700496123598.0,121,148
Neces__A3sg,1858831151656456.5,36,2103
Unable__Past,4211086880664378.5,59,103
Unable__A1sg,4322165330697774.5,59,33
Able→Verb__P3sg,3309449998197903.0,116,725
Able→Verb__Abl,2523271937990748.0,135,30
FutPart→Noun__A3pl,4182835621130980.0,50,121
PastPart→Noun__Abl,4322170054380828.0,98,33
Able→Verb__Inf1→Noun,3677676165105413.5,116,458
Desr__A1pl,2490269889303825.0,6,61
Prog1__A3pl,4182835620971292.0,131,121
A3pl__Past,4211086880516239.0,121,103
Neces__Past,4211086880531653.5,36,103
Neg__Abl,4322170054410730.5,141,33
Aor__A1pl,4320564354620904.5,162,34
Pass→Verb__Able→Verb,4190670249951439.5,950,116
Pass→Verb__Aor,4118966911303942.5,950,162
Pass→Verb__A3sg,1858824536713773.2,950,2103
Neg__Gen,4234722785723716.5,141,88
PastPart→Noun__Gen,4234722785660645.5,98,88
P2sg__Gen,4234722785199245.5,72,88
Cond__A1pl,2490269889299584.0,25,61
Pass→Verb__FutPart→Noun,4295009404917228.5,950,50
Pass→Verb__P3sg,3309449484281850.5,950,725
Pass→Verb__Acc,4143811313319198.0,950,146
FutPart→Noun__Acc,4143811314998943.0,50,146
Unable__Aor,4118966912489461.5,59,162
Unable__A3sg,1858831063306609.8,59,2103
Hastily→Verb__Narr,2.8802079043400356e+16,1,239
Hastily→Verb__Past,2286385778834525.5,1,259
Hastily→Verb__A3sg,1.7914569459295086e+16,1,2165
Narr__Past,4211086880546054.0,101,103
Able→Verb__FutPart→Adj,2497694676019156.5,135,54
Able→Verb__Acc,4143811315846581.5,116,146
Unable__PastPart→Noun,4218953488299393.0,59,98
Unable__Acc,4143811316054718.0,59,146
Fut__A2pl,4343008490287905.0,75,20
Prog1__A2sg,2523268228662352.0,166,30
Neg__Neces,2542561969682757.0,121,12
Neces__A3pl,4182835621241508.5,36,121
Neg__Able→Verb,4190670250706746.5,141,116
Neg__Dat,4017558990820006.5,141,228
Neg__A3pl,4182835621290174.5,141,121
Able→Verb__Prog2,4295008490369006.0,116,50
Able→Verb__Cop,4140700495921614.5,116,148
Desr__A3pl,6682579805141281.0,2,523
Fut__A1pl,4320564354703271.0,75,34
Neces__Cop,4140700495657119.5,36,148
Neg__PresPart→Noun,4346221822555740.5,141,18
PresPart→Noun__Acc,4143811316156190.0,18,146
Past__A1pl,4320564354748057.0,103,34
Narr__A1pl,2490269889235491.5,293,61
Past__A3pl,4182835621333512.0,103,121
P1pl__Loc,3.008650820924783e+16,63,49
PresPart→Noun__Dat,4017558990546386.5,18,228
Opt__A1sg,4322165330561509.5,38,33
Neg__P1pl,4362308345325264.5,141,8
Inf1→Noun__Zero→Verb,4307774900256580.5,458,42
Inf1→Noun__Pres,4318966792227309.5,458,35
Inf1→Noun__Cop,4140700495209593.0,458,148
Unable__Fut,4255284786069012.5,59,75
Unable__A3pl,4182835621251924.0,59,121
Unable__Cop,4140700496264632.5,59,148
Fut__A3pl,4182835621328672.5,75,121
Neg__FutPart→Noun,4295009405010548.5,141,50
FutPart→Adj__P3pl,4306177758824330.0,27,43
PresPart→Noun__P3pl,4306177758885784.5,18,43
P3pl__Abl,4322170054414917.0,43,33
Able→Verb__A1sg,4322165330614221.5,116,33
Pass→Verb__Imp,4112770985398354.5,950,166
Pass→Verb__A2sg,4242621602586704.0,950,83
Unable__When→Adv,5201000368728884.0,105,5
Hastily→Verb__Imp,7757046177291290.0,1,1575
PresPart→Noun__Gen,4234722785762519.0,18,88
A3pl__Gen,4234722785675400.0,121,88
Narr__A1sg,4322165330562972.5,101,33
Inf2→Noun__With→Adj,4365530147744789.5,933,6
A3sg__With→Adj,4365530147750816.0,2103,6
PastPart→Adj__P3pl,4306177758827127.5,23,43
Pass→Verb__Inf2→Noun,3042196177837648.5,950,933
Pass→Verb__Loc,4285452083814292.5,950,56
Inf2→Noun__Loc,4285452083723010.5,933,56
Able→Verb__PastPart→Noun,4218953488295420.5,116,98
