PastPart→Adj__P3sg,4328240078915462.0,59,510
Inf2→Noun__A3sg,2178270687071990.2,464,2237
Inf2→Noun__P3sg,4328239919329739.0,464,510
Inf2→Noun__Zero→Verb,5096962683153750.0,464,62
Inf2→Noun__Pres,5107849235080057.0,464,56
Inf2→Noun__Cop,4470721854442074.0,464,423
A3sg__P3sg,4328239879705642.0,2237,510
A3sg__Zero→Verb,5096962682876710.0,2237,62
A3sg__Pres,5107849234886197.0,2237,56
A3sg__A3sg,2178275349900160.0,2237,2237
A3sg__Cop,4470721694526880.5,2237,423
P3sg__Zero→Verb,5096962683153753.0,510,62
P3sg__Pres,5107849235080067.0,510,56
P3sg__A3sg,2178275229776091.0,510,2237
P3sg__Cop,4470721854442053.5,510,423
Zero→Verb__Pres,5107849234882492.0,62,56
Zero→Verb__A3sg,2178274829594168.2,62,2237
Zero→Verb__Cop,4470721841250250.0,62,423
Pres__A3sg,2178274899674284.5,56,2237
Pres__Cop,4470721841306986.0,56,423
Desr__A3sg,2178275379914441.2,5,2237
Fut__A3sg,2178273228574578.5,241,2237
Aor__A3sg,2178273858876759.0,226,2237
Neg__Aor,4805468849874098.0,58,226
Neg__Cond,5147893857592288.0,58,34
Neg__A3sg,2178274969712101.5,58,2237
Aor__Cond,5147893857452179.0,226,34
Cond__A3sg,2178275149797858.0,34,2237
PastPart→Noun__A3sg,2178273918989240.5,168,2237
PastPart→Noun__Acc,4921376414591469.0,168,160
A3sg__Acc,4921376411108143.0,2237,160
Desr__Past,4826407182343613.0,5,214
Past__A3sg,2178273698860576.2,214,2237
Narr__A3sg,2178272968421285.5,257,2237
Narr__Cop,4470721813675791.0,257,423
Neg__Prog1,4917836068530954.0,58,162
Prog1__A3sg,2178274009036344.2,162,2237
Imp__A2sg,5195489523358889.0,19,8
Imp__A3sg,2178275389915509.5,19,2237
Inf2→Noun__Dat,5001486180757689.0,464,115
A3sg__Dat,5001486180260904.0,2237,115
Able→Verb__Aor,4805468843569241.0,200,226
Able→Verb__A3sg,2178273748869806.8,200,2237
Neg__PresPart→Adj,4545703890911566.0,58,378
PresPart→Noun__A3pl,5033778276028787.0,11,97
PresPart→Noun__Abl,3.011396739205459e+16,25,45
A3pl__Abl,5149722980510566.0,97,33
PastPart→Noun__P2sg,5095149702815096.0,168,63
PastPart→Noun__Loc,5095149418584255.0,168,63
A3sg__P2sg,5095149702642884.0,2237,63
A3sg__Loc,5095149418135256.0,2237,63
P2sg__Loc,5095149418624687.0,63,63
PastPart→Noun__P2pl,5189982863818824.0,168,11
A3sg__P2pl,5189982863822201.0,2237,11
P2pl__Acc,4921376418546913.0,11,160
Neg__Desr,7922682106803751.0,237,2
Inf2→Noun__A3pl,5033778275934171.0,464,97
Inf2→Noun__P2sg,5095149703000757.0,464,63
Inf2→Noun__Abl,5149722980425832.0,464,33
A3pl__P2sg,5095149703075699.0,97,63
P2sg__Abl,5149722980446567.0,63,33
Inf1→Noun__A3sg,2178270637110796.2,441,2237
PastPart→Noun__P3sg,4328240070066770.5,168,510
P3sg__Acc,4921376416527014.0,510,160
Desr__A1sg,2.4717609864127908e+16,28,885
Neg__PastPart→Adj,5102401945777163.0,58,59
Neg__P1sg,2.9738031128831976e+16,584,100
PastPart→Adj__P1sg,7902544639787675.0,42,10
Able→Verb__Prog1,4917836067927810.0,200,162
PastPart→Noun__Dat,5001486183061154.0,168,115
P3sg__Dat,5001486182316364.0,510,115
Inf2→Noun__P3pl,5164336603870080.0,464,25
A3sg__P3pl,5164336603871456.0,2237,25
P2sg__Acc,4921376417113054.0,63,160
Fut__Narr,2.8802079043256908e+16,151,239
Neg__Past,4826407182054307.0,58,214
Prog2__A3sg,2178274469347270.5,100,2237
Prog2__Cop,4470721828354634.5,100,423
Able→Verb__A3pl,5033778275971084.0,200,97
Aor__A3pl,5033778275672017.0,226,97
PastPart→Noun__A3pl,5033778275826123.0,168,97
A3pl__P3sg,4328240095612281.0,97,510
P2sg__Dat,5001486182945628.0,63,115
Neg__AfterDoingSo→Adv,3.018951589356975e+16,584,34
Inf2→Noun__P1pl,5197326038704481.0,464,7
A3sg__P1pl,5197326038712541.0,2237,7
P1pl__Dat,7434312725016685.0,8,200
Inf2→Noun__Acc,4921376416834099.0,464,160
Neg__PastPart→Noun,4907226938737525.0,58,168
Neg__P3sg,4328240098753721.0,58,510
Neg__Acc,4921376418567717.0,58,160
FutPart→Adj__P3sg,4328240094500653.5,110,510
Imp__A3pl,5033778276111552.0,19,97
PastPart→Noun__P3pl,5164336603870839.0,168,25
A3pl__P3pl,5164336603946584.0,97,25
Fut__Cond,5147893857522033.0,241,34
PresPart→Noun__P2sg,5095149703112620.0,11,63
P3sg__Loc,5095149418413192.0,510,63
Able→Verb__FutPart→Noun,5080664012171686.0,200,71
Able→Verb__P2sg,5095149703049993.0,200,63
Able→Verb__Dat,5001486183153394.0,200,115
FutPart→Noun__A3sg,2178274749538202.2,71,2237
FutPart→Noun__P2sg,5095149702922091.0,71,63
FutPart→Noun__Dat,5001486182975031.0,71,115
A3pl__Acc,4921376418238965.0,97,160
Fut__A2sg,5195489523370830.0,241,8
PresPart→Noun__A3sg,2178275399959870.0,11,2237
PresPart→Noun__P3sg,1.2083930222958032e+16,2,123
Prog1__A1pl,5116929922727437.0,162,51
Prog1__A1sg,5171654953262857.0,162,21
Inf1→Noun__Abl,5149722980425889.0,441,33
A3sg__Abl,5149722980378828.0,2237,33
Neg__P2sg,5095149703129348.0,58,63
Past__A1sg,5171654953314811.0,214,21
Imp__A2pl,5166164465132858.0,19,24
Fut__Cop,4470721832283947.0,241,423
PastPart→Noun__P1pl,5197326038708618.0,168,7
P1pl__Acc,7431899529931032.0,8,201
Neg__Imp,5175316582268275.0,58,19
Fut__Past,4826407181718141.0,241,214
Aor__A1sg,5171654953261836.0,226,21
Aor__A2sg,2.821341664716138e+16,490,328
Neg__A2pl,2.975845343884684e+16,584,97
Inf2→Noun__Gen,5160679022970257.0,464,27
A3sg__Gen,5160679022969156.0,2237,27
P3sg__Gen,5160679022979000.0,510,27
Neg__Inf2→Noun,4403166898105078.0,58,464
Inf1→Noun__Loc,5095149418405444.0,441,63
Aor__Past,4826407181332040.0,226,214
PastPart→Adj__P1pl,5197326038707436.0,59,7
Pass→Verb__PresPart→Adj,4545703865960659.0,961,378
FutPart→Noun__P3sg,4328240088805857.0,71,510
FutPart→Noun__Abl,5149722980454013.0,71,33
P3sg__Abl,5149722980417147.0,510,33
Neg__A1sg,5171654953360590.0,58,21
Neg__When→Adv,3.0272094976484428e+16,584,22
Opt__A1pl,5116929922730074.0,12,51
Able→Verb__Past,4826407181805396.0,200,214
Prog1__Past,4826407179959077.0,162,214
Prog1__Cond,5147893857496164.0,162,34
Unable__Prog1,4917836068323621.0,105,162
Unable__A2pl,5166164465177847.0,105,24
Prog1__A2pl,5166164465128140.0,162,24
Neg__Fut,4779391880653964.0,58,241
Neg__Cop,4470721859902564.5,58,423
Neg__Narr,4751678640095781.0,58,257
Aor__A2pl,5166164465127994.0,226,24
Cond__A2pl,5166164465185234.0,34,24
Able→Verb__A1pl,5116929922738506.0,200,51
Fut__A1sg,5171654953281550.0,241,21
Narr__A3pl,5033778275991482.0,257,97
A3pl__Cop,4470721858803349.5,97,423
Neces__A3sg,2178274679474110.5,80,2237
Unable__Past,4826407181736762.0,105,214
Unable__A1sg,5171654953308093.0,105,21
Able→Verb__P3sg,4328240088275949.0,200,510
Able→Verb__Abl,5149722980499825.0,200,33
FutPart→Noun__A3pl,5033778276090368.0,71,97
PastPart→Noun__Abl,5149722980412478.0,168,33
Able→Verb__Inf1→Noun,4440973299068415.5,200,441
Desr__A1pl,2.907604767774505e+16,28,198
Prog1__A3pl,5033778276048235.0,162,97
