PastPart→Adj__P3sg,2028435155234933.0,178,528
Inf2→Noun__A3sg,1048246842443159.4,408,1912
Inf2→Noun__P3sg,2028435151293697.2,408,528
Inf2→Noun__Zero→Verb,2510460561518028.0,408,42
Inf2→Noun__Pres,2516860687309489.0,408,36
Inf2→Noun__Cop,2327625784308866.5,408,218
A3sg__P3sg,2028435056513715.5,1912,528
A3sg__Zero→Verb,2510460561424306.0,1912,42
A3sg__Pres,2516860687255294.0,1912,36
A3sg__A3sg,1048249905184584.1,1912,1912
A3sg__Cop,2327625762275017.0,1912,218
P3sg__Zero→Verb,2510460561525129.0,528,42
P3sg__Pres,2516860687317245.5,528,36
P3sg__A3sg,1048249824730944.0,528,1912
P3sg__Cop,2327625784498963.0,528,218
Zero→Verb__Pres,2516860687266863.0,42,36
Zero→Verb__A3sg,1048249568926716.1,42,1912
Zero→Verb__Cop,2327625781686177.0,42,218
Pres__A3sg,1048249620183165.4,36,1912
Pres__Cop,2327625781903896.0,36,218
Desr__A3sg,1048249824758185.5,6,1912
Fut__A3sg,1048249320393305.5,86,1912
Aor__A3sg,1048248801330229.6,194,1912
Neg__Aor,2352003944625471.5,121,194
Neg__Cond,2528617755155290.5,121,25
Neg__A3sg,1048249174183866.5,121,1912
Aor__Cond,2528617755102548.0,194,25
Cond__A3sg,1048249700489012.9,25,1912
PastPart→Noun__A3sg,1048247361372102.9,365,1912
PastPart→Noun__Acc,2275403741038006.5,365,270
A3sg__Acc,2275403731117186.0,1912,270
Desr__Past,2286385778699731.5,6,259
Past__A3sg,1048248443174086.0,259,1912
Narr__A3sg,1048247916899484.5,293,1912
Narr__Cop,2327625774815000.5,293,218
Neg__Prog1,2380666718190576.0,121,166
Prog1__A3sg,1048248932916060.4,166,1912
Imp__A2sg,2523268228658171.0,20,30
Imp__A3sg,1048249817427150.8,20,1912
Inf2→Noun__Dat,2452315207552779.5,408,97
A3sg__Dat,2452315207224775.0,1912,97
Able→Verb__Aor,2352003942213008.0,135,194
