Prog & A1sg,2451422344665522.0,489,494
Prog & A3sg,2164338967670092.5,489,778
Past & A1sg,2451431756220807.5,656,494
Prog & Past,2284397587028412.5,489,656
Past & A3sg,2164342239404573.8,656,778
PastPart & P1sg,2953481849974291.0,411,50
Opt & A1pl,2474788374956107.0,412,472
Past & A1pl,2474757799954668.5,656,472
Recip & Past,2284391439333427.5,19,656
Recip & A1pl,2474756750006616.0,19,472
Neg & Prog,2456703307421329.5,294,489
Neg & A3sg,2164326889447478.2,294,778
PresPart & P2sg,2785845828155528.5,309,192
PastPart & Loc,2749004587618433.5,411,224
P1sg & Loc,2748985501395335.0,50,224
PastPart & P3sg,2937857139312233.0,411,63
Prog & A1pl,2474760203548853.0,489,472
Aor & A3pl,2777752257389876.0,399,199
Aor & While,2964329797400633.0,399,41
A3pl & While,2964324257737112.5,199,41
Aor & A1sg,2451411400614607.0,399,494
Prog & A2sg,2915123113006899.5,489,82
Past & A2pl,2534907274559003.0,656,416
Prog & A3pl,2777752050314383.5,489,199
Aor & A3sg,2164335150342783.0,399,778
Aor & A2sg,2915123219637127.0,399,82
Caus & A2pl,2534907863847214.5,8,416
Pass & ByDoingSo,2897255580949660.0,229,97
Able & Aor,2553373762564932.5,68,399
Able & A2pl,2534906688493606.0,68,416
Aor & A2pl,2534910691548921.5,399,416
PastPart & P1pl,2861764081015172.0,411,127
P1pl & Loc,2748989731160936.5,127,224
Inf & P3sg,2937856057968459.0,161,63
Fut & A2pl,2534906884885098.5,72,416
Past & A2sg,2915119248516026.0,656,82
Past & A3pl,2777751011063394.5,656,199
Prog & A2pl,2534908742832181.5,489,416
Neg & Past,2284394862594658.0,294,656
Neg & Opt,2539244769028985.0,294,412
Opt & A3sg,2164324229392253.2,412,778
Inf & Dat,2982466161375933.5,161,26
P3sg & Dat,2982466705954728.5,63,26
Aor & Cond,2867658952480824.0,399,122
Aor & A1pl,2474761831649352.5,399,472
Cond & A1pl,2474758379012355.0,122,472
Pass & Fut,2927070429731090.0,229,72
Pass & A3sg,2164324983099904.5,229,778
Fut & A3sg,2164322649772283.5,72,778
Pass & PastPart,2540337895235293.0,229,411
Pass & P2sg,2785850718994765.0,229,192
Pass & Loc,2748990554934402.0,229,224
PastPart & P2sg,2785857072079646.0,411,192
P2sg & Loc,2748993341638744.5,192,224
PastPart & P2pl,2958299287826282.5,411,46
P2pl & Loc,2748985191652188.5,46,224
Fut & A1sg,2451408253961856.0,72,494
Cond & A2pl,2534909713700977.5,122,416
Narr & Past,2284392795084430.0,79,656
Narr & A3sg,2164323177607795.2,79,778
Neg & A1pl,2474755499939365.0,294,472
PresPart & A3pl,2777759946061146.0,309,199
PresPart & Dat,2982467580101188.0,309,26
A3pl & Dat,2982465071258610.0,199,26
Cond & Past,2284390804863452.5,122,656
Cond & A3sg,2164322827245625.2,122,778
A3pl & P2sg,2785842806533996.5,199,192
Narr & A1sg,2451409304761060.5,79,494
Pass & Aor,2553375232652575.5,229,399
Neg & Inf,2821870823201143.5,294,161
Neg & P1pl,2861750400745552.5,294,127
Inf & P1pl,2861752096820361.5,161,127
PastPart & Acc,2940256635367737.5,411,61
P1sg & Acc,2940255120941214.0,50,61
Able & Neg,2669528574089437.0,68,294
Able & Prog,2456699972015616.0,68,489
