Opt & A1pl,1706168178824529.5,98,147
Able & Aor,1604261255664203.5,70,277
Able & A2sg,1771847232680027.0,70,66
Aor & A2sg,1771848993026967.5,277,66
Narr & A3sg,1149593838753652.8,330,944
Pass & Prog,1611944850140388.2,454,267
Pass & Cop,1726258658223425.5,454,122
Prog & Cop,1726257999621771.8,267,122
Aor & A3sg,1149591535492798.0,277,944
Neg & Aor,1604261256186614.5,450,277
Neg & A3pl,1692590420194043.5,450,164
Aor & A3pl,1692592450077514.0,277,164
Past & A3sg,1149602496142845.2,623,944
PastPart & P3sg,1627400326668059.2,288,247
Caus & Pass,1472481476160160.0,13,454
Caus & Aor,1604259221854623.2,13,277
Caus & A3sg,1149580641502573.0,13,944
Pass & Aor,1604261021183000.0,454,277
Pass & A3sg,1149590704969325.0,454,944
Past & A3pl,1692592369840949.2,623,164
PastPart & P1sg,1789981197925516.2,288,44
Past & A1sg,1639050036302219.2,623,232
Opt & A1sg,1639044637082605.8,98,232
Able & Neg,1475372909421024.5,70,450
Able & Past,1354158134627950.2,70,623
Able & A1sg,1639044158317187.0,70,232
Neg & Past,1354162555453752.0,450,623
Neg & A1sg,1639044556467682.5,450,232
Pass & Inf,1589733411510369.5,454,296
Neg & A2sg,1771846900040970.0,450,66
Past & A2sg,1771847654982891.0,623,66
Neg & Narr,1563959072597089.8,450,330
Narr & A2sg,1771848239553690.0,330,66
Past & A2pl,1649969932904145.5,623,218
Neg & Prog,1611947205271013.5,450,267
Prog & A2sg,1771848741724340.2,267,66
Neg & A3sg,1149591255663105.5,450,944
Narr & Past,1354163119992206.8,330,623
Pass & Narr,1563963145088595.2,454,330
Narr & Cop,1726261702762330.8,330,122
Neg & Fut,1733530127327905.2,450,113
Neg & A1pl,1706162710134586.0,450,147
Fut & A1pl,1706161810141230.8,113,147
Neg & PresPart,1694183132720077.2,450,162
Neg & Opt,1745698287009527.5,450,98
Opt & A3sg,1149583161201245.8,98,944
Pass & PastPart,1595836604215881.8,454,288
Pass & P3sg,1627396216426177.2,454,247
Neg & Inf,1589730380126320.2,450,296
PastPart & Abl,1805738527661256.2,288,25
Narr & A1sg,1639043922381938.8,330,232
Neg & Dat,1800749557488475.5,450,31
Inf & Dat,1800751673251984.0,296,31
Narr & A3pl,1692592206613720.8,330,164
Prog & A1pl,1706164342728455.0,267,147
Able & A3sg,1149581669787116.8,70,944
Aor & Cond,1766108343172371.2,277,73
Aor & A1pl,1706164261108338.0,277,147
Cond & A1pl,1706164014798008.8,73,147
Neg & PastPart,1595834811791510.8,450,288
Neg & P3sg,1627390290317237.5,450,247
Prog & A1sg,1639048210721814.5,267,232
Inf & A3pl,1692591394357934.0,296,164
Inf & P3pl,1793288874104229.5,296,40
A3pl & P3pl,1793288282055254.0,164,40
Fut & Cond,1766103745448901.8,113,73
Fut & A3sg,1149584457530756.0,113,944
Cond & A3sg,1149582109671376.0,73,944
Neces & A3sg,1149582120255736.8,43,944
Cond & Past,1354157931804596.2,73,623
