PastPart & P3pl,4047372155138052.0,671,95
Narr & A3sg,2903298895192841.0,236,934
Past & A1sg,3923495404199763.0,440,177
Prog & A3sg,2903308155609136.5,500,934
PastPart & P1pl,3957984409904574.0,671,154
PastPart & A3pl,3759966436626348.5,671,288
PastPart & P1sg,4062659387475857.0,671,85
PastPart & Acc,3930975389456868.0,671,172
A3pl & P1sg,4062648987140999.0,288,85
A3pl & Acc,3930967326058032.0,288,172
P1sg & Acc,3930967574005535.5,85,172
Aor & A3sg,2903304176041501.5,335,934
FutPart & P3sg,3608271317133356.5,60,394
Past & A3sg,2903301740534688.0,440,934
Pass & Prog,3460951587580271.5,755,500
Pass & Cond,4128820280113194.5,755,42
Pass & A3sg,2903308422523055.0,755,934
Prog & Cond,4128823866901188.0,500,42
Cond & A3sg,2903283276918919.5,42,934
Prog & Past,3543808148568842.5,500,440
Inf & P3sg,3608280431663183.5,419,394
Prog & A1pl,3905587915108995.5,500,189
PastPart & P3sg,3608299829729256.0,671,394
Inf & P2sg,3910053581071063.0,419,186
Inf & Gen,4121093830803495.5,419,47
P2sg & Gen,4121094724992632.5,186,47
Pass & Neg,3803689490659108.0,755,258
Pass & Past,3543808605373490.0,755,440
Neg & Past,3543801332665643.5,258,440
Neg & A3sg,2903293297477749.0,258,934
Past & A1pl,3905581616548540.5,440,189
Past & A3pl,3759958133480241.0,440,288
Neg & Opt,4062656340532514.5,258,85
Opt & A3sg,2903290161002941.5,85,934
Aor & A1pl,3905578408815013.5,335,189
Fut & A3sg,2903286348193448.5,91,934
Prog & A1sg,3923492187586794.0,500,177
Neg & A1sg,3923486735527775.5,258,177
Able & Neg,3803687060980920.0,134,258
Able & Prog,3460943528986716.0,134,500
Able & A2pl,4104113892740299.5,134,58
Neg & Prog,3460944436345109.0,258,500
Neg & A2pl,4104113000109130.0,258,58
Prog & A2pl,4104117981305872.5,500,58
Neg & A1pl,3905575567232968.0,258,189
Pass & Inf,3573132051933473.5,755,419
Pass & P3sg,3608279028569521.0,755,394
Pass & Acc,3930965842298743.5,755,172
Inf & Acc,3930971295576465.5,419,172
P3sg & Acc,3930965592404026.5,394,172
