Inf & A3pl,9484634667691012.0,1504,1160
Inf & P3pl,1.2599372913683406e+16,1504,202
A3pl & P3pl,1.2599371352366184e+16,1160,202
PresPart & A3pl,9484506444276958.0,211,1160
PresPart & P2sg,1.1653706318352502e+16,211,473
A3pl & P2sg,1.1653765513176822e+16,1160,473
Inf & Loc,1.2499318503320744e+16,1504,230
PastPart & P1sg,1.3019675368565042e+16,310,86
PastPart & Acc,1.244590361196686e+16,310,245
P1sg & Acc,1.2445894131080516e+16,86,245
Prog & A3sg,1.031671814670562e+16,791,884
Fut & A3sg,1.0316656180429054e+16,101,884
Narr & A3sg,1.0316669894934238e+16,163,884
Prog & A1sg,1.1875906191428408e+16,791,408
PresPart & Dat,1.280109105508159e+16,211,146
A3pl & Dat,1.2801109715449902e+16,1160,146
Able & FutPart,1.3225916095588732e+16,64,30
Able & P1sg,1.3019660592598804e+16,64,86
Able & Acc,1.2445889279353624e+16,64,245
FutPart & P1sg,1.3019663774484266e+16,30,86
FutPart & Acc,1.244589324848512e+16,30,245
Neg & PresPart,1.2567110729579632e+16,797,211
Neg & Dat,1.280108364597877e+16,797,146
Caus & Able,1.31004300180803e+16,113,64
Caus & Neg,1.0589911164227602e+16,113,797
Caus & Prog,1.0608950442751824e+16,113,791
Caus & A1pl,1.2311354525267764e+16,113,283
Able & Neg,1.058991392678688e+16,64,797
Able & Prog,1.0608949860245834e+16,64,791
Able & A1pl,1.2311355182451178e+16,64,283
Neg & Prog,1.060895301068937e+16,797,791
Neg & A1pl,1.2311355627026648e+16,797,283
Prog & A1pl,1.2311384731695952e+16,791,283
PastPart & P3sg,1.205574059046267e+16,310,356
Aor & A3sg,1.0316683409678016e+16,337,884
A3pl & Loc,1.2499289093515386e+16,1160,230
Inf & P2sg,1.165376531012497e+16,1504,473
P2sg & Loc,1.249928024400772e+16,473,230
Inf & Gen,1.2859155638123384e+16,1504,130
P2sg & Gen,1.285915359726256e+16,473,130
Inf & P1pl,1.2946538934784374e+16,1504,106
A3pl & P1pl,1.2946533948608878e+16,1160,106
Prog & Cop,1.2848243962833042e+16,791,133
Inf & P3sg,1.2055766051673224e+16,1504,356
Inf & Acc,1.2445926771835348e+16,1504,245
P3sg & Acc,1.2445897219644848e+16,356,245
Pass & Aor,1.2121900323496322e+16,203,337
Pass & A3sg,1.031666408710118e+16,203,884
Caus & A2sg,1.3060001560358556e+16,113,75
Able & A2sg,1.3060004065318644e+16,64,75
Prog & A2sg,1.3060014094962316e+16,791,75
Aor & A3pl,9484484728406076.0,337,1160
Past & A1pl,1.2311369845340016e+16,546,283
PastPart & A3pl,9484482181747810.0,310,1160
PastPart & P2sg,1.1653708848038896e+16,310,473
A3pl & Acc,1.2445910674103628e+16,1160,245
P2sg & Acc,1.244591992693824e+16,473,245
Aor & A2sg,1.3060008851421812e+16,337,75
Prog & Past,1.1407692807041576e+16,791,546
Past & A2sg,1.3060003386969416e+16,546,75
Past & A1sg,1.187590148423286e+16,546,408
Inf & Dat,1.280111106873467e+16,1504,146
P2sg & Dat,1.2801101843833334e+16,473,146
Cond & A1pl,1.2311358903811556e+16,67,283
Narr & A3pl,9484482364106014.0,163,1160
Narr & Cop,1.2848244406063416e+16,163,133
A3pl & Cop,1.2848232478531886e+16,1160,133
Pass & Narr,1.2739616379729604e+16,203,163
Neg & Opt,1.2772154291576484e+16,797,154
Neg & A3sg,1.031668589155304e+16,797,884
Opt & A3sg,1.0316677438295686e+16,154,884
Inf & Ins,1.3052677364191526e+16,1504,77
A3pl & Ins,1.3052672350656394e+16,1160,77
P3pl & Ins,1.3052670746211084e+16,202,77
Aor & While,1.3019681960123202e+16,337,86
PastPart & P2pl,1.3188929899482822e+16,310,40
PastPart & P1pl,1.2946534165345598e+16,310,106
Pass & Able,1.310043001916013e+16,203,64
Pass & Neg,1.058990999125499e+16,203,797
Pass & Prog,1.0608954192448226e+16,203,791
Able & A3sg,1.0316653861254112e+16,64,884
Pass & Inf,8521176640553057.0,203,1504
Pass & P3sg,1.2055722901274532e+16,203,356
PastPart & P3pl,1.259933599966022e+16,310,202
Opt & A1pl,1.2311364814726126e+16,154,283
Neg & Narr,1.273960899531193e+16,797,163
Pass & PresPart,1.2567114717559184e+16,203,211
Prog & A2pl,1.3137258845878008e+16,791,54
Pass & Past,1.1407666233309314e+16,203,546
Past & A3sg,1.0316694947614358e+16,546,884
P1pl & Ins,1.30526650534284e+16,106,77
Prog & A3pl,9484489436651886.0,791,1160
Pass & Gen,1.285912767412718e+16,203,130
P3sg & Gen,1.2859132860290696e+16,356,130
Aor & Past,1.1407671430349976e+16,337,546
Past & A3pl,9484478691568818.0,546,1160
Aor & A2pl,1.3137258154579996e+16,337,54
Pass & Cop,1.284824102698237e+16,203,133
Inf & Abl,1.3174153549860958e+16,1504,44
A3pl & Abl,1.3174152399492084e+16,1160,44
P2sg & Abl,1.3174153307710516e+16,473,44
Able & Neces,1.3285243733598816e+16,64,14
Able & Cop,1.2848231339596196e+16,64,133
Neces & Cop,1.2848235845257126e+16,14,133
Opt & A1sg,1.1875873532239632e+16,154,408
Inf & P2pl,1.3188928768252884e+16,1504,40
Aor & A1sg,1.1875877373230024e+16,337,408
Inf & P1sg,1.3019664928696552e+16,1504,86
A3pl & P1sg,1.3019662423642222e+16,1160,86
P1pl & Dat,1.2801088357941068e+16,106,146
Neces & A1pl,1.2311360218082216e+16,14,283
PresPart & P1pl,1.2946526918801276e+16,211,106
PresPart & Gen,1.2859129027008214e+16,211,130
A3pl & Gen,1.2859137151589496e+16,1160,130
P1pl & Gen,1.2859131730823282e+16,106,130
Pass & PastPart,1.2216376490813422e+16,203,310
Pass & P2sg,1.1653693886200204e+16,203,473
Pass & Loc,1.2499269627059402e+16,203,230
PastPart & Loc,1.2499272945919612e+16,310,230
Neg & Past,1.1407671009416216e+16,797,546
Prog & Narr,1.2739613251951234e+16,791,163
Pass & Fut,1.2964783276554242e+16,203,101
Fut & Cop,1.2848232466242864e+16,101,133
FutPart & A3pl,9484480011130246.0,30,1160
FutPart & Past,1.1407667068361456e+16,30,546
FutPart & A3sg,1.0316652720440882e+16,30,884
A3pl & Past,1.1407664998146814e+16,1160,546
A3pl & A3sg,1.0316650583267976e+16,1160,884
Fut & A3pl,9484478900733516.0,101,1160
Fut & A1sg,1.1875872457134776e+16,101,408
PresPart & Ins,1.3052664826717962e+16,211,77
Pass & Cond,1.3089396257761494e+16,203,67
Aor & Cond,1.3089405839637222e+16,337,67
Cond & A3sg,1.031665677009519e+16,67,884
Neg & A1sg,1.1875874383319092e+16,797,408
Cond & A2sg,1.3060006798587502e+16,67,75
Cond & A1sg,1.1875872459937132e+16,67,408
FutPart & P2sg,1.1653697260775246e+16,30,473
FutPart & Dat,1.2801087458258878e+16,30,146
Caus & Pass,1.2595753228773674e+16,113,203
Caus & Inf,8521175619100704.0,113,1504
Caus & P3sg,1.2055716213189376e+16,113,356
PresPart & Past,1.140766623771553e+16,211,546
PresPart & A3sg,1.0316651943987126e+16,211,884
Neg & Inf,8521172798411576.0,797,1504
P1sg & Gen,1.285913060367977e+16,86,130
Neg & Aor,1.2121900761974246e+16,797,337
Neg & PastPart,1.2216373449452444e+16,797,310
Neg & P2sg,1.1653693047977202e+16,797,473
Neg & Acc,1.2445888404858472e+16,797,245
Neg & A3pl,9484477615807048.0,797,1160
FutPart & P3sg,1.2055718589614708e+16,30,356
Caus & FutPart,1.3225913110048772e+16,113,30
Pass & FutPart,1.3225914259524394e+16,203,30
Neg & FutPart,1.3225913117965668e+16,797,30
Neg & P3sg,1.2055714495487178e+16,797,356
Able & Past,1.1407666440653558e+16,64,546
Able & PastPart,1.2216372789792896e+16,64,310
Able & P3pl,1.259933177261492e+16,64,202
Aor & A1pl,1.2311360876710724e+16,337,283
Caus & Fut,1.2964781462352134e+16,113,101
Caus & A3sg,1.0316653464707414e+16,113,884
FutPart & P3pl,1.25993339962626e+16,30,202
Able & Inf,8521174319852984.0,64,1504
Able & A3pl,9484477989457340.0,64,1160
Able & P2sg,1.1653693675095168e+16,64,473
Able & Dat,1.2801084536873196e+16,64,146
PastPart & Abl,1.3174151702185432e+16,310,44
Caus & Narr,1.2739606747832028e+16,113,163
Caus & PresPart,1.2567110499911446e+16,113,211
P1pl & Acc,1.244589523350467e+16,106,245
PresPart & Abl,1.317415078469918e+16,211,44
Caus & Aor,1.2121895125637676e+16,113,337
Caus & A2pl,1.31372522066482e+16,113,54
Able & Aor,1.2121898157697908e+16,64,337
Able & A2pl,1.313725403553977e+16,64,54
Neg & A2pl,1.3137252900502086e+16,797,54
Caus & AfterDoingSo,1.3248141160844378e+16,113,24
P3sg & Dat,1.2801089034535496e+16,356,146
Inf & Cop,1.2848235411995556e+16,1504,133
Narr & A1pl,1.2311357810945098e+16,163,283
A3pl & P2pl,1.3188926241506778e+16,1160,40
P2pl & Loc,1.2499273828240266e+16,40,230
Narr & A1sg,1.1875870540352386e+16,163,408
Fut & A1pl,1.2311360434232414e+16,101,283
P2pl & Acc,1.2445893469691046e+16,40,245
Caus & Past,1.140766602183045e+16,113,546
Caus & A1sg,1.1875867332346666e+16,113,408
Caus & PastPart,1.2216372353515106e+16,113,310
Caus & P3pl,1.2599330216374168e+16,113,202
Neg & Ins,1.30526600521842e+16,797,77
Inf & Past,1.140766541962102e+16,1504,546
Inf & A3sg,1.0316651177696038e+16,1504,884
Neg & When,1.3318692654458292e+16,797,5
Prog & Cond,1.3089400370714946e+16,791,67
Cond & A2pl,1.3137257008245788e+16,67,54
Able & PresPart,1.2567109612549064e+16,64,211
FutPart & P2pl,1.3188927145446828e+16,30,40
Caus & Opt,1.277212825878913e+16,113,154
P1pl & Loc,1.2499273607467726e+16,106,230
A2pl & Cop,1.2848234268600242e+16,54,133
Able & P3sg,1.2055716430272028e+16,64,356
Narr & Cond,1.3089398766737356e+16,163,67
Pass & Neces,1.3285243735017448e+16,203,14
P3pl & Cop,1.2848235171334652e+16,202,133
P3sg & Loc,1.2499276262739106e+16,356,230
P1sg & Dat,1.2801087683633518e+16,86,146
PastPart & Gen,1.2859130155144368e+16,310,130
PastPart & Cop,1.2848232919516896e+16,310,133
P3sg & Cop,1.284823359580563e+16,356,133
Narr & Past,1.1407669559120244e+16,163,546
Inf & While,1.3019660383284806e+16,1504,86
Loc & While,1.30196621856688e+16,230,86
Able & A1sg,1.1875869041804802e+16,64,408
Caus & Acc,1.2445887515338192e+16,113,245
Pass & Acc,1.2445888619173842e+16,203,245
Fut & A2pl,1.3137253807250068e+16,101,54
Caus & A3pl,9484477608733322.0,113,1160
Able & P2pl,1.3188924165261866e+16,64,40
Fut & A2sg,1.3060004065680998e+16,101,75
Cond & Past,1.1407667691201658e+16,67,546
Caus & Gen,1.2859126320608706e+16,113,130
Caus & Cop,1.2848230213433596e+16,113,133
P3sg & Ins,1.3052665056070722e+16,356,77
A3pl & Cond,1.3089394672665626e+16,1160,67
Neg & While,1.301965855531968e+16,797,86
P1sg & Abl,1.3174151012561556e+16,86,44
Neg & Cond,1.3089395124090352e+16,797,67
Fut & Past,1.1407665818490286e+16,101,546
Past & A2pl,1.3137251982659276e+16,546,54
Inf & A1sg,1.1875868419154212e+16,1504,408
P3sg & A1sg,1.187587011521375e+16,356,408
Past & Cond,1.3089392839944212e+16,546,67
Caus & P1pl,1.294652284167153e+16,113,106
