Imp__A2sg,1199
Past__A1sg,287
Prog1__Past,114
Prog1__A3sg,279
Past__A3sg,303
PastPart→Adj__P1pl,42
Opt__A1pl,319
Imp__A2pl,354
Neces__A3sg,9
PastPart→Noun__A3sg,303
PastPart→Noun__P1pl,76
PastPart→Noun__Loc,230
A3sg__P1pl,80
A3sg__Loc,231
P1pl__Loc,75
Past__A2pl,18
Pass→Verb__Fut,15
Pass→Verb__A3sg,183
Fut__A3sg,46
Inf2→Noun__A3sg,153
Pass→Verb__PastPart→Noun,104
Pass→Verb__P2sg,55
Pass→Verb__Loc,103
PastPart→Noun__P2sg,72
A3sg__P2sg,74
P2sg__Loc,61
Prog1__A2sg,60
Inf2→Noun__Abl,19
A3sg__Abl,35
Aor__A1sg,44
Past__A3pl,41
Aor__Cond,78
Aor__A2sg,21
Cond__A2sg,9
Prog1__A1sg,148
PastPart→Noun__P1sg,50
A3sg__P1sg,56
Neg__Imp,44
Neg__A2sg,17
Neg__Aor,33
Neg__A1pl,6
Aor__A1pl,57
Neg__Fut,12
Neg__A3sg,82
Aor__Narr,5
Aor__A3sg,156
Narr__A3sg,56
Inf1→Noun__A3sg,104
Fut__A1pl,18
Aor__While→Adv,50
Neg__Past,52
Neg__A1sg,44
Opt__A3sg,23
Aor__Past,22
Past__A1pl,47
Inf2→Noun__P3sg,27
Inf2→Noun__Acc,16
A3sg__P3sg,98
A3sg__Acc,39
P3sg__Acc,15
Pass→Verb__PresPart→Adj,6
Caus→Verb__Opt,1
Caus→Verb__A1pl,2
Neg__FutPart→Noun,1
Neg__A3pl,14
Neg__P2sg,3
Neg__Acc,6
FutPart→Noun__A3pl,1
FutPart→Noun__P2sg,1
FutPart→Noun__Acc,4
A3pl__P2sg,7
A3pl__Acc,10
P2sg__Acc,9
PastPart→Noun__A3pl,11
PastPart→Noun__Acc,29
P1sg__Loc,30
PastPart→Noun__P3sg,73
PastPart→Noun__Abl,8
P3sg__Abl,7
Pass→Verb__P3sg,64
P3sg__Loc,52
Neg__Inf2→Noun,10
Neg__P1pl,3
Inf2→Noun__P1pl,4
Opt__A1sg,47
Pass→Verb__When→Adv,5
Prog1__A3pl,44
Inf2→Noun__Gen,2
A3sg__Gen,2
Narr__Cop,6
A3sg__Cop,13
Neg__Prog1,42
Cond__A1pl,18
Able→Verb__Inf1→Noun,6
Able→Verb__A3sg,20
Unable__PastPart→Adj,1
Unable__P3sg,1
PastPart→Adj__P3sg,19
Inf2→Noun__Dat,48
A3sg__Dat,49
Aor__A3pl,13
Prog1__A2pl,24
Pass→Verb__Prog1,8
Unable__Past,5
Unable__A1sg,8
Narr__A3pl,6
Desr__A2sg,6
PastPart→Noun__P2pl,28
A3sg__P2pl,30
Pass→Verb__PastPart→Adj,10
P3sg__Dat,8
EverSince→Verb__PastPart→Noun,1
EverSince→Verb__A3sg,1
EverSince→Verb__P3sg,1
EverSince→Verb__Abl,1
Caus→Verb__PastPart→Noun,1
Caus→Verb__A3sg,4
Caus→Verb__P2pl,1
Caus→Verb__Loc,1
P2pl__Loc,12
Neg__P3sg,6
Neg__A2pl,39
Neces__A2pl,2
A3pl__Past,14
Pass→Verb__Aor,38
Inf2→Noun__A3pl,9
Inf2→Noun__P2sg,7
A3pl__Dat,3
P2sg__Dat,3
Able→Verb__Fut,1
Aor__A2pl,32
Cond__A2pl,21
Prog1__A1pl,39
Neg__PastPart→Noun,6
Inf1→Noun__Abl,11
Caus→Verb__Fut,1
Prog2__A3sg,7
Prog2__Cop,5
Narr__Past,21
Narr__A1sg,8
Able→Verb__Aor,21
Able→Verb__A2sg,3
Past__A2sg,16
Pass→Verb__Cond,26
Cond__A3sg,36
PastPart→Adj__P1sg,4
Pass→Verb__Cop,5
Fut__Cop,2
