Caus→Verb__Neg,3
Caus→Verb__Imp,3
Caus→Verb__A2sg,2
Neg__Imp,29
Neg__A2sg,14
Imp__A2sg,230
Past__A3sg,381
Aor__Cond,39
Aor__A3sg,192
Cond__A3sg,20
Pass→Verb__PresPart→Adj,40
Inf2→Noun__A3sg,248
PastPart→Adj__P3sg,41
Past__A2sg,30
Prog1__A1sg,61
Imp__A2pl,178
Inf1→Noun__A3sg,152
Pass→Verb__Narr,80
Pass→Verb__A3sg,329
Pass→Verb__Cop,41
Narr__A3sg,266
Narr__Cop,71
A3sg__Cop,107
Neg__PresPart→Adj,23
Prog1__A1pl,16
Prog1__A3sg,141
Prog1__A3pl,22
Prog1__Past,38
A3pl__Past,17
Past__A3pl,38
Aor__A1sg,37
Cond__A1sg,2
Fut__A3sg,59
Fut__Cop,6
Past__A2pl,23
Neg__Opt,6
Neg__A1sg,22
Opt__A1sg,20
Inf2→Noun__Dat,35
A3sg__Dat,45
Past__A1sg,126
Able→Verb__Aor,23
Able→Verb__A3sg,33
Pass→Verb__Inf2→Noun,83
Pass→Verb__P3sg,94
Inf2→Noun__P3sg,125
A3sg__P3sg,192
Neg__Past,92
Neg__A3pl,23
Opt__A3sg,3
Unable__Prog1,12
Unable__Cond,1
Unable__A3sg,13
Prog1__Cond,3
Inf2→Noun__Acc,40
A3sg__Acc,130
PastPart→Noun__A3sg,182
PastPart→Noun__P1pl,14
A3sg__P1pl,17
Caus→Verb__Past,3
Caus→Verb__A3sg,11
Unable__Past,13
Unable__A1pl,2
Past__A1pl,42
Neg__A3sg,218
Imp__A3sg,27
PastPart→Noun__Acc,84
Narr__Past,76
Narr__A3pl,22
A3pl__Cop,8
Pass→Verb__Past,64
Pass→Verb__PastPart→Noun,26
Pass→Verb__Acc,34
Pass→Verb__Aor,56
Pass→Verb__Cond,14
Unable__FutPart→Adj,2
Unable__P3sg,2
FutPart→Adj__P3sg,7
Fut__A1pl,15
Neg__Prog1,49
Neg__A2pl,23
Prog1__A2pl,6
Inf2→Noun__A3pl,5
Inf2→Noun__P3pl,4
A3pl__P3pl,8
A3pl__Acc,8
P3pl__Acc,5
Neg__Inf1→Noun,27
Pass→Verb__AsLongAs→Adv,1
Aor__A1pl,24
Cond__A1pl,11
PastPart→Noun__P3sg,72
Desr__A1pl,6
Opt__A1pl,52
PastPart→Noun__Abl,18
A3sg__Abl,37
Neg__Aor,57
Aor__Past,33
Inf1→Noun__Ins,5
A3sg__Ins,17
FutPart→Noun__A3sg,25
FutPart→Noun__P1sg,2
FutPart→Noun__Acc,14
A3sg__P1sg,21
P1sg__Acc,7
Pass→Verb__AfterDoingSo→Adv,5
P3sg__Acc,43
Pass→Verb__Neces,14
Neces__A3sg,22
FutPart→Noun__P3sg,10
FutPart→Noun__Abl,1
P3sg__Abl,9
Desr__A2sg,10
Fut__Past,21
Pass→Verb__Unable,4
Pass→Verb__Fut,22
Unable__Fut,1
Pass→Verb__FutPart→Noun,5
Pass→Verb__P1sg,2
Unable__Aor,19
Unable__A1sg,17
PastPart→Noun__P1sg,16
PastPart→Noun__Loc,13
A3sg__Loc,25
P1sg__Loc,3
PastPart→Adj__P1sg,13
Inf2→Noun__Abl,18
Pass→Verb__Neg,25
Neg__Narr,31
Aor__A3pl,19
Inf1→Noun__Loc,8
Pass→Verb__P1pl,2
Inf2→Noun__P1pl,2
P1pl__Acc,5
Prog2__A3sg,19
Prog2__Cop,21
Fut__A2sg,9
PastPart→Noun__P2sg,25
A3sg__P2sg,36
P2sg__Acc,18
Narr__A1sg,22
Fut__Cond,3
Fut__A2pl,4
Desr__A3pl,7
Pass→Verb__A1pl,4
Pass→Verb__ByDoingSo→Adv,6
PastPart→Noun__P2pl,8
A3sg__P2pl,10
Pass→Verb__Abl,7
Pass→Verb__When→Adv,1
P2sg__Loc,7
Neg__Cond,3
Cond__A2pl,7
Neg__Inf2→Noun,15
Neg__P3pl,2
Caus→Verb__Able→Verb,2
Caus→Verb__Narr,3
Able→Verb__Narr,2
Able→Verb__Past,6
Pass→Verb__Loc,7
Inf2→Noun__Loc,4
P3sg__Loc,4
FutPart→Noun__P2pl,2
P2pl__Acc,1
Neces__Cop,13
Desr__A1sg,5
Neg__A1pl,21
Aor__A2pl,11
PastPart→Adj__P3pl,6
Able→Verb__FutPart→Noun,5
Able→Verb__Acc,4
Inf2→Noun__Gen,23
A3sg__Gen,24
P3sg__Dat,13
Inf2→Noun__Ins,12
P3sg__Ins,12
PastPart→Adj__P2sg,2
Inf2→Noun__P2sg,10
P2sg__Gen,6
Fut__A1sg,30
Neg__Neces,9
Neces__A1pl,4
Desr__A3sg,8
Prog1__A2sg,16
Neg__Desr,4
Desr__Past,3
Neg__Prog2,3
Neg__Cop,16
P2pl__Loc,2
Pass→Verb__Dat,4
Pass→Verb__A3pl,20
A3pl__P3sg,15
Pass→Verb__PresPart→Noun,3
Pass→Verb__Gen,12
PresPart→Noun__A3pl,8
PresPart→Noun__Gen,2
A3pl__Gen,3
PastPart→Noun__A3pl,20
PastPart→Noun__P3pl,13
Narr__A2sg,9
Neg__Fut,20
A3pl__Cond,2
Neg__PastPart→Adj,3
Neg__P3sg,19
Pass→Verb__P2sg,12
A3pl__P2sg,5
PresPart→Noun__P2sg,2
Pass→Verb__P3pl,5
A3sg__P3pl,13
Pass→Verb__PastPart→Adj,6
Neg__Acc,13
Prog1__Narr,4
Pass→Verb__Ins,5
PresPart→Noun__A3sg,2
PresPart→Noun__Dat,2
Narr__A1pl,5
Neg__PastPart→Noun,9
Neg__P2pl,2
PastPart→Adj__P1pl,9
Aor__AsIf→Adv,1
A3sg__AsIf→Adv,1
Neg__P2sg,6
A3pl__Dat,1
P2sg__Dat,1
Inf1→Noun__Zero→Verb,6
Inf1→Noun__Pres,4
Inf1→Noun__Cop,4
A3sg__Zero→Verb,7
A3sg__Pres,5
A3sg__A3sg,7
Loc__Zero→Verb,1
Loc__Pres,1
Loc__A3sg,1
Loc__Cop,1
Zero→Verb__Pres,5
Zero→Verb__A3sg,7
Zero→Verb__Cop,5
Pres__A3sg,5
Pres__Cop,5
Neg__ByDoingSo→Adv,1
Pass→Verb__Prog2,8
P3sg__Gen,14
Pass→Verb__Able→Verb,7
Neg__AfterDoingSo→Adv,2
Aor__While→Adv,12
Aor__Narr,1
Pass→Verb__Opt,1
Neg__FutPart→Adj,2
Caus→Verb__Opt,1
Able→Verb__A2pl,2
Neg__P1sg,1
Inf2→Noun__P1sg,3
Neces__A3pl,2
