Prog1__A3sg,620
Inf1→Noun__A3sg,452
Neg__Aor,30
Neg__A3pl,14
Aor__A3pl,3
PastPart→Adj__P1sg,39
Past__A3pl,69
Past__A1sg,645
Neg__A1sg,45
Aor__A1sg,24
Past__A3sg,1177
Neg__Fut,10
Neg__A3sg,62
Fut__A3sg,61
PastPart→Noun__A3sg,162
PastPart→Noun__P2pl,15
A3sg__P2pl,15
Aor__A3sg,195
Past__A1pl,69
Pass→Verb__PastPart→Noun,11
Pass→Verb__A3sg,159
Pass→Verb__P2sg,5
Pass→Verb__Loc,6
PastPart→Noun__P2sg,23
PastPart→Noun__Loc,20
A3sg__P2sg,28
A3sg__Loc,21
P2sg__Loc,6
Able→Verb__FutPart→Adj,6
Able→Verb__P3sg,2
FutPart→Adj__P3sg,3
Able→Verb__FutPart→Noun,2
Able→Verb__A3sg,51
Able→Verb__P1pl,6
FutPart→Noun__A3sg,13
FutPart→Noun__P1pl,2
A3sg__P1pl,32
Aor__While→Adv,108
Pass→Verb__Imp,18
Pass→Verb__A2sg,18
Imp__A2sg,18
PastPart→Noun__P3sg,55
A3sg__P3sg,74
Inf2→Noun__A3sg,71
Inf2→Noun__Dat,22
A3sg__Dat,36
Prog1__A3pl,94
Narr__Past,62
Narr__A1sg,15
Opt__A1pl,65
Prog1__A2sg,67
Narr__A3sg,207
PastPart→Adj__P3sg,12
PastPart→Noun__P1pl,32
Prog1__A1sg,209
Neg__Desr,7
Desr__A3sg,17
Aor__Cond,28
Aor__A2sg,11
Cond__A2sg,9
Pass→Verb__Prog1,15
Pass→Verb__Past,32
Prog1__Past,115
Desr__A1sg,16
Prog1__A2pl,24
Neg__Past,47
Inf1→Noun__Zero→Verb,84
Inf1→Noun__Pres,76
Inf1→Noun__Cop,76
A3sg__Zero→Verb,87
A3sg__Pres,76
A3sg__A3sg,87
A3sg__Cop,192
Zero→Verb__Pres,76
Zero→Verb__A3sg,87
Zero→Verb__Cop,76
Pres__A3sg,76
Pres__Cop,76
Aor__AsIf→Adv,7
A3sg__AsIf→Adv,7
P3sg__Loc,6
Past__A2pl,19
Fut__Past,22
Fut__A2sg,17
Past__A2sg,49
Narr__A3pl,34
Pass→Verb__Aor,76
PastPart→Adj__P1pl,29
Fut__A1sg,30
Pass→Verb__Able→Verb,20
Able→Verb__Aor,68
Imp__A3sg,9
Aor__Past,19
Neg__Prog1,30
PastPart→Adj__P2pl,8
Narr__Cop,20
Pass→Verb__PresPart→Adj,57
Pass→Verb__Neg,11
Pass→Verb__Fut,19
Aor__A1pl,39
Able→Verb__A2pl,4
Aor__A2pl,19
Neg__Narr,15
A3pl__Past,13
