"('Recip→Verb', 'Inf1→Noun')",392
"('Recip→Verb', 'A3sg')",1568
"('Recip→Verb', 'Ins')",14
"('Inf1→Noun', 'A3sg')",405
"('Inf1→Noun', 'Ins')",8
"('A3sg', 'Ins')",12
"('Recip→Verb', 'Neces')",32
"('Neces', 'A3sg')",23
"('Recip→Verb', 'Fut')",105
"('Recip→Verb', 'A1sg')",124
"('Fut', 'A1sg')",19
"('Recip→Verb', 'A1pl')",133
"('Fut', 'A1pl')",12
"('Recip→Verb', 'Inf2→Noun')",351
"('Recip→Verb', 'Acc')",215
"('Inf2→Noun', 'A3sg')",338
"('Inf2→Noun', 'Acc')",105
"('A3sg', 'Acc')",190
"('Recip→Verb', 'P3sg')",356
"('Inf2→Noun', 'P3sg')",184
"('A3sg', 'P3sg')",262
"('P3sg', 'Acc')",60
"('Recip→Verb', 'Neg')",266
"('Recip→Verb', 'Imp')",120
"('Recip→Verb', 'A2sg')",96
"('Neg', 'Imp')",74
"('Neg', 'A2sg')",73
"('Imp', 'A2sg')",78
"('Recip→Verb', 'PresPart→Adj')",223
"('Recip→Verb', 'P2sg')",62
"('Recip→Verb', 'Gen')",51
"('Inf2→Noun', 'P2sg')",21
"('Inf2→Noun', 'Gen')",37
"('A3sg', 'P2sg')",52
"('A3sg', 'Gen')",47
"('P2sg', 'Gen')",20
"('Recip→Verb', 'Abl')",60
"('Inf1→Noun', 'Abl')",32
"('A3sg', 'Abl')",56
"('Recip→Verb', 'Unable')",64
"('Recip→Verb', 'Prog1')",258
"('Recip→Verb', 'A2pl')",58
"('Unable', 'Prog1')",16
"('Unable', 'A2pl')",1
"('Prog1', 'A2pl')",11
"('Recip→Verb', 'Caus→Verb')",96
"('Recip→Verb', 'Able→Verb')",100
"('Recip→Verb', 'Aor')",198
"('Caus→Verb', 'Able→Verb')",3
"('Caus→Verb', 'Aor')",4
"('Caus→Verb', 'A3sg')",70
"('Able→Verb', 'Aor')",32
"('Able→Verb', 'A3sg')",62
"('Aor', 'A3sg')",99
"('Recip→Verb', 'Pass→Verb')",435
"('Pass→Verb', 'Fut')",19
"('Pass→Verb', 'A3sg')",337
"('Fut', 'A3sg')",61
"('Recip→Verb', 'Past')",255
"('Past', 'A1sg')",34
"('Imp', 'A2pl')",29
"('Recip→Verb', 'Narr')",104
"('Neg', 'Narr')",7
"('Neg', 'A3sg')",138
"('Narr', 'A3sg')",74
"('Recip→Verb', 'PastPart→Adj')",123
"('PastPart→Adj', 'P3sg')",62
"('Pass→Verb', 'PresPart→Adj')",68
"('Pass→Verb', 'Inf2→Noun')",133
"('Pass→Verb', 'P3sg')",174
"('Recip→Verb', 'P1pl')",67
"('PastPart→Adj', 'P1pl')",23
"('Recip→Verb', 'Opt')",104
"('Opt', 'A1pl')",25
"('Caus→Verb', 'Pass→Verb')",52
"('Caus→Verb', 'Neg')",10
"('Caus→Verb', 'Prog1')",10
"('Pass→Verb', 'Neg')",32
"('Pass→Verb', 'Prog1')",20
"('Neg', 'Prog1')",19
"('Prog1', 'A3sg')",131
"('Recip→Verb', 'NarrPart→Adj')",11
"('Prog1', 'A1sg')",40
"('Recip→Verb', 'A3pl')",215
"('Able→Verb', 'A3pl')",14
"('Aor', 'A3pl')",26
"('Recip→Verb', 'PastPart→Noun')",254
"('PastPart→Noun', 'A3sg')",214
"('PastPart→Noun', 'P3sg')",83
"('PastPart→Noun', 'Acc')",85
"('Recip→Verb', 'FutPart→Noun')",58
"('Caus→Verb', 'FutPart→Noun')",3
"('Caus→Verb', 'P3sg')",26
"('Caus→Verb', 'Acc')",10
"('Pass→Verb', 'FutPart→Noun')",13
"('Pass→Verb', 'Acc')",46
"('FutPart→Noun', 'A3sg')",44
"('FutPart→Noun', 'P3sg')",21
"('FutPart→Noun', 'Acc')",25
"('Pass→Verb', 'Past')",24
"('Past', 'A3sg')",123
"('Pass→Verb', 'PastPart→Noun')",38
"('Narr', 'Past')",26
"('Narr', 'A1pl')",6
"('Past', 'A1pl')",41
"('Recip→Verb', 'Prog2')",43
"('Recip→Verb', 'Cop')",96
"('Prog2', 'Cop')",31
"('Prog2', 'A3pl')",9
"('Cop', 'A3pl')",11
"('Pass→Verb', 'Inf1→Noun')",3
"('Recip→Verb', 'Loc')",16
"('Pass→Verb', 'Loc')",5
"('Inf2→Noun', 'Loc')",9
