Inf1→Noun__A3sg,791
Pass→Verb__Inf2→Noun,520
Pass→Verb__A3sg,951
Pass→Verb__P3sg,544
Inf2→Noun__A3sg,744
Inf2→Noun__P3sg,548
A3sg__P3sg,586
Pass→Verb__Dat,59
Inf2→Noun__Dat,156
A3sg__Dat,160
P3sg__Dat,65
Unable__FutPart→Noun,9
Unable__A3sg,105
Unable__Acc,12
FutPart→Noun__A3sg,43
FutPart→Noun__Acc,30
A3sg__Acc,113
Prog1__A3sg,64
Unable__Narr,21
Unable__A3pl,9
Narr__A3pl,8
Inf2→Noun__P2sg,17
Inf2→Noun__Gen,45
A3sg__P2sg,40
A3sg__Gen,48
P2sg__Gen,17
Aor__A3pl,14
Pass→Verb__Neces,37
Pass→Verb__Cop,94
Neces__A3sg,41
Neces__Cop,33
A3sg__Cop,223
Pass→Verb__Able→Verb,139
Pass→Verb__Fut,48
Able→Verb__Fut,28
Able→Verb__A3sg,199
Fut__A3sg,97
Fut__A1sg,1
Pass→Verb__Loc,39
Inf2→Noun__Loc,69
A3sg__Loc,79
P3sg__Loc,39
Pass→Verb__Abl,8
Inf2→Noun__Abl,6
A3sg__Abl,16
P3sg__Abl,9
Able→Verb__Inf1→Noun,20
Inf1→Noun__Zero→Verb,39
Inf1→Noun__Narr,2
A3sg__Zero→Verb,51
A3sg__Narr,2
A3sg__A3sg,51
Zero→Verb__Narr,2
Zero→Verb__A3sg,51
Narr__A3sg,136
Pass→Verb__Narr,82
Able→Verb__Narr,7
Able→Verb__Cop,17
Narr__Cop,43
Pass→Verb__Unable,80
Pass→Verb__Prog1,15
Pass→Verb__Past,42
Unable__Prog1,12
Unable__Past,22
Prog1__Past,21
Past__A3sg,112
Pass→Verb__ByDoingSo→Adv,5
Inf2→Noun__Acc,53
Prog2__A3sg,48
Prog2__Cop,47
Pass→Verb__Acc,55
P3sg__Acc,42
Unable__P1pl,1
FutPart→Noun__P1pl,1
A3sg__P1pl,5
Able→Verb__Prog1,4
Able→Verb__A1pl,6
Prog1__A1pl,6
Aor__A2sg,2
Unable__Inf2→Noun,7
Unable__P3sg,19
Pass→Verb__Aor,151
Able→Verb__Aor,109
Aor__A3sg,181
Inf1→Noun__Abl,3
Inf2→Noun__P2pl,1
A3sg__P2pl,1
Pass→Verb__PastPart→Noun,19
PastPart→Noun__A3sg,54
PastPart→Noun__Acc,36
Able→Verb__A3pl,6
A3pl__Cop,4
Inf1→Noun__Pres,29
Inf1→Noun__Cop,29
A3sg__Pres,38
Zero→Verb__Pres,38
Zero→Verb__Cop,38
Pres__A3sg,38
Pres__Cop,38
Unable__Aor,44
Inf1→Noun__Past,8
A3sg__Past,11
Zero→Verb__Past,11
Pass→Verb__FutPart→Adj,4
Unable__FutPart→Adj,1
FutPart→Adj__P3sg,11
Pass→Verb__PresPart→Adj,22
Unable__PresPart→Adj,19
Able→Verb__Past,17
Aor__Past,15
Unable__Fut,4
Pass→Verb__FutPart→Noun,22
Pass→Verb__P2sg,11
Able→Verb__FutPart→Noun,18
Able→Verb__P2sg,5
Able→Verb__Acc,14
FutPart→Noun__P2sg,12
P2sg__Acc,18
Pass→Verb__Neg,23
Pass→Verb__Opt,9
Neg__Opt,9
Neg__A3sg,35
Opt__A3sg,9
Inf2→Noun__A3pl,4
PresPart→Noun__A3pl,3
Fut__Cop,29
Pass→Verb__Ins,6
Inf2→Noun__Ins,6
A3sg__Ins,12
P3sg__Ins,6
PastPart→Adj__P3sg,18
Unable__PresPart→Noun,1
Unable__Cop,9
Pass→Verb__Zero→Verb,10
Pass→Verb__Pres,8
Inf2→Noun__Zero→Verb,12
Inf2→Noun__Pres,9
Inf2→Noun__Cop,9
P3sg__Zero→Verb,12
P3sg__Pres,9
P3sg__A3sg,12
P3sg__Cop,9
Unable__PastPart→Noun,12
Unable__Abl,1
PastPart→Noun__P3sg,20
PastPart→Noun__Abl,5
Neg__Aor,12
Aor__A1pl,14
Past__A1pl,9
Pass→Verb__Cond,4
Past__Cond,1
Cond__A3sg,4
PastPart→Adj__P1pl,1
Pass→Verb__Prog2,16
Pass→Verb__Imp,5
Pass→Verb__A2sg,2
Neg__Imp,2
Neg__A2sg,2
Imp__A2sg,2
Past__A3pl,4
Imp__A3sg,4
Pass→Verb__Gen,13
Able→Verb__Inf2→Noun,19
Able→Verb__P3sg,29
Able→Verb__Gen,2
P3sg__Gen,15
Fut__Past,8
Unable__A1pl,4
Narr__Past,19
A3pl__Past,9
Able→Verb__Prog2,4
Inf2→Noun__P1pl,4
Pass→Verb__While→Adv,2
Aor__While→Adv,5
FutPart→Noun__P3sg,19
Able→Verb__PresPart→Adj,2
Pass→Verb__PastPart→Adj,5
Prog1__A3pl,7
Able→Verb__Loc,3
Inf2→Noun__P3pl,2
A3sg__P3pl,2
Inf1→Noun__Loc,10
Imp__A2pl,5
Aor__Cond,4
Cond__A1pl,2
Able→Verb__Dat,2
FutPart→Noun__Dat,4
Unable__A1sg,3
Aor__A1sg,3
Neces__A1pl,2
Loc__Zero→Verb,1
Loc__Pres,1
Loc__A3sg,1
Loc__Cop,1
Unable__Prog2,4
Unable__P2sg,5
Neg__PresPart→Noun,1
Neg__A3pl,1
PastPart→Noun__P2sg,11
Unable__PastPart→Adj,5
Unable__P1sg,3
PastPart→Adj__P1sg,2
A3pl__Acc,6
FutPart→Noun__Gen,1
Neg__Prog1,4
Unable__When→Adv,2
Inf1→Noun__Ins,6
Prog1__A1sg,2
Opt__A1pl,7
Inf2→Noun__Past,3
P3sg__Past,3
Able→Verb__FutPart→Adj,5
Neg__Narr,2
Neg__Cop,3
Neces__Past,2
Neces__A1sg,2
Past__A1sg,7
Pass→Verb__Inf1→Noun,5
FutPart→Noun__Abl,2
Fut__A1pl,7
Prog1__A2pl,6
P2sg__Abl,3
Fut__A2pl,1
Desr__A3sg,4
Pass→Verb__Rel→Adj,1
Inf2→Noun__Rel→Adj,1
A3sg__Rel→Adj,1
P3sg__Rel→Adj,1
Loc__Rel→Adj,1
PastPart→Noun__A3pl,3
A3pl__P3sg,2
Neg__Fut,1
Unable__Dat,2
Unable__Cond,1
Unable__A2pl,1
Prog1__Cond,2
Cond__A2pl,1
Narr__A1sg,1
FutPart→Noun__P3pl,2
P3pl__Acc,3
Neg__Neces,1
Pass→Verb__AorPart→Adj,3
Unable__AorPart→Adj,3
Neg__PresPart→Adj,2
Neg__Inf2→Noun,2
Neg__P3sg,3
Neg__Gen,1
Pass→Verb__AfterDoingSo→Adv,4
Pass→Verb__When→Adv,1
P2sg__Dat,2
PresPart→Noun__A3sg,1
PresPart→Noun__P3sg,1
Able→Verb__Zero→Verb,2
Aor__A2pl,4
Unable__A2sg,1
Fut__A2sg,2
Fut__A3pl,1
Able→Verb__A2pl,2
Able→Verb__Pres,1
PastPart→Noun__P1sg,1
A3sg__P1sg,1
Able→Verb__P3pl,2
FutPart→Noun__A3pl,1
A3pl__P3pl,2
PastPart→Noun__Gen,2
Aor__Narr,1
Pass→Verb__A3pl,1
Neces__A3pl,1
Cop__A3pl,1
Neg__FutPart→Noun,1
Neg__Acc,1
FutPart→Adj__P3pl,1
Able→Verb__A1sg,1
Unable__Gen,1
Able→Verb__Cond,1
Pass→Verb__Desr,2
Able→Verb__Desr,1
Unable__Inf1→Noun,1
Neg__PastPart→Noun,1
Neg__Past,3
Neg__A1pl,1
Neg__Desr,2
Desr__Narr,1
Desr__Past,1
