Past & A3sg,6724
Aor & A3sg,4385
Narr & Cop,1283
Narr & A3pl,397
A3pl & Cop,184
FutPart & P2sg,433
Fut & A1sg,264
Narr & A3sg,3563
Fut & A3sg,1922
Past & A3pl,519
Narr & Past,873
Neg & Past,1106
Neg & A3sg,3685
Cond & A3sg,793
PastPart & P2pl,262
Neg & Aor,955
Inf & P3sg,4602
Neg & PresPart,332
PastPart & P3sg,3028
PastPart & P2sg,1693
PastPart & Acc,1143
P2sg & Acc,1458
Opt & A1pl,935
Prog & Cop,795
Prog & A3sg,4870
Neg & Inf,386
Neg & Hastily,1
Hastily & Aor,12
Hastily & A3sg,20
Past & Cond,39
PastPart & Dat,150
P2sg & Dat,328
Able & Neg,1354
Able & Aor,1359
Able & A3sg,1534
Aor & Past,513
Neg & FutPart,131
Neg & P2sg,221
Neg & Dat,70
FutPart & Dat,116
Neg & Narr,417
PastPart & Abl,366
P2sg & Abl,153
Past & A1sg,2483
Able & FutPart,338
Able & P2sg,157
Able & Acc,137
FutPart & Acc,353
Neg & Fut,223
Neg & AfterDoingSo,20
Neg & Prog,842
Able & Prog,427
Aor & Cond,709
Neces & Past,33
Neces & A3sg,242
Neces & Cop,242
Inf & Cop,396
P3sg & Cop,132
Neg & PastPart,468
Neg & Acc,171
PresPart & A3pl,704
PresPart & Dat,120
A3pl & Dat,341
PastPart & Gen,81
P2sg & Gen,607
Neg & Cop,199
Fut & Cop,423
PastPart & P1sg,670
P1sg & Acc,162
Inf & Gen,759
P3sg & Gen,190
PresPart & P2sg,242
Prog & A1sg,1414
Able & Past,409
Able & A1pl,228
Aor & A1pl,476
Past & A1pl,1172
Neg & When,23
Inf & Dat,727
P3sg & Dat,451
Inf & P1pl,275
Fut & Past,200
Neg & Abl,39
Able & Inf,419
PastPart & P3pl,471
Neg & P1pl,42
PastPart & P1pl,824
Able & PresPart,156
Aor & A1sg,646
Inf & Ins,366
Neg & P3sg,441
Inf & Acc,1446
Cond & A1sg,190
Neg & Desr,86
Neg & A1sg,721
Desr & Past,47
Desr & A1sg,38
Past & A2sg,382
Narr & A1sg,166
Inf & A3pl,1967
Inf & P1sg,126
A3pl & P1sg,75
Inf & Abl,204
P3sg & Abl,112
Desr & A3sg,81
Able & PastPart,180
Able & P3sg,392
Able & By,4
PastPart & By,6
P3sg & By,6
PastPart & A3pl,336
A3pl & P2sg,1090
A3pl & Gen,111
Cond & Past,88
Past & A2pl,262
Neg & A2sg,167
Neg & Opt,1576
Opt & A3sg,1588
Prog & A2sg,429
Prog & Past,1014
Prog & A2pl,205
P3sg & Acc,592
A3pl & Acc,421
Able & A2sg,103
Aor & A2sg,270
P1pl & Acc,116
FutPart & P3sg,442
Neg & A1pl,293
FutPart & Abl,27
Pass & Able,828
Pass & Neg,905
Pass & Aor,1066
Pass & Past,737
Pass & A3sg,3350
Prog & A3pl,467
Aor & A3pl,526
Pass & Inf,2565
Pass & P3sg,2898
PresPart & P3pl,59
A3pl & P3pl,562
Aor & A2pl,264
Inf & P2sg,1112
Neg & Cond,120
Able & A3pl,178
Able & P3pl,64
Opt & A1sg,226
Fut & A1pl,188
P2pl & Acc,66
Able & Fut,293
P3sg & Ins,116
Inf & P3pl,497
P3pl & Cop,13
Neg & Gen,27
PresPart & P3sg,31
Aor & Narr,76
FutPart & P2pl,41
Fut & A2pl,73
Prog & A1pl,847
Pass & Prog,733
Pass & Cop,1017
Desr & Narr,3
Hastily & Narr,5
Hastily & Cop,1
A3pl & Past,129
A3pl & A3sg,172
PastPart & Cop,12
FutPart & A3pl,102
A3pl & Abl,138
A3pl & Cond,29
Inf & P2pl,137
Cond & A2sg,110
Opt & A2sg,4
Able & A1sg,356
Neg & A3pl,283
Neg & P3pl,43
Pass & PresPart,1373
A3pl & P1pl,109
P1pl & Gen,24
Fut & A2sg,99
FutPart & P3pl,65
Fut & A3pl,108
Neg & A2pl,212
Aor & While,862
PastPart & Loc,518
P2sg & Loc,357
PresPart & Loc,17
A3pl & Loc,187
Able & Cop,162
Fut & Cond,40
FutPart & P1pl,94
Prog & Cond,137
Able & Narr,136
Cond & A2pl,176
P1sg & Gen,37
FutPart & P1sg,58
P1sg & Dat,32
P1pl & Dat,33
Inf & Without,1
Without & P2sg,1
Neg & P2pl,17
Neces & A1sg,33
P1pl & Cop,6
Inf & Loc,672
P3sg & Loc,234
Neg & Neces,47
Able & Cond,74
Narr & P3sg,6
Able & A2pl,114
Cond & A1pl,189
Neces & A2sg,15
Pass & Narr,1157
Pass & PastPart,773
Pass & P2sg,459
Pass & Loc,277
PresPart & Abl,40
Able & Dat,37
Narr & A1pl,145
Aor & Cop,1
Desr & A1pl,26
P1sg & Abl,18
Able & Gen,24
FutPart & Gen,24
PresPart & Acc,5
Neg & ByDoingSo,14
Fut & Narr,24
Narr & A2pl,32
Prog & Narr,98
PresPart & Cop,9
Inf & PointQual,32
P3sg & PointQual,14
Loc & PointQual,34
Inf & Past,71
Inf & A3sg,86
P3sg & Past,22
P3sg & A3sg,24
P2pl & Dat,18
PastPart & Ins,16
Opt & A2pl,3
Cond & A3pl,23
P2pl & Gen,9
A1sg & Cop,8
Neg & Loc,13
Narr & Cond,41
Neces & A2pl,16
Neg & P1sg,47
Narr & A2sg,77
Hastily & Past,14
Aor & P3sg,1
Pass & Opt,112
Pass & Fut,578
Pass & Cond,171
Pass & Abl,88
Pass & FutPart,199
Pass & Dat,269
Pass & Neces,250
Able & Opt,11
Pass & Acc,410
Pass & P1pl,8
Pass & A3pl,163
Pass & A2pl,6
Able & Abl,24
P2sg & Cop,3
Abl & Cop,1
Pass & Gen,110
Pass & While,68
Narr & While,14
Pass & A1sg,10
FutPart & Narr,4
FutPart & A3sg,28
A3pl & Narr,14
Caus & Pass,595
Caus & Narr,232
Caus & Cop,115
Caus & A3pl,154
Pass & AfterDoingSo,72
Able & P1pl,58
Pass & ByDoingSo,146
Caus & ByDoingSo,83
A3pl & While,14
Caus & Past,433
Caus & A3sg,809
Able & Loc,10
Caus & Neg,401
Caus & A1sg,170
Caus & Able,206
Caus & Prog,304
Caus & Inf,518
Caus & Aor,292
Able & P1sg,42
Aor & AsIf,12
Caus & Fut,121
P1pl & Abl,23
Able & P2pl,15
Caus & P3sg,355
Caus & Acc,114
Pass & Pass,5
Able & Pass,5
Neg & SinceDoingSo,2
Caus & PastPart,268
Caus & P2sg,83
P1sg & Ins,9
Pass & When,33
Pass & A2sg,4
Opt & Past,1
Pass & Ins,45
Caus & FutPart,44
Caus & Dat,20
Caus & While,28
P1pl & Loc,119
Caus & A2sg,59
Caus & Opt,112
Neg & Imp,2
Caus & P3pl,36
Pass & P3pl,44
Caus & AfterDoingSo,107
Narr & P2pl,1
Neg & AsLongAs,16
FutPart & Past,24
Caus & PresPart,243
Pass & A1pl,18
Caus & A1pl,164
Inf & Cond,13
Abl & Cond,9
Abl & A3sg,10
A3pl & Ins,110
P2sg & Ins,2
Caus & WithoutHavingDoneSo,24
A2sg & Cop,3
Neces & A1pl,62
Able & While,3
Able & Ins,5
Neg & Ins,8
P2pl & Loc,53
Pass & P2pl,1
PresPart & Past,4
PresPart & A3sg,7
Caus & Imp,5
Caus & Cond,42
Pass & P1sg,7
Narr & AsIf,4
Able & Neces,14
P3sg & Cond,1
PresPart & Ins,15
Caus & A2pl,67
FutPart & Ins,1
Pass & WithoutHavingDoneSo,38
A3pl & P2pl,34
PastPart & Past,4
PastPart & A3sg,6
P3pl & Past,2
P3pl & A3sg,2
FutPart & Loc,3
P1sg & Loc,89
Able & AfterDoingSo,3
Prog & While,3
Caus & Caus,300
P3pl & Ins,37
P2pl & Abl,7
Caus & Gen,26
Desr & A2sg,14
Caus & P2pl,23
Caus & P1sg,27
Caus & P1pl,40
Pass & AsLongAs,19
Hastily & A3pl,3
Pass & Desr,3
Neg & While,5
Hastily & A2pl,2
PresPart & P2pl,1
Narr & Loc,3
Aor & Loc,1
PastPart & Cond,2
P2sg & Cond,2
P2sg & A3sg,2
Loc & Cond,3
Loc & A3sg,3
Inf & While,2
Loc & While,2
Acc & A3pl,1
Loc & Cop,2
Agt & P1sg,1
Desr & A3pl,8
Hastily & A1sg,6
Inf & Narr,3
P3sg & Narr,1
Fut & While,3
P2pl & Ins,5
Desr & A2pl,5
Able & AsLongAs,1
Caus & Loc,22
Caus & Neces,28
Caus & Abl,24
Caus & AsIf,2
Caus & Ins,8
PresPart & Cond,3
Caus & PointQual,2
A3pl & PointQual,5
FutPart & Cop,4
Caus & When,5
Caus & Desr,2
Hastily & Cond,3
Hastily & Prog,3
Neces & A3pl,2
Narr & P2sg,10
Cond & Narr,3
Caus & Hastily,2
Hastily & A1pl,1
P1pl & Ins,7
PresPart & P1pl,5
PresPart & Gen,3
A2pl & Cop,2
Inf & A1sg,6
P3sg & A1sg,6
Inf & A2sg,1
Dat & Past,1
Dat & A2sg,1
P1sg & Past,1
P1sg & A3sg,1
PresPart & A1sg,1
PresPart & A1pl,1
A3pl & A1pl,1
Inf & Acquire,1
Narr & Without,1
P2sg & PointQual,1
PresPart & PointQual,4
Narr & Dat,5
Pass & SinceDoingSo,1
PointQual & Acc,1
P1pl & Past,1
P1pl & A3sg,1
Able & Desr,5
PastPart & PointQual,1
P1pl & PointQual,2
Hastily & PastPart,2
Hastily & P2sg,1
Hastily & Acc,1
Neces & Narr,2
Recip & Past,8
Recip & A1pl,7
Recip & Prog,2
Recip & A3pl,7
Recip & Aor,1
Recip & While,1
Recip & Inf,2
Recip & Loc,1
Recip & AfterDoingSo,1
Recip & PastPart,1
Recip & P2sg,1
Recip & Acc,1
Recip & Neg,1
Recip & WithoutHavingDoneSo,1
Recip & Cond,1
Recip & When,1
Pass & Hastily,1
Hastily & P1sg,1
Neg & Equ,2
Inf & Equ,2
Equ & P3sg,2
Equ & Dat,2
Hastily & Inf,1
Hastily & A2sg,1
A1pl & Cop,2
Able & PointQual,1
Able & When,5
P1sg & PointQual,1
Narr & Acc,2
P2pl & Cop,1
PresPart & A2sg,1
Narr & Abl,1
Able & ByDoingSo,3
Pass & PointQual,3
Abl & Past,1
