PastPart→Adj__P3sg,157
FutPart→Noun__A3sg,71
FutPart→Noun__P3sg,28
A3sg__P3sg,335
Past__A3sg,196
Imp__A2pl,5
Pass→Verb__Narr,114
Pass→Verb__A3sg,356
Narr__A3sg,267
Unable__Prog2,3
Unable__A3sg,15
Unable__Cop,3
Prog2__A3sg,58
Prog2__Cop,55
A3sg__Cop,239
Able→Verb__FutPart→Noun,15
Able→Verb__A3sg,101
Able→Verb__Acc,12
FutPart→Noun__Acc,41
A3sg__Acc,261
Inf1→Noun__A3sg,247
Prog1__A3sg,127
PastPart→Noun__A3pl,24
PastPart→Noun__P3pl,15
PastPart→Noun__Acc,193
A3pl__P3pl,10
A3pl__Acc,9
P3pl__Acc,7
PastPart→Adj__P2sg,2
FutPart→Adj__P3sg,24
Pass→Verb__Prog1,9
PastPart→Noun__A3sg,342
PastPart→Noun__P3sg,152
P3sg__Acc,31
Inf1→Noun__Zero→Verb,28
Inf1→Noun__Pres,24
Inf1→Noun__Cop,24
A3sg__Zero→Verb,39
A3sg__Pres,34
A3sg__A3sg,38
Zero→Verb__Pres,36
Zero→Verb__A3sg,41
Zero→Verb__Cop,35
Pres__A3sg,35
Pres__Cop,35
Pass→Verb__Past,24
Narr__A2sg,3
Narr__A3pl,11
Pass→Verb__ByDoingSo→Adv,10
Aor__A3sg,145
Fut__A3sg,75
PastPart→Adj__P2pl,4
PastPart→Adj__P3pl,7
Inf2→Noun__A3sg,413
Inf2→Noun__Loc,26
A3sg__Loc,44
Inf2→Noun__Dat,76
A3sg__Dat,94
Pass→Verb__Inf2→Noun,108
Pass→Verb__P3sg,128
Pass→Verb__Acc,35
Inf2→Noun__P3sg,164
Inf2→Noun__Acc,33
Inf1→Noun__Loc,16
Pass→Verb__Desr,1
Desr__A3sg,5
Prog1__A1pl,8
Narr__Cop,107
Pass→Verb__Unable,6
Pass→Verb__Prog2,9
Pass→Verb__Gen,9
Inf2→Noun__Gen,28
A3sg__Gen,39
P3sg__Gen,10
Able→Verb__A3pl,4
Able→Verb__P2sg,5
Able→Verb__Dat,2
FutPart→Noun__A3pl,2
FutPart→Noun__P2sg,16
FutPart→Noun__Dat,8
A3pl__P2sg,4
A3pl__Dat,3
P2sg__Dat,9
Inf2→Noun__P2sg,12
A3sg__P2sg,61
P2sg__Gen,13
Pass→Verb__PastPart→Noun,38
Pass→Verb__P2sg,17
PastPart→Noun__P2sg,34
P2sg__Acc,38
Pass→Verb__Dat,17
P3sg__Dat,22
Pass→Verb__PresPart→Adj,32
Past__A1sg,19
Pass→Verb__Able→Verb,19
Able→Verb__PresPart→Adj,3
Able→Verb__Aor,48
Able→Verb__A2sg,3
Aor__A2sg,6
PresPart→Noun__A3pl,6
Unable__PastPart→Noun,1
Unable__P3sg,2
Able→Verb__P3sg,22
Pass→Verb__Cop,42
Pass→Verb__Neg,35
Pass→Verb__Aor,29
Pass→Verb__Cond,8
Neg__Aor,16
Neg__Cond,3
Neg__A3sg,94
Aor__Cond,8
Cond__A3sg,22
Able→Verb__Prog1,11
Past__A1pl,22
