Prog1__A3sg,0.3170544617744822,1061,2850
Inf1→Noun__A3sg,0.2809198259788689,368,2850
Neg__Aor,0.11070110701107011,143,399
Neg__A3pl,0.07142857142857142,143,249
Aor__A3pl,0.009259259259259259,399,249
PastPart→Adj__P1sg,0.46153846153846156,102,67
Past__A3pl,0.06026200873362445,2041,249
Past__A1sg,0.43892480435522285,2041,898
Neg__A1sg,0.08645533141210375,143,898
Aor__A1sg,0.03700848111025443,399,898
Past__A3sg,0.48129216929053364,2041,2850
Neg__Fut,0.07575757575757576,143,121
Neg__A3sg,0.0414300033411293,143,2850
Fut__A3sg,0.041063614944463145,121,2850
PastPart→Noun__A3sg,0.10696599537801255,179,2850
PastPart→Noun__P2pl,0.14634146341463414,179,26
A3sg__P2pl,0.01043115438108484,2850,26
Aor__A3sg,0.12003693444136658,399,2850
Past__A1pl,0.06079295154185022,2041,229
Pass→Verb__PastPart→Noun,0.05116279069767442,251,179
Pass→Verb__A3sg,0.10254756530151564,251,2850
Pass→Verb__P2sg,0.03460207612456748,251,38
Pass→Verb__Loc,0.04411764705882353,251,21
PastPart→Noun__P2sg,0.2119815668202765,179,38
PastPart→Noun__Loc,0.2,179,21
A3sg__P2sg,0.019390581717451522,2850,38
A3sg__Loc,0.014629049111807733,2850,21
P2sg__Loc,0.2033898305084746,38,21
Able→Verb__FutPart→Adj,0.09917355371900827,106,15
Able→Verb__P3sg,0.01990049751243781,106,95
FutPart→Adj__P3sg,0.05454545454545454,15,95
Able→Verb__FutPart→Noun,0.03361344537815126,106,13
Able→Verb__A3sg,0.03450608930987822,106,2850
Able→Verb__P1pl,0.06976744186046512,106,66
FutPart→Noun__A3sg,0.009081383164512749,13,2850
FutPart→Noun__P1pl,0.05063291139240506,13,66
A3sg__P1pl,0.02194787379972565,2850,66
Aor__While→Adv,0.4235294117647059,399,111
Pass→Verb__Imp,0.12631578947368421,251,34
Pass→Verb__A2sg,0.08674698795180723,251,164
Imp__A2sg,0.18181818181818182,34,164
PastPart→Noun__P3sg,0.40145985401459855,179,95
A3sg__P3sg,0.05025466893039049,2850,95
Inf2→Noun__A3sg,0.048646796848235696,69,2850
Inf2→Noun__Dat,0.3893805309734513,69,44
A3sg__Dat,0.0248790601243953,2850,44
Prog1__A3pl,0.1435114503816794,1061,249
Narr__Past,0.05349439171699741,277,2041
Narr__A1sg,0.02553191489361702,277,898
Opt__A1pl,0.43478260869565216,70,229
Prog1__A2sg,0.10938775510204081,1061,164
