Past & A3sg,2.124651343885272,11542,22084
Aor & A3sg,2.158396808064425,7353,22084
Narr & Cop,3.6080162180681437,5496,3165
Narr & A3pl,1.1955208769015657,5496,5214
A3pl & Cop,0.8822641403180174,5214,3165
FutPart & P2sg,4.129321875319727,1172,3490
Fut & A1sg,1.4563981240311898,3059,5199
Narr & A3sg,2.278863429635525,5496,22084
Fut & A3sg,2.233701179535873,3059,22084
Past & A3pl,0.5116770812633681,11542,5214
Narr & Past,1.1859327752523836,5496,11542
Neg & Past,0.8201829855894783,8972,11542
Neg & A3sg,1.6203879492164852,8972,22084
Cond & A3sg,2.002974080735456,1481,22084
PastPart & P2pl,3.769614836913585,7185,442
Neg & Aor,1.2588925843611076,8972,7353
Inf & P3sg,2.8305971322374703,13187,8110
Neg & PresPart,-0.2106374977195151,8972,7079
PastPart & P3sg,3.1027576856486623,7185,8110
PastPart & P2sg,3.480449331566193,7185,3490
PastPart & Acc,3.1566939759203074,7185,2949
P2sg & Acc,4.54962041228045,3490,2949
Opt & A1pl,3.9263151444881537,2756,3689
Prog & Cop,2.203096307330758,9018,3165
Prog & A3sg,2.015267212652509,9018,22084
Neg & Inf,-0.8907188047001758,8972,13187
Neg & Hastily,-1.0817492878362558,8972,39
Hastily & Aor,2.7903098483831767,39,7353
Hastily & A3sg,1.9406788263454393,39,22084
Past & Cond,-1.4066924859855559,11542,1481
PastPart & Dat,1.6262086124202566,7185,1118
P2sg & Dat,3.7967030467901433,3490,1118
Able & Neg,2.760391043251083,3682,8972
Able & Aor,3.0528053959417534,3682,7353
Able & A3sg,1.6409618064733522,3682,22084
Aor & Past,-0.0010410335398982158,7353,11542
Neg & FutPart,1.0423190781411946,8972,1172
Neg & P2sg,0.22254416932040916,8972,3490
Neg & Dat,0.20623147512776854,8972,1118
FutPart & Dat,3.871386503974399,1172,1118
Neg & Narr,0.48339021565255574,8972,5496
PastPart & Abl,3.7223816192867387,7185,638
P2sg & Abl,3.505830743943033,3490,638
Past & A1sg,2.7741113267365587,11542,5199
Able & FutPart,3.6947155066222948,3682,1172
Able & P2sg,1.0142023525569703,3682,3490
Able & Acc,1.060614900661148,3682,2949
FutPart & Acc,4.077624247899461,1172,2949
Neg & Fut,0.4257084393880947,8972,3059
Neg & AfterDoingSo,-1.7152103062486024,8972,1210
Neg & Prog,0.7827375594548678,8972,9018
Able & Prog,1.0880933897453278,3682,9018
Aor & Cond,3.4280354584749375,7353,1481
Neces & Past,-0.37273250289315457,612,11542
