Prog & A3sg,1.9824782201466988,657,1851
Past & A3sg,2.2296001165250456,972,1851
PastPart & P2sg,4.274281315627998,344,161
PastPart & Acc,3.3397360210065172,344,149
P2sg & Acc,4.955916060895439,161,149
Caus & Aor,1.7470900926442487,1390,382
Caus & Past,0.496805105179298,1390,972
Caus & A3sg,0.6137322188419725,1390,1851
Aor & Past,1.3856307631743328,382,972
Aor & A3sg,1.7305290503485335,382,1851
Caus & Caus,0.7296161243967066,1390,1390
Caus & Imp,2.605700673224051,1390,4
Caus & Prog,0.9089161256241501,1390,657
Caus & A1sg,2.028432564292895,1390,187
Prog & A1sg,2.2554030380448897,657,187
Past & A1pl,2.4119035886801745,972,205
Caus & Pass,3.020738172502895,1390,298
Caus & Narr,0.3686614759232013,1390,528
Pass & Narr,1.3679697017354613,298,528
Pass & A3sg,1.0748501669642467,298,1851
Narr & A3sg,1.946828333358789,528,1851
Prog & A3pl,1.2945028577338302,657,175
Cond & A1pl,2.911762521024914,117,205
Caus & PastPart,1.4018283398584006,1390,344
Caus & P2pl,2.605700673224051,1390,12
PastPart & P2pl,4.450380084690511,344,12
Aor & Cond,4.1635609119992925,382,117
Aor & A1sg,3.144638974247983,382,187
Cond & A1sg,3.4366655834214836,117,187
Narr & Cop,3.463342391484512,528,277
Caus & A3pl,1.836313601365467,1390,175
Narr & A3pl,1.9201984193098571,528,175
Opt & A1pl,4.208391995310416,128,205
Able & Aor,3.5258780275256916,241,382
Able & A3sg,1.6253661615761148,241,1851
Caus & Neg,1.6933761915649042,1390,532
Caus & Opt,1.9276287681114128,1390,128
Pass & Neg,0.8875961022915052,298,532
Pass & Opt,-0.17259867962724135,298,128
Neg & Opt,3.728252999499937,532,128
Neg & A3sg,1.63969856599234,532,1851
Opt & A3sg,1.9112989084202932,128,1851
Fut & A3sg,2.1924806609643466,232,1851
Past & A1sg,2.0773632178706856,972,187
Prog & Past,0.17704527618565363,657,972
Aor & A3pl,2.5622504171906533,382,175
Past & A3pl,0.8404712268391231,972,175
Caus & FutPart,1.2552034261399172,1390,68
Caus & Acc,1.6089245740983371,1390,149
FutPart & P2pl,3.7891819981422685,68,12
FutPart & Acc,5.012956973528835,68,149
P2pl & Acc,4.2424388196516025,12,149
Neg & Past,1.036101252684431,532,972
Caus & While,3.4077612956121413,1390,13
Aor & While,4.768701294658079,382,13
Caus & A1pl,1.5700767634933293,1390,205
Aor & A1pl,2.3339814295175363,382,205
Caus & Able,1.9280277986881205,1390,241
Caus & P2sg,0.7342154137467308,1390,161
Able & Neg,2.9528671870199106,241,532
Able & FutPart,3.6311801640757753,241,68
Able & P2sg,1.8027636264903417,241,161
Able & Acc,1.4994744848639534,241,149
Neg & FutPart,1.6407901582495974,532,68
Neg & P2sg,0.24533302794027004,532,161
Neg & Acc,0.35708138559272534,532,149
FutPart & P2sg,5.087621740107261,68,161
FutPart & Dat,4.2866816576130855,68,51
P2sg & Dat,3.917696738664949,161,51
Neg & Narr,0.853783881583796,532,528
Caus & Inf,1.9043286803875838,1390,516
Able & A1pl,1.9567007456286958,241,205
Pass & Aor,1.7094041109743074,298,382
Pass & Past,-0.038517494179453715,298,972
Neg & Aor,1.529335794717918,532,382
Caus & AfterDoingSo,1.561306553865597,1390,176
Cond & A3sg,1.907078442102098,117,1851
Caus & ByDoingSo,1.8077444491686963,1390,102
Pass & ByDoingSo,2.7399384791224195,298,102
PastPart & Loc,4.7674093801650335,344,59
P2sg & Loc,5.533449631499554,161,59
PastPart & P3sg,3.430751277941578,344,444
FutPart & P3sg,3.039160251150616,68,444
Inf & Acc,3.440664929857298,516,149
Caus & Loc,-0.054549954801342726,1390,59
Pass & PastPart,0.9860990663918169,298,344
Pass & P2sg,1.611961659678078,298,161
Pass & Loc,1.9447582710109175,298,59
Inf & P3sg,3.7487213592602564,516,444
P3sg & Acc,2.6574763189304464,444,149
Caus & A2pl,1.7369452065023028,1390,56
Neg & A2pl,2.058401601192268,532,56
Neg & Inf,-0.35697483736709423,532,516
Neg & P3sg,-0.06616286685016895,532,444
Neg & Dat,-0.26610043735892097,532,51
Inf & Dat,3.8654175839693536,516,51
P3sg & Dat,3.9947661317921628,444,51
PastPart & P3pl,4.187345678856716,344,36
Caus & P3sg,1.548250401040151,1390,444
Caus & Dat,0.6702409254187611,1390,51
Pass & Inf,2.3397360210065172,298,516
Pass & P3sg,2.6768416437973777,298,444
Pass & Dat,0.5700134776801069,298,51
Narr & Past,0.9186654718516277,528,972
Caus & PresPart,0.8051750895565631,1390,562
Pass & Acc,1.6082327999105968,298,149
Neces & A3sg,1.7595212536882396,27,1851
Inf & A3pl,1.3210970677455436,516,175
Inf & P3pl,2.45038008469051,516,36
A3pl & P3pl,4.747361822447641,175,36
Pass & Fut,1.2913484201325491,298,232
PresPart & Dat,0.9766837728087048,562,51
Hastily & Aor,3.469141012799172,8,382
Hastily & A3sg,2.4148730823007942,8,1851
Caus & Cond,0.9577283749770938,1390,117
Pass & Cond,0.69400219495556,298,117
Able & Fut,2.690737008756231,241,232
PresPart & A3pl,1.920364027418963,562,175
Pass & Prog,-0.4168710225296351,298,657
Neg & Prog,1.4559662804279467,532,657
Inf & Past,-3.889469918194115,516,972
Inf & A3sg,-4.818746594458908,516,1851
P3sg & Past,-4.257621029842123,444,972
P3sg & A3sg,-5.186897706106916,444,1851
Prog & Cop,2.479968710071921,657,277
Pass & PresPart,1.862900001594145,298,562
Able & Dat,-0.12370733808769305,241,51
PastPart & Dat,1.947879744161327,344,51
Pass & Able,1.7218669062004013,298,241
Pass & FutPart,1.1549759784012628,298,68
Able & P3sg,0.07623023242105899,241,444
Fut & A1pl,1.0940712469230582,232,205
PresPart & P2sg,-0.41877335750062267,562,161
Caus & Neces,1.9662903884805178,1390,27
Caus & Cop,0.7398860206184475,1390,277
Pass & Neces,3.2949062395457385,298,27
Pass & Cop,1.6522586096594267,298,277
Neces & Cop,3.1779401726222636,27,277
PresPart & P3sg,-3.4672348464572678,562,444
Caus & P1sg,1.587778765226788,1390,27
PastPart & P1sg,4.98089480138929,344,27
Caus & WithoutHavingDoneSo,1.7406302533101592,1390,34
Neg & Fut,0.718268910927315,532,232
Inf & P2sg,1.8199029247169853,516,161
Inf & Gen,4.347286591726407,516,29
P2sg & Gen,5.179600062480094,161,29
Caus & Abl,0.21338325044529036,1390,49
PastPart & Abl,4.465026860654912,344,49
Caus & Fut,0.995647191540064,1390,232
Pass & WithoutHavingDoneSo,1.1549759784012628,298,34
Aor & Narr,1.26604914742166,382,528
Narr & Cond,-1.453151498828094,528,117
Caus & P1pl,1.8424009312443816,1390,43
PastPart & P1pl,4.001395253488329,344,43
Caus & AsIf,2.4357756717817383,1390,3
Aor & AsIf,4.884178512078016,382,3
Past & A2pl,1.729439914450379,972,56
Caus & A2sg,2.1641023476740715,1390,67
Past & A2sg,1.7186331594937965,972,67
Able & Narr,0.20476360266644122,241,528
Able & Past,0.53079609588654,241,972
Pass & Ins,3.2424388196516025,298,16
Inf & Ins,4.450380084690511,516,16
P3sg & Ins,4.474546395821262,444,16
Caus & Gen,1.1627571773753225,1390,29
Pass & Gen,1.969420325245187,298,29
P3sg & Gen,3.6165654006936907,444,29
Caus & Ins,1.3426662673902567,1390,16
Neg & Cop,0.38004557981372555,532,277
Inf & Cop,-0.07839958063752207,516,277
P3sg & Cop,-0.44655069228553,444,277
Fut & Past,-0.8617545399822917,232,972
Able & Prog,1.358893445003785,241,657
Able & A3pl,1.68246939277263,241,175
Neg & A3pl,1.277041887667608,532,175
PastPart & A3pl,0.16909397430049342,344,175
A3pl & P2sg,2.9274068636104045,175,161
A3pl & Loc,2.71271567964075,175,59
Fut & A2pl,0.7962714229285879,232,56
PresPart & P3pl,1.7422185191716815,562,36
P1pl & Loc,4.474627630937188,43,59
Prog & A2sg,2.6796247791083867,657,67
FutPart & A3pl,2.2448614819184582,68,175
FutPart & Past,-1.5506680047423562,68,972
FutPart & A3sg,-2.4799446810071495,68,1851
A3pl & Past,-0.9144162753243454,175,972
