Inf1→Noun__A3sg,1.8678770260242124,752,2266
Pass→Verb__Inf2→Noun,2.4883852810540437,990,736
Pass→Verb__A3sg,1.73694880912265,990,2266
Pass→Verb__P3sg,2.8079155861835234,990,617
Inf2→Noun__A3sg,1.8105288482800768,736,2266
Inf2→Noun__P3sg,3.2462075868036697,736,617
A3sg__P3sg,1.720562168501888,2266,617
Pass→Verb__Dat,1.5502943785570809,990,160
Inf2→Noun__Dat,3.380776306967447,736,160
A3sg__Dat,1.794931993229058,2266,160
P3sg__Dat,2.3721771780412477,617,160
Unable__FutPart→Noun,3.393969679161937,153,44
Unable__A3sg,1.2517896682025291,153,2266
Unable__Acc,2.3736210337701347,153,119
FutPart→Noun__A3sg,1.7617651292938585,44,2266
FutPart→Noun__Acc,5.493505352712852,44,119
A3sg__Acc,1.7202931923363023,2266,119
Prog1__A3sg,1.3855410570913564,85,2266
Unable__Narr,2.8958846291207476,153,145
Unable__A3pl,3.3298393417422214,153,46
Narr__A3pl,3.2373930929776265,145,46
Inf2→Noun__P2sg,2.1828369293555383,736,40
Inf2→Noun__Gen,3.3241927786010796,736,48
A3sg__P2sg,1.794931993229058,2266,40
A3sg__Gen,1.794931993229058,2266,48
P2sg__Gen,6.121436384691395,40,48
Aor__A3pl,3.4237572051298604,223,46
Pass→Verb__Neces,2.6754708336545385,990,46
Pass→Verb__Cop,1.9743126674292915,990,190
Neces__A3sg,1.628922041790129,46,2266
Neces__Cop,4.8918406940200665,46,190
A3sg__Cop,2.0259762848184155,2266,190
Pass→Verb__Able→Verb,2.333733437204936,990,219
Pass→Verb__Fut,1.8063576000268318,990,109
Able→Verb__Fut,3.205247676729078,219,109
Able→Verb__A3sg,1.6567695541715333,219,2266
Fut__A3sg,1.6266605106392593,109,2266
Fut__A1sg,2.587717313551491,109,12
Pass→Verb__Loc,1.9712008947677473,990,79
Inf2→Noun__Loc,3.222045891593627,736,79
A3sg__Loc,1.794931993229058,2266,79
P3sg__Loc,2.653358930585301,617,79
Pass→Verb__Abl,1.989579424082602,990,16
Inf2→Noun__Abl,2.002264683713717,736,16
A3sg__Abl,1.794931993229058,2266,16
P3sg__Abl,2.841662461342468,617,16
Able→Verb__Inf1→Noun,-0.06658367734187502,219,752
Inf1→Noun__Zero→Verb,2.9992521642626886,752,51
Inf1→Noun__Narr,-2.793633802642998,752,145
A3sg__Zero→Verb,1.794931993229058,2266,51
A3sg__Narr,-4.384977096785876,2266,145
A3sg__A3sg,-3.6785748106199616,2266,2266
Zero→Verb__Narr,1.0885297070631434,51,145
