PastPart→Noun__A3sg,53.227500000000006,168,2237
PastPart→Noun__Acc,124.22596153846155,168,160
A3sg__Acc,65.33076923076925,2237,160
Pass→Verb__Neces,58.633540372670794,961,80
Pass→Verb__A3sg,92.36347826086956,961,2237
Neces__A3sg,62.35714285714288,80,2237
PresPart→Noun__A3pl,9.272727272727272,11,97
Past__A3sg,20.497685185185183,214,2237
Prog2__A3sg,79.8171428571429,100,2237
Prog2__Cop,235.84126984126982,100,423
A3sg__Cop,144.97777777777785,2237,423
Inf1→Noun__A3sg,194.33714285714308,441,2237
Narr__A3sg,102.25655976676383,257,2237
Prog1__A3sg,74.09818181818186,162,2237
Pass→Verb__Narr,59.88571428571427,961,257
Pass→Verb__Aor,53.35384615384617,961,226
Aor__A3sg,63.697142857142865,226,2237
Pass→Verb__Past,6.8792929292929275,961,214
Aor__Past,5.23404255319149,226,214
Pass→Verb__PastPart→Noun,19.040760869565222,961,168
Pass→Verb__Acc,24.163879598662213,961,160
Inf2→Noun__A3sg,131.77199999999985,464,2237
Inf2→Noun__P3sg,246.19090909090912,464,510
Inf2→Noun__Zero→Verb,19.208823529411763,464,62
Inf2→Noun__Pres,11.034615384615385,464,56
Inf2→Noun__Cop,16.36111111111111,464,423
A3sg__P3sg,116.02235179786203,2237,510
A3sg__Zero→Verb,21.221938775510203,2237,62
A3sg__Pres,12.60590277777778,2237,56
A3sg__A3sg,1000000,2237,2237
P3sg__Zero→Verb,17.350267379679142,510,62
P3sg__Pres,9.965034965034967,510,56
P3sg__A3sg,5.653061224489797,510,2237
P3sg__Cop,14.777777777777779,510,423
Zero→Verb__Pres,42.84,62,56
Zero→Verb__A3sg,21.941326530612255,62,2237
Zero→Verb__Cop,57.28104575163398,62,423
Pres__A3sg,13.081597222222223,56,2237
Pres__Cop,36.37606837606838,56,423
Neces__Cop,153.80952380952388,80,423
Inf2→Noun__Dat,104.2928571428571,464,115
A3sg__Dat,45.43999999999999,2237,115
Able→Verb__Aor,68.22222222222223,200,226
Able→Verb__A3sg,32.399999999999984,200,2237
Pass→Verb__Inf2→Noun,87.35869565217394,961,464
Pass→Verb__P3sg,89.36758893280633,961,510
Pass→Verb__Zero→Verb,6.195652173913042,961,62
Inf2→Noun__Past,0.597872340425532,464,214
A3sg__Past,0.46851851851851845,2237,214
P3sg__Past,0.6244444444444445,510,214
Zero→Verb__Past,1.4217772215269084,62,214
Narr__Cop,155.1666666666667,257,423
