PresPart→Adj,5846
PastPart→Adj,1863
P3sg,8278
Inf2→Noun,11651
A3sg,45371
Zero→Verb,557
Pres,445
Cop,3318
Desr,651
Fut,3340
Aor,7489
Neg,5325
Cond,1029
ByDoingSo→Adv,1976
PastPart→Noun,5465
Acc,4447
AfterDoingSo→Adv,1235
Past,12672
Narr,5420
Prog1,9750
Imp,3976
A2sg,4082
Dat,2454
Able→Verb,2511
PresPart→Noun,755
A3pl,5397
Abl,1040
P2sg,1757
Loc,1526
P2pl,461
When→Adv,320
Inf1→Noun,5405
A1sg,6246
P1sg,940
FutPart→Adj,705
P3pl,932
Prog2,1003
AsLongAs→Adv,105
P1pl,1167
FutPart→Noun,1018
A1pl,4030
A2pl,1847
Gen,1065
Pass→Verb,10577
Opt,1582
Unable,1543
Neces,600
WithoutHavingDoneSo→Adv,251
Hastily→Verb,48
With→Adj,21
Equ,10
Ins,381
While→Adv,806
NarrPart→Adj,52
Caus→Verb,3794
Repeat→Verb,2
EverSince→Verb,11
AsIf→Adv,19
AorPart→Adj,108
Zero→Noun,29
FeelLike→Noun,6
Rel→Adj,33
SinceDoingSo→Adv,12
WithoutBeingAbleToHaveDoneSo→Adv,13
Start→Verb,1
FeelLike→Adj,5
Inf3→Noun,3
Recip→Verb,2691
Stay→Verb,4
Ness→Noun,1
