ByDoingSo→Adv,99
Prog1,1061
A3sg,2850
Inf1→Noun,368
Neg,143
Aor,399
A3pl,249
PastPart→Adj,102
P1sg,67
Past,2041
A1sg,898
Fut,121
PastPart→Noun,179
P2pl,26
A1pl,229
Pass→Verb,251
P2sg,38
Loc,21
Able→Verb,106
FutPart→Adj,15
P3sg,95
FutPart→Noun,13
P1pl,66
While→Adv,111
Imp,34
A2sg,164
Inf2→Noun,69
Dat,44
Narr,277
Opt,70
Desr,57
Cond,46
A2pl,79
Zero→Verb,88
Pres,76
Cop,120
AsIf→Adv,7
PresPart→Adj,109
Ins,14
Acc,61
Abl,20
P3pl,12
Gen,12
Neces,8
When→Adv,10
Unable,3
Prog2,19
WithoutHavingDoneSo→Adv,5
PresPart→Noun,26
With→Adj,1
NarrPart→Adj,2
Zero→Noun,1
Caus→Verb,16
AfterDoingSo→Adv,6
WithoutBeingAbleToHaveDoneSo→Adv,1
AsLongAs→Adv,2
FeelLike→Noun,1
