Prog2,50
A3sg,2103
Cop,148
Pass→Verb,950
Neg,141
Imp,166
A2sg,83
Inf2→Noun,933
P3sg,725
Dat,228
Able→Verb,116
Inf1→Noun,458
ByDoingSo→Adv,47
FutPart→Noun,50
Acc,146
Aor,162
A1sg,33
Zero→Verb,42
Pres,35
A3pl,121
Ins,43
P2sg,72
Gen,88
Opt,38
PresPart→Adj,167
Unable,59
Narr,101
Prog1,131
PastPart→Noun,98
Abl,33
AfterDoingSo→Adv,48
With→Adj,6
Fut,75
Past,103
P2pl,8
Cond,12
WithoutHavingDoneSo→Adv,3
Neces,36
Loc,56
FutPart→Adj,27
P3pl,43
While→Adv,12
AorPart→Adj,15
A1pl,34
PastPart→Adj,23
P1sg,10
PresPart→Noun,18
P1pl,8
A2pl,20
AsLongAs→Adv,2
EverSince→Verb,1
Caus→Verb,1
Desr,2
Repeat→Verb,1
Rel→Adj,2
