ByDoingSo,1934
Past,11542
A3sg,22084
Aor,7353
Narr,5496
Cop,3165
A3pl,5214
FutPart,1172
P2sg,3490
Fut,3059
A1sg,5199
Inf,13187
PresPart,7079
Neg,8972
Cond,1481
PastPart,7185
P2pl,442
P3sg,8110
AfterDoingSo,1210
Acc,2949
Opt,2756
A1pl,3689
Prog,9018
Hastily,39
Dat,1118
Able,3682
Abl,638
When,330
AsLongAs,141
Neces,612
WithoutHavingDoneSo,447
Gen,867
P1sg,855
P1pl,1198
P3pl,1092
Ins,398
Desr,172
A2sg,1256
By,6
A2pl,1690
Pass,9747
While,884
Loc,1214
Without,2
Imp,121
PointQual,37
Caus,2932
AsIf,15
SinceDoingSo,14
Agt,1
Acquire,1
Recip,19
Equ,2
