Narr,444
A3sg,2056
Inf2→Noun,1444
A3pl,523
P2sg,97
Prog1,69
Caus→Verb,1077
Neg,237
Imp,152
A2sg,142
Opt,45
Past,86
A1sg,20
PresPart→Adj,240
ByDoingSo→Adv,37
Pass→Verb,382
P3sg,551
Acc,201
Inf1→Noun,220
Loc,177
Fut,39
Aor,131
While→Adv,15
Cop,138
Zero→Verb,35
PastPart→Noun,72
Abl,32
Able→Verb,68
Dat,200
Gen,100
PastPart→Adj,42
Pres,28
A2pl,11
FutPart→Noun,26
AorPart→Adj,3
Ins,38
WithoutHavingDoneSo→Adv,4
P3pl,73
AfterDoingSo→Adv,28
Unable,18
PresPart→Noun,5
Prog2,21
Rel→Adj,6
AsLongAs→Adv,14
P1sg,10
Neces,19
NarrPart→Adj,5
Ness→Noun,1
FutPart→Adj,7
A1pl,19
Cond,13
Desr,2
P1pl,8
P2pl,2
When→Adv,1
Zero→Noun,2
