Inf2→Noun,1471
A3sg,2522
P1sg,113
Loc,190
Acc,355
Aor,408
Neg,344
PastPart→Adj,48
P1pl,114
PastPart→Noun,179
Prog1,712
Able→Verb,75
A1sg,291
Past,807
A1pl,485
A3pl,505
P3sg,395
Pass→Verb,215
Dat,254
Caus→Verb,54
Imp,68
A2sg,134
Narr,124
Fut,175
While→Adv,120
Gen,117
Inf1→Noun,188
Abl,92
PresPart→Adj,198
P2pl,49
PresPart→Noun,32
ByDoingSo→Adv,29
A2pl,75
Prog2,6
Cop,25
Desr,36
P3pl,98
AfterDoingSo→Adv,42
Unable,78
P2sg,132
Opt,120
FutPart→Adj,11
Cond,36
When→Adv,12
Neces,20
WithoutHavingDoneSo→Adv,26
Ins,32
AsLongAs→Adv,11
Zero→Verb,12
FutPart→Noun,25
Hastily→Verb,1
AorPart→Adj,1
Pres,6
EverSince→Verb,1
Rel→Adj,5
WithoutBeingAbleToHaveDoneSo→Adv,1
AsIf→Adv,1
FeelLike→Adj,1
With→Adj,1
