Recip→Verb,2673
Inf1→Noun,392
A3sg,1568
Ins,14
Neces,32
Fut,105
A1sg,124
A1pl,133
Inf2→Noun,351
Acc,215
P3sg,356
Neg,266
Imp,120
A2sg,96
PresPart→Adj,223
P2sg,62
Gen,51
Abl,60
Unable,64
Prog1,258
A2pl,58
Caus→Verb,96
Able→Verb,100
Aor,198
Pass→Verb,435
Past,255
Narr,104
PastPart→Adj,123
P1pl,67
Opt,104
NarrPart→Adj,11
A3pl,215
PastPart→Noun,254
FutPart→Noun,58
Prog2,43
Cop,96
Loc,16
ByDoingSo→Adv,57
AsLongAs→Adv,12
Desr,14
AfterDoingSo→Adv,27
PresPart→Noun,17
Dat,38
P3pl,50
Cond,29
Zero→Verb,24
Pres,23
P1sg,52
P2pl,20
While→Adv,10
AorPart→Adj,13
When→Adv,8
FutPart→Adj,15
AsIf→Adv,1
WithoutHavingDoneSo→Adv,3
SinceDoingSo→Adv,1
Rel→Adj,1
