PresPart→Adj,378
PastPart→Noun,168
A3sg,2237
Acc,160
Pass→Verb,961
Neces,80
PresPart→Noun,11
A3pl,97
Past,214
Prog2,100
Cop,423
Inf1→Noun,441
Narr,257
Prog1,162
Aor,226
FutPart→Adj,110
Inf2→Noun,464
P3sg,510
Zero→Verb,62
Pres,56
Dat,115
Able→Verb,200
FutPart→Noun,71
P2sg,63
Abl,33
Fut,241
Neg,58
ByDoingSo→Adv,39
Unable,105
PastPart→Adj,59
While→Adv,20
WithoutBeingAbleToHaveDoneSo→Adv,2
P1pl,7
AfterDoingSo→Adv,13
P3pl,25
Loc,63
Gen,27
A1sg,21
Cond,34
Opt,12
Ins,19
A1pl,51
Desr,5
Imp,19
A2pl,24
P1sg,2
Rel→Adj,3
AorPart→Adj,5
When→Adv,5
Zero→Noun,5
P2pl,11
WithoutHavingDoneSo→Adv,8
A2sg,8
NarrPart→Adj,3
Caus→Verb,1
AsLongAs→Adv,2
