Inf1→Noun,752
A3sg,2266
Pass→Verb,990
Inf2→Noun,736
P3sg,617
Dat,160
Unable,153
FutPart→Noun,44
Acc,119
Prog1,85
Narr,145
A3pl,46
P2sg,40
Gen,48
FutPart→Adj,69
Aor,223
Neces,46
Cop,190
PresPart→Adj,111
Able→Verb,219
Fut,109
A1sg,12
Loc,79
Abl,16
Zero→Verb,51
ByDoingSo→Adv,35
Past,141
AfterDoingSo→Adv,14
Prog2,48
P1pl,6
A1pl,40
A2sg,6
P2pl,1
PastPart→Noun,57
Pres,38
Neg,41
Opt,16
PresPart→Noun,4
Ins,12
PastPart→Adj,21
Cond,7
Imp,11
While→Adv,5
P3pl,5
A2pl,16
P1sg,3
When→Adv,2
Desr,4
Rel→Adj,1
AorPart→Adj,3
