Past & A3sg,-37907.020226055916,11542,22084
Aor & A3sg,-37030.61961231471,7353,22084
Narr & Cop,-13556.942322681216,5496,3165
Narr & A3pl,-72180.72292191436,5496,5214
A3pl & Cop,-89685.46739130435,5214,3165
FutPart & P2sg,-9445.374133949192,1172,3490
Fut & A1sg,-60240.443181818184,3059,5199
Narr & A3sg,-34064.01936570306,5496,22084
Fut & A3sg,-35147.26014568158,3059,22084
Past & A3pl,-115952.73410404625,11542,5214
Narr & Past,-72662.03780068729,5496,11542
Neg & Past,-93629.0397830018,8972,11542
Neg & A3sg,-53767.69687924016,8972,22084
Cond & A3sg,-41242.88902900378,1481,22084
PastPart & P2pl,-12120.259541984733,7185,442
Neg & Aor,-69078.70261780104,8972,7353
Inf & P3sg,-23238.150369404608,13187,8110
Neg & PresPart,-191302.578313253,8972,7079
PastPart & P3sg,-19242.840819022458,7185,8110
PastPart & P2sg,-14810.370348493798,7185,3490
PastPart & Acc,-18536.67716535433,7185,2949
P2sg & Acc,-7057.991769547325,3490,2949
Opt & A1pl,-10872.672727272728,2756,3689
Prog & Cop,-35900.84905660377,9018,3165
Prog & A3sg,-40892.944969199176,9018,22084
Neg & Inf,-306511.34196891193,8972,13187
Neg & Hastily,-349907.0,8972,39
Hastily & Aor,-23896.25,39,7353
Hastily & A3sg,-43062.8,39,22084
Past & Cond,-438299.0512820513,11542,1481
PastPart & Dat,-53551.2,7185,1118
P2sg & Dat,-11894.792682926829,3490,1118
Able & Neg,-24397.008862629245,3682,8972
Able & Aor,-19920.814569536426,3682,7353
Able & A3sg,-53006.35853976532,3682,22084
Aor & Past,-165434.33333333334,7353,11542
Neg & FutPart,-80267.58015267176,8972,1172
Neg & P2sg,-141683.52488687783,8972,3490
Neg & Dat,-143294.65714285715,8972,1118
FutPart & Dat,-11294.655172413793,1172,1118
Neg & Narr,-118248.6690647482,8972,5496
PastPart & Abl,-12523.672131147541,7185,638
P2sg & Abl,-14552.071895424837,3490,638
Past & A1sg,-24166.07933950866,11542,5199
Able & FutPart,-12766.171597633136,3682,1172
Able & P2sg,-81847.28025477707,3682,3490
Able & Acc,-79256.06569343066,3682,2949
FutPart & Acc,-9790.014164305949,1172,2949
Neg & Fut,-123072.30941704036,8972,3059
Neg & AfterDoingSo,-542805.0,8972,1210
Neg & Prog,-96091.03800475059,8972,9018
Able & Prog,-77760.77049180328,3682,9018
Aor & Cond,-15358.369534555712,7353,1481
Neces & Past,-214050.63636363635,612,11542
Neces & A3sg,-55847.79338842975,612,22084
Neces & Cop,-8003.0495867768595,612,3165
Inf & Cop,-105395.09848484848,13187,3165
P3sg & Cop,-194454.68181818182,8110,3165
Neg & PastPart,-137742.20512820513,8972,7185
Neg & Acc,-154726.64912280702,8972,2949
PresPart & A3pl,-52427.84375,7079,5214
PresPart & Dat,-65951.68333333333,7079,1118
A3pl & Dat,-17093.58064516129,5214,1118
PastPart & Gen,-76905.11111111111,7185,867
P2sg & Gen,-4983.892915980231,3490,867
Neg & Cop,-142694.37688442212,8972,3165
Fut & Cop,-22887.262411347518,3059,3165
PastPart & P1sg,-9167.91791044776,7185,855
P1sg & Acc,-15563.166666666666,855,2949
Inf & Gen,-15062.411067193676,13187,867
P3sg & Gen,-37006.21052631579,8110,867
PresPart & P2sg,-102088.71074380165,7079,3490
Prog & A1sg,-33156.41301272984,9018,5199
Able & Past,-103905.22004889976,3682,11542
Able & A1pl,-59573.11403508772,3682,3689
Aor & A1pl,-56984.75,7353,3689
Past & A1pl,-36328.7252559727,11542,3689
Neg & When,-128727.69565217392,8972,330
Inf & Dat,-20278.320495185693,13187,1118
P3sg & Dat,-20103.168514412417,8110,1118
Inf & P1pl,-57446.36727272727,13187,1198
Fut & Past,-176533.89,3059,11542
Neg & Abl,-146771.71794871794,8972,638
Able & Inf,-115880.94272076372,3682,13187
PastPart & P3pl,-16657.216560509554,7185,1092
Neg & P1pl,-255914.61904761905,8972,1198
PastPart & P1pl,-10445.152912621359,7185,1198
Able & PresPart,-167081.55128205128,3682,7079
Aor & A1sg,-59175.85294117647,7353,5199
Inf & Ins,-14338.96174863388,13187,398
Neg & P3sg,-164994.283446712,8972,8110
Inf & Acc,-26892.81950207469,13187,2949
Cond & A1sg,-40523.836842105266,1481,5199
Neg & Desr,-17943.0,8972,172
Neg & A1sg,-64694.46185852982,8972,5199
Desr & Past,-42237.8085106383,172,11542
Desr & A1sg,-23531.315789473683,172,5199
Past & A2sg,-37948.61256544503,11542,1256
Narr & A1sg,-172129.7469879518,5496,5199
Inf & A3pl,-34954.27097102186,13187,5214
Inf & P1sg,-89482.21428571429,13187,855
A3pl & P1sg,-59438.6,5214,855
Inf & Abl,-41240.69607843137,13187,638
P3sg & Abl,-46197.03571428572,8110,638
Desr & A3sg,-46893.41975308642,172,22084
Able & PastPart,-146972.16666666666,3682,7185
Able & P3sg,-76175.07142857143,3682,8110
Able & By,-5522.0,3682,6
PastPart & By,-7184.0,7185,6
P3sg & By,-8109.0,8110,6
PastPart & A3pl,-111494.80357142857,7185,5214
A3pl & P2sg,-16693.366972477063,5214,3490
A3pl & Gen,-40724.56756756757,5214,867
Cond & Past,-194245.61363636365,1481,11542
Past & A2pl,-74449.30534351146,11542,1690
Neg & A2sg,-67477.03592814371,8972,1256
Neg & Opt,-15688.614213197969,8972,2756
Opt & A3sg,-38326.143576826194,2756,22084
Prog & A2sg,-26401.34965034965,9018,1256
Prog & Past,-102647.67455621302,9018,11542
Prog & A2pl,-74342.51219512195,9018,1690
P3sg & Acc,-40398.30743243243,8110,2949
A3pl & Acc,-36521.76959619953,5214,2949
Able & A2sg,-44897.95145631068,3682,1256
Aor & A2sg,-34204.066666666666,7353,1256
P1pl & Acc,-30455.05172413793,1198,2949
FutPart & P3sg,-21503.343891402714,1172,8110
Neg & A1pl,-112960.46075085324,8972,3689
FutPart & Abl,-27692.925925925927,1172,638
Pass & Able,-43342.54347826087,9747,3682
Pass & Neg,-96628.9270718232,9747,8972
Pass & Aor,-67231.35553470919,9747,7353
Pass & Past,-152644.6906377205,9747,11542
Pass & A3sg,-64253.55164179105,9747,22084
Prog & A3pl,-100683.9079229122,9018,5214
Aor & A3pl,-72885.9619771863,7353,5214
Pass & Inf,-50109.6,9747,13187
Pass & P3sg,-27275.801242236026,9747,8110
PresPart & P3pl,-131020.49152542373,7079,1092
A3pl & P3pl,-10130.11743772242,5214,1092
Aor & A2pl,-47069.34090909091,7353,1690
Inf & P2sg,-41386.2571942446,13187,3490
Neg & Cond,-110728.43333333333,8972,1481
Able & A3pl,-107852.6404494382,3682,5214
Able & P3pl,-62823.125,3682,1092
Opt & A1sg,-63399.19469026549,2756,5199
Fut & A1pl,-60023.73936170213,3059,3689
P2pl & Acc,-19748.363636363636,442,2949
Able & Fut,-38440.08532423208,3682,3059
P3sg & Ins,-27824.689655172413,8110,398
Inf & P3pl,-28973.25352112676,13187,1092
P3pl & Cop,-265859.0,1092,3165
Neg & Gen,-288099.8888888889,8972,867
PresPart & P3sg,-1851956.7419354839,7079,8110
Aor & Narr,-531737.0,7353,5496
FutPart & P2pl,-12633.731707317073,1172,442
Fut & A2pl,-70816.94520547945,3059,1690
Prog & A1pl,-39275.74380165289,9018,3689
Pass & Prog,-119915.02455661664,9747,9018
Pass & Cop,-30332.58407079646,9747,3165
Desr & Narr,-315103.0,172,5496
Hastily & Narr,-42867.8,39,5496
Hastily & Cop,-123434.0,39,3165
A3pl & Past,-466510.5348837209,5214,11542
A3pl & A3sg,-669452.3488372093,5214,22084
PastPart & Cop,-1895042.75,7185,3165
